tar,c,s,humidity,s112,s112_315,labels
14030303,80.91,1.5,0.0,2.44,97.33,Coke_1030_Grade_A
14030305,80.4,1.5,0.0,2.0,97.33,Coke_1030_Grade_A
14030321,80.3,1.3,0.0,1.0,42.0,Coke_1030_Grade_A
14030322,80.55,1.3,0.0,2.0,97.5,Coke_1030_Grade_A
14030324,80.05,1.3,0.0,2.0,97.5,Coke_1030_Grade_A
14030326,80.07,1.33,0.0,2.0,97.33,Coke_1030_Grade_A
14030407,81.65,1.4,3.75,0.0,94.0,Coke_1030_Grade_A
14030410,82.45,1.31,0.0,1.75,96.5,Coke_1030_Grade_A
14030411,81.95,1.38,0.0,1.25,96.5,Coke_1030_Grade_A
14030412,82.03,1.32,0.0,1.67,96.0,Coke_1030_Grade_A
14030413,82.31,1.32,0.0,1.62,96.5,Coke_1030_Grade_A
14030414,81.85,1.3,0.0,1.5,97.0,Coke_1030_Grade_A
14030416,82.1,1.25,0.0,0.67,96.67,Coke_1030_Grade_A
14030417,80.3,1.1,0.0,1.0,98.0,Coke_1030_Grade_A
14030418,81.55,1.27,0.0,0.75,96.5,Coke_1030_Grade_A
14030419,82.75,1.35,0.0,0.5,96.5,Coke_1030_Grade_A
14030420,81.6,1.37,0.0,0.5,96.83,Coke_1030_Grade_A
14030421,82.44,1.42,0.0,0.6,96.6,Coke_1030_Grade_A
14030423,81.18,1.35,0.0,0.25,96.5,Coke_1030_Grade_A
14030424,82.03,1.34,0.0,1.2,97.0,Coke_1030_Grade_A
14030428,82.25,1.34,0.0,0.6,96.5,Coke_1030_Grade_A
14030430,80.68,1.39,0.0,0.46,96.54,Coke_1030_Grade_A
14030431,81.67,1.41,1.03,0.47,96.53,Coke_1030_Grade_A
14030501,81.2,1.43,0.0,3.33,96.0,Coke_1030_Grade_A
14030502,82.16,1.39,0.0,0.38,96.25,Coke_1030_Grade_A
14030503,81.47,1.43,0.0,1.14,97.29,Coke_1030_Grade_A
14030504,81.6,1.35,0.0,1.75,96.5,Coke_1030_Grade_A
14030506,81.26,1.38,0.0,0.8,96.8,Coke_1030_Grade_A
14030507,81.1,1.36,0.0,2.71,96.14,Coke_1030_Grade_A
14030510,82.02,1.38,0.0,1.0,96.75,Coke_1030_Grade_A
14030511,82.3,1.4,0.0,3.0,96.5,Coke_1030_Grade_A
14030513,81.0,1.4,0.0,0.0,97.0,Coke_1030_Grade_A
14030514,81.5,1.4,0.0,2.0,98.0,Coke_1030_Grade_A
14030516,82.9,0.9,0.0,3.0,97.0,Coke_1030_Grade_B
14030517,83.9,0.95,0.0,2.75,97.25,Coke_1030_Grade_B
14030520,81.05,1.25,0.0,2.5,97.0,Coke_1030_Grade_A
14030521,82.22,1.35,0.0,1.5,97.0,Coke_1030_Grade_A
14030522,82.62,1.27,0.0,1.5,96.88,Coke_1030_Grade_A
14030523,81.28,1.35,0.0,1.75,96.5,Coke_1030_Grade_A
14030524,82.33,1.23,0.0,1.33,96.78,Coke_1030_Grade_A
14030525,83.45,0.82,0.0,1.91,97.36,Coke_1030_Grade_B
14030526,80.6,1.14,0.0,1.0,98.0,Coke_1030_Grade_A
