tar,cao,mgo,s0_95,s95_508,labels
14030305,91.9,1.2,5.5,94.5,0
14030308,91.0,1.2,5.0,95.0,0
14030309,91.25,1.2,4.5,95.5,0
14030310,91.07,1.2,4.33,95.67,0
14030311,91.7,1.2,4.0,96.0,0
14030312,92.0,1.2,4.0,96.0,0
14030313,91.77,1.2,4.67,95.33,0
14030315,91.75,1.2,4.5,95.5,0
14030316,91.5,1.2,4.33,95.67,0
14030317,89.5,1.2,4.0,96.0,0
14030318,90.4,1.2,4.0,96.0,0
14030319,91.2,1.2,5.0,95.0,0
14030320,91.2,1.2,4.5,95.5,0
14030321,91.2,1.2,4.0,96.0,0
14030322,91.5,1.2,5.0,95.0,0
14030323,91.92,1.2,4.5,95.5,0
14030324,91.7,1.2,4.67,95.33,0
14030325,90.7,1.2,5.0,95.0,0
14030326,91.15,1.2,4.0,96.0,0
14030327,91.14,1.2,4.0,96.0,0
14030328,91.13,1.2,4.0,96.0,0
14030329,91.4,1.2,5.0,95.0,0
14030330,91.47,1.2,4.33,95.67,0
14030331,91.75,1.2,4.5,95.5,0
14030402,91.52,1.2,4.0,96.0,0
14030403,91.03,1.2,4.33,95.67,0
14030404,91.25,1.2,4.25,95.75,0
14030406,91.25,1.2,5.0,95.0,0
14030407,91.5,1.2,4.5,95.5,0
14030408,91.8,1.2,4.0,96.0,0
14030409,90.9,1.2,5.0,95.0,0
14030410,90.85,1.2,4.5,95.5,0
14030411,91.2,1.2,4.0,96.0,0
14030412,91.38,1.2,4.0,96.0,0
14030413,91.05,1.2,4.0,96.0,0
14030417,93.1,2.4,1.33,32.0,1
14030418,91.28,1.3,4.25,95.75,0
14030419,91.25,1.3,4.25,95.75,0
14030420,91.32,1.3,4.25,95.75,0
14030421,91.37,1.2,4.0,96.0,0
14030422,91.1,1.2,5.0,95.0,0
14030423,91.47,1.2,4.0,96.0,0
14030424,91.45,1.2,4.5,95.5,0
14030427,91.78,1.2,3.5,79.83,1
14030428,91.93,1.2,3.33,80.0,1
14030429,91.3,1.2,4.5,95.5,0
14030430,92.0,1.2,4.5,95.5,0
14030431,91.6,1.2,4.2,95.8,0
14030501,91.66,1.2,4.6,95.4,0
14030502,91.34,1.2,4.0,96.0,0
14030503,91.98,1.2,3.8,96.2,0
14030504,91.68,1.2,3.8,96.2,0
14030505,91.95,1.2,4.0,96.0,0
14030506,91.47,1.2,4.0,96.0,0
14030507,92.1,1.2,3.0,97.0,0
14030509,91.35,1.2,4.5,95.5,0
14030510,91.48,1.2,4.25,95.75,0
14030511,91.38,1.2,4.0,96.0,0
14030512,91.7,1.2,5.0,95.0,0
14030513,91.45,1.2,4.0,96.0,0
14030514,91.47,1.2,4.33,95.67,0
14030515,91.67,1.2,3.33,96.67,0
14030516,91.98,1.2,4.4,95.6,0
14030517,91.65,1.2,3.75,96.25,0
14030518,92.05,1.2,4.25,95.75,0
14030520,91.87,1.2,4.33,95.67,0
14030521,91.95,1.2,4.25,95.75,0
14030522,91.82,1.2,4.0,96.0,0
14030523,91.75,1.2,4.0,96.0,0
14030524,91.85,1.2,4.0,96.0,0
14030525,92.0,1.2,4.4,95.6,0
14030526,91.7,1.2,4.0,96.0,0
14030527,91.4,1.2,3.17,80.17,1
14030528,91.22,1.2,3.8,96.2,0
14030529,91.16,1.2,4.0,96.0,0
14030530,91.2,1.2,4.25,95.75,0
14030531,91.15,1.2,4.0,96.0,0
14030605,91.9,1.8,4.0,96.0,0
14030606,91.5,1.2,4.5,95.5,0
14030607,91.92,1.2,4.0,96.0,0
14030608,91.82,1.2,4.75,95.25,0
14030609,91.7,1.2,4.5,95.5,0
14030610,91.38,1.2,4.25,95.75,0
14030611,91.53,1.2,5.0,95.0,0
14030613,91.93,1.2,2.67,64.0,1
14030615,91.55,1.2,4.0,96.0,0
14030616,91.4,1.2,2.17,47.83,1
14030617,91.58,1.2,3.0,72.0,1
14030618,91.85,1.2,5.0,95.0,0
14030619,91.4,1.2,4.0,96.0,0
14030620,92.0,1.2,4.0,96.0,0
14030621,91.88,1.3,4.0,96.0,0
14030622,91.79,1.2,2.29,54.86,1
14030623,91.83,1.2,3.0,63.67,1
14030624,91.77,1.2,3.0,63.67,1
14030625,91.77,1.2,2.33,64.33,1
14030626,91.6,1.2,3.5,96.5,0
14030627,91.37,1.2,4.0,96.0,0
14030628,91.45,1.2,3.0,72.0,1
14030629,91.18,1.2,1.4,38.6,1
14030630,90.9,1.2,4.0,96.0,0
14030631,91.7,1.2,3.5,96.5,0
14030701,91.63,1.2,4.0,96.0,0
14030702,91.83,1.2,3.67,96.33,0
14030703,91.5,1.2,4.33,95.67,0
14030704,91.4,1.2,4.33,95.67,0
14030705,91.38,1.2,2.2,57.8,1
14030706,91.5,1.2,4.0,96.0,0
14030707,91.53,1.2,4.33,95.67,0
14030708,91.32,1.2,4.0,96.0,0
14030709,92.65,1.1,3.75,96.25,0
14030710,92.58,1.3,3.5,96.5,0
14030712,92.53,1.73,3.67,96.33,0
14030713,92.1,1.2,4.5,95.5,0
14030714,92.52,1.2,7.4,72.6,1
14030715,91.92,1.2,9.6,70.4,1
14030716,91.92,1.2,3.6,76.4,1
14030717,91.62,1.2,4.0,96.0,0
14030718,91.6,1.2,4.25,95.75,0
14030719,92.48,1.3,3.0,72.0,1
14030720,92.1,1.2,4.0,96.0,0
14030721,92.4,1.2,3.0,77.0,1
