tar,Coke_1030(c),Coke_1030(s),Coke_1030(humidity),Coke_1030(s112),Coke_1030(s112_315),Coke_1030(s315),Coke_Fine(c),Coke_Fine(s),Coke_Fine(humidity),Coke_Fine(s05),Coke_Fine(s05_335),Coke_Fine(s335),dolomite(cao),dolomite(mgo),dolomite(s0_95),dolomite(s95_385),dolomite(s385_1000),lime(cao),lime(mgo),lime(s0_95),lime(s95_508),dri(fe_metal),dri(fe_total),dri(md),dri(c),dri(cao),dri(sio2),dri(mgo),dri(al2o3),dri(p),dri(mno),dri(gunge),dri(feo),dri(feo_c)
14020929,81.69,1.22,0.13,2.14,96.18,1.68,84.34,1.08,0.1,2.29,96.54,1.17,54.6,33.13,1.67,65.0,0.0,90.52,1.2,2.75,72.25,82.15,87.45,93.95,1.9,0.0,0.0,0.0,0.0,0.0,0.0,9.13,6.82,3.59
14020930,81.64,0.98,0.0,2.6,94.2,3.2,84.34,1.08,0.1,2.29,96.54,1.17,55.0,32.33,1.5,48.5,0.0,90.47,1.2,2.33,64.33,81.4,86.6,94.0,1.5,0.91,5.1,0.77,0.95,0.1,0.04,10.41,6.69,4.46
14021001,81.69,1.22,0.13,2.14,96.18,1.68,84.34,1.08,0.1,2.29,96.54,1.17,54.67,33.1,2.0,64.67,0.0,92.0,1.2,4.0,96.0,80.63,87.3,92.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.79,8.58,0.0
14021002,81.69,1.22,0.13,2.14,96.18,1.68,84.34,1.08,0.1,2.29,96.54,1.17,54.7,33.25,1.75,48.25,0.0,91.08,1.13,3.17,80.17,81.57,87.62,93.1,1.62,0.23,1.32,0.16,0.24,0.03,0.01,9.02,7.78,4.82
14021003,81.69,1.22,0.13,2.14,96.18,1.68,84.34,1.08,0.1,2.29,96.54,1.17,54.43,33.6,4.0,96.0,0.0,90.99,1.2,3.2,76.8,81.42,87.22,93.32,1.88,0.22,1.31,0.22,0.24,0.03,0.01,9.24,7.46,4.01
14021004,81.93,1.03,0.0,2.0,98.0,0.0,84.34,1.08,0.1,2.29,96.54,1.17,55.07,33.61,2.68,82.3,0.14,91.53,1.07,1.0,32.33,80.7,87.55,92.2,1.65,0.0,0.0,0.0,0.0,0.0,0.0,8.84,8.81,5.36
14021005,81.63,1.3,0.0,3.33,96.67,0.0,84.34,1.08,0.1,2.29,96.54,1.17,54.33,33.53,1.67,65.0,0.0,91.12,1.2,4.25,95.75,80.95,86.88,93.18,1.78,0.23,1.18,0.18,0.22,0.02,0.01,9.65,7.62,4.32
14021006,83.75,0.9,0.0,2.5,97.5,0.0,84.34,1.08,0.1,2.29,96.54,1.17,55.02,33.55,1.75,48.25,0.0,91.18,1.2,3.5,71.5,81.16,86.9,93.38,1.78,0.18,1.03,0.16,0.19,0.02,0.01,9.68,7.38,4.16
14021007,81.69,1.22,0.13,2.14,96.18,1.68,84.34,1.08,0.1,2.29,96.54,1.17,54.5,32.97,2.0,64.67,0.0,90.83,1.2,2.33,64.33,80.77,86.8,93.07,1.9,0.0,0.0,0.0,0.0,0.0,0.0,9.57,7.76,4.18
14021008,81.69,1.22,0.13,2.14,96.18,1.68,84.34,1.08,0.1,2.29,96.54,1.17,54.57,33.17,2.0,64.67,0.0,91.33,1.22,3.86,84.26,81.53,87.3,93.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.05,7.42,3.77
