heat_no,cao (Slag),feo (Slag),sio2 (Slag),mgo (Slag),al2o3 (Slag),p2o5 (Slag),mno (Slag),b2 (Slag),b3 (Slag),b4 (Slag),Slag_labels
4032370,29.3,20.2,27.8,11.5,5.1,0.867,0.219,1.05,0.89,1.24,3
4032373,28.7,23.0,26.5,10.7,5.1,0.887,0.262,1.08,0.91,1.25,3
4032376,25.8,28.8,24.4,10.3,4.7,0.84,0.232,1.06,0.89,1.24,3
4032378,23.4,33.8,22.7,9.9,4.3,0.797,0.206,1.03,0.87,1.23,2
4032382,21.6,39.4,20.0,9.5,3.8,0.729,0.179,1.08,0.91,1.31,2
4032385,27.2,28.8,23.8,9.2,4.9,0.934,0.236,1.14,0.95,1.27,3
4032390,27.1,26.9,25.2,10.4,4.7,0.869,0.205,1.08,0.91,1.25,3
4032396,28.6,22.3,27.2,11.2,4.9,0.865,0.21,1.05,0.89,1.24,3
4032399,29.1,21.5,27.8,10.5,5.2,0.88,0.256,1.05,0.88,1.2,3
4032400,28.6,24.1,26.3,10.3,5.0,0.908,0.239,1.09,0.91,1.24,3
4032405,27.1,25.4,26.1,10.2,5.1,1.007,0.237,1.04,0.87,1.2,3
4032408,25.0,30.3,24.7,9.2,4.8,0.936,0.223,1.01,0.85,1.16,3
4032410,30.3,19.9,28.0,10.6,5.1,0.88,0.231,1.08,0.92,1.24,3
4032413,29.4,21.1,27.0,11.5,4.8,0.944,0.234,1.09,0.92,1.29,3
4032416,29.0,21.3,27.4,11.2,5.1,0.987,0.219,1.06,0.89,1.24,3
4032421,28.7,26.9,24.4,8.9,4.9,1.095,0.249,1.18,0.98,1.28,3
4032422,26.7,30.1,23.5,9.2,4.4,1.019,0.226,1.14,0.96,1.29,3
4032425,25.2,34.5,21.6,8.6,4.1,0.87,0.236,1.17,0.98,1.32,2
4032430,27.8,25.4,25.9,10.2,5.0,0.877,0.234,1.07,0.9,1.23,3
4032435,26.7,27.7,25.4,9.8,4.7,0.921,0.227,1.05,0.89,1.21,3
4032440,29.8,25.9,24.4,9.3,4.5,0.97,0.225,1.22,1.03,1.35,3
4032450,27.5,30.0,23.0,9.4,4.2,0.847,0.2,1.2,1.01,1.36,3
4032456,27.6,28.1,23.9,9.8,4.8,0.907,0.234,1.15,0.96,1.3,3
4032459,29.5,24.8,25.4,10.0,4.5,0.922,0.215,1.16,0.99,1.32,3
