heat_no,cao (Slag),feo (Slag),sio2 (Slag),mgo (Slag),al2o3 (Slag),p2o5 (Slag),mno (Slag),b2 (Slag),b3 (Slag),b4 (Slag),Slag_labels
4032977,23.6,36.4,20.6,10.4,3.7,0.705,0.226,1.15,0.97,1.4,2
4032985,25.1,32.8,21.7,11.1,3.8,0.772,0.222,1.16,0.98,1.42,2
4032990,28.7,26.6,23.7,11.5,3.9,0.887,0.212,1.21,1.04,1.46,3
4032994,25.8,32.6,21.8,10.6,3.8,0.759,0.206,1.18,1.01,1.42,2
4033000,22.7,36.6,20.0,11.3,3.6,0.756,0.165,1.14,0.96,1.44,2
4033001,22.9,37.6,20.1,10.5,3.3,0.719,0.155,1.14,0.98,1.43,2
4033004,23.6,35.2,21.8,10.0,3.7,0.767,0.172,1.08,0.93,1.32,2
4033006,23.9,35.4,20.8,10.4,3.8,0.718,0.174,1.15,0.97,1.39,2
4033010,26.6,31.2,22.6,10.4,3.5,0.856,0.165,1.18,1.02,1.42,2
4033013,26.1,32.6,21.9,9.9,3.7,0.832,0.168,1.19,1.02,1.41,2
4033020,24.9,34.6,21.1,10.5,3.5,0.808,0.171,1.18,1.01,1.44,2
4033026,24.7,37.6,19.3,9.1,3.9,0.788,0.186,1.28,1.06,1.46,2
4033031,21.4,41.4,18.5,10.3,3.2,0.704,0.154,1.16,0.99,1.46,2
4033034,23.0,37.9,20.3,10.1,3.4,0.797,0.163,1.13,0.97,1.4,2
4033038,23.9,36.9,20.3,9.9,3.5,0.769,0.178,1.18,1.0,1.42,2
4033035,26.1,36.9,18.8,9.1,3.2,0.784,0.159,1.39,1.19,1.6,2
4033042,24.8,36.1,20.2,9.6,3.5,0.772,0.159,1.23,1.05,1.45,2
4033045,26.3,35.7,19.0,9.6,3.4,0.813,0.169,1.38,1.17,1.6,2
4033052,25.6,34.9,20.2,9.8,3.6,0.81,0.183,1.27,1.08,1.49,2
4033054,25.3,35.2,20.2,9.9,3.5,0.808,0.182,1.25,1.07,1.49,2
4033065,22.0,40.2,18.7,9.9,3.4,0.747,0.171,1.18,1.0,1.44,2
4033070,26.9,29.6,22.9,10.6,4.1,0.83,0.203,1.17,1.0,1.39,3
4033075,24.2,35.1,21.2,10.2,3.7,0.779,0.174,1.14,0.97,1.38,2
4033080,24.3,39.2,17.6,10.3,3.2,0.744,0.227,1.38,1.17,1.66,2
4033085,23.1,41.0,18.2,9.0,3.4,0.78,0.155,1.27,1.07,1.49,2
4033089,20.7,44.6,17.3,8.9,3.2,0.713,0.152,1.2,1.01,1.44,2
4033105,25.6,35.7,19.9,9.2,3.7,0.815,0.198,1.29,1.08,1.47,2
4033112,29.4,33.0,18.9,8.6,4.3,0.856,0.222,1.56,1.27,1.64,0
4033115,29.6,26.8,22.8,11.0,3.9,0.823,0.22,1.3,1.11,1.52,0
4033118,26.4,30.5,23.2,10.3,4.1,0.853,0.183,1.14,0.97,1.34,3
4033120,32.1,19.8,25.8,12.1,4.7,0.797,0.222,1.24,1.05,1.45,3
4033125,33.4,21.2,23.7,11.9,4.4,0.829,0.21,1.41,1.19,1.61,3
4033130,31.5,23.2,24.1,11.3,4.4,0.749,0.205,1.31,1.11,1.5,0
4033139,30.6,25.8,22.9,10.8,4.1,0.815,0.212,1.34,1.13,1.53,0
4033140,28.9,31.3,19.8,10.7,3.6,0.797,0.197,1.46,1.24,1.69,0
4033150,27.7,31.4,20.8,10.8,3.8,0.768,0.192,1.33,1.13,1.57,2
4033152,24.1,39.9,17.8,9.6,3.3,0.622,0.193,1.35,1.14,1.6,2
4033155,26.6,35.9,18.3,10.2,3.5,0.707,0.194,1.45,1.22,1.69,2
4033162,27.9,34.3,18.5,10.3,3.5,0.714,0.183,1.51,1.27,1.74,2
4033166,29.1,25.9,23.4,11.8,4.4,0.764,0.224,1.24,1.05,1.47,0
4033170,28.3,31.5,21.2,9.8,3.7,0.742,0.202,1.33,1.14,1.53,2
4033175,26.2,37.1,18.7,9.1,3.5,0.719,0.209,1.4,1.18,1.59,2
4033181,25.1,37.7,19.1,9.2,3.5,0.757,0.307,1.31,1.11,1.52,2
4033186,30.3,29.9,21.0,8.9,4.0,0.867,0.299,1.44,1.21,1.57,0
4033189,29.0,29.2,22.3,9.3,4.3,0.9,0.24,1.3,1.09,1.44,0
4033190,28.6,31.3,21.1,9.4,3.9,0.895,0.213,1.36,1.14,1.52,0
4033194,30.9,25.6,23.8,9.5,4.4,0.895,0.257,1.3,1.1,1.43,3
4033195,29.2,29.9,21.8,9.1,4.1,0.856,0.238,1.34,1.13,1.48,0
4033200,28.7,29.4,22.1,10.0,4.0,0.866,0.245,1.3,1.1,1.48,0
4033202,29.2,29.0,22.1,10.2,3.8,0.845,0.23,1.32,1.13,1.52,0
4033207,31.4,25.5,23.0,10.1,4.4,0.886,0.262,1.37,1.15,1.51,0
4033210,31.3,23.9,24.0,10.8,4.5,0.889,0.256,1.3,1.1,1.48,3
4033213,34.1,18.3,26.3,10.7,4.8,1.022,0.281,1.3,1.1,1.44,3
4033215,31.2,21.7,25.3,11.4,4.8,0.886,0.261,1.23,1.04,1.42,3
4033221,26.5,35.7,19.0,9.7,3.6,0.835,0.222,1.39,1.17,1.6,2
4033224,30.2,30.2,21.1,9.2,3.8,0.964,0.214,1.43,1.21,1.58,0
4033225,28.1,34.1,19.9,8.7,3.7,0.844,0.233,1.41,1.19,1.56,0
4033231,25.1,37.1,19.3,9.4,3.6,0.888,0.246,1.3,1.1,1.51,2
4033234,29.1,28.3,22.7,9.6,4.4,0.988,0.276,1.28,1.07,1.42,0
4033237,27.7,35.7,18.2,9.1,3.5,0.91,0.228,1.52,1.28,1.7,2
4033240,26.7,36.8,17.8,9.4,3.5,0.877,0.221,1.5,1.25,1.69,2
4033247,28.9,31.6,20.5,9.4,3.6,0.946,0.254,1.41,1.2,1.59,0
4033250,31.8,28.2,21.0,8.7,4.2,0.986,0.239,1.51,1.26,1.61,0
4033252,29.3,31.1,20.1,9.6,3.8,0.982,0.234,1.46,1.23,1.63,0
4033255,31.4,25.2,23.0,10.2,4.2,1.031,0.247,1.37,1.15,1.53,0
4033259,31.8,28.9,19.9,9.6,3.6,1.035,0.219,1.6,1.35,1.76,0
4033263,30.9,28.6,20.8,9.4,4.0,1.097,0.243,1.49,1.25,1.62,0
4033268,29.8,28.0,21.9,10.5,3.9,1.03,0.254,1.36,1.16,1.56,0
4033270,30.3,28.3,21.5,10.0,4.0,0.996,0.246,1.41,1.19,1.58,0
4033273,30.7,27.6,21.8,9.9,4.1,1.06,0.249,1.41,1.19,1.57,0
4033279,28.8,31.5,20.2,10.0,3.7,0.976,0.219,1.43,1.21,1.62,0
4033280,29.2,31.5,19.8,10.0,3.8,0.972,0.224,1.47,1.24,1.66,0
4033290,27.2,36.8,17.6,9.0,3.5,0.877,0.205,1.55,1.29,1.72,2
4033296,30.2,28.5,21.0,10.4,3.9,0.992,0.208,1.44,1.21,1.63,0
4033298,29.8,29.6,20.6,10.1,3.9,0.961,0.226,1.45,1.22,1.63,0
4033305,29.1,32.2,20.0,9.1,3.8,0.99,0.21,1.46,1.22,1.61,0
4033306,29.2,30.5,21.0,9.5,4.1,0.927,0.223,1.39,1.16,1.54,0
4033310,29.8,28.6,21.8,9.9,4.2,0.903,0.236,1.37,1.15,1.53,0
4033315,27.6,31.8,20.8,10.3,3.9,0.879,0.2,1.33,1.12,1.53,2
4033316,31.0,26.7,22.1,9.9,4.5,0.903,0.235,1.4,1.17,1.54,0
4033318,28.1,29.9,21.9,10.4,4.1,0.883,0.211,1.28,1.08,1.48,0
4033319,28.6,28.7,21.9,10.8,4.3,0.906,0.224,1.31,1.09,1.5,0
4033320,31.0,27.6,21.5,9.8,4.4,0.951,0.228,1.44,1.2,1.58,0
4033323,29.6,28.0,21.6,10.7,4.1,0.948,0.224,1.37,1.15,1.57,0
4033330,29.5,27.8,21.9,10.6,4.1,0.999,0.216,1.35,1.13,1.54,0
4033335,35.2,18.8,24.2,10.8,4.7,1.122,0.225,1.45,1.22,1.59,3
4033337,29.6,28.9,21.6,9.7,4.1,0.967,0.215,1.37,1.15,1.53,0
4033340,28.0,29.2,21.4,11.3,4.0,0.925,0.21,1.31,1.1,1.55,0
4033343,29.2,30.7,20.3,9.5,4.1,0.94,0.223,1.44,1.2,1.59,0
4033351,28.4,33.6,19.2,9.3,3.8,0.856,0.226,1.48,1.23,1.64,0
4033360,26.9,36.2,18.6,9.1,3.6,0.842,0.205,1.45,1.21,1.62,2
4033362,26.9,36.0,18.4,9.5,3.5,0.79,0.24,1.46,1.23,1.66,2
4033372,30.2,25.6,24.3,9.3,4.8,0.935,0.197,1.24,1.04,1.36,3
4033375,31.1,30.7,19.7,9.1,3.8,0.948,0.189,1.58,1.32,1.71,0
4033380,31.3,28.0,21.0,9.8,4.2,0.94,0.215,1.49,1.24,1.63,0
4033384,32.8,26.3,20.9,10.1,3.9,0.997,0.245,1.57,1.32,1.73,0
4033388,29.3,30.0,21.0,9.8,3.9,0.903,0.194,1.4,1.18,1.57,0
4033395,28.3,30.3,21.6,9.5,4.3,0.978,0.207,1.31,1.09,1.46,0
4033397,30.2,27.8,22.3,9.0,4.7,0.896,0.275,1.35,1.12,1.45,0
4033400,30.2,30.7,20.9,8.4,3.9,0.859,0.2,1.44,1.22,1.56,0
4033401,29.0,33.4,19.3,8.4,4.0,0.841,0.209,1.5,1.24,1.61,0
4033405,28.9,33.7,19.4,8.0,4.1,0.865,0.214,1.49,1.23,1.57,0
4033410,27.9,35.2,19.0,8.5,3.6,0.788,0.181,1.47,1.23,1.61,2
4033412,28.9,33.1,19.9,8.5,3.8,0.831,0.19,1.45,1.22,1.58,0
4033424,27.6,32.6,21.1,9.3,3.8,0.775,0.204,1.31,1.11,1.48,2
4033425,28.8,33.3,19.6,8.6,4.1,0.894,0.216,1.47,1.22,1.58,0
4033428,26.7,35.9,19.2,8.8,3.7,0.834,0.198,1.39,1.17,1.55,2
4033430,27.6,36.4,17.9,8.9,3.6,0.844,0.194,1.54,1.28,1.7,2
4033435,28.8,30.7,21.2,9.3,4.0,0.873,0.233,1.36,1.14,1.51,0
4033441,24.1,37.0,20.0,9.3,3.8,0.739,0.206,1.21,1.01,1.4,2
4033445,24.8,38.9,18.2,8.7,3.7,0.771,0.197,1.36,1.13,1.53,2
4033449,25.6,36.9,19.4,8.5,4.0,0.781,0.197,1.32,1.09,1.46,2
4033450,23.5,40.4,17.6,9.4,3.5,0.722,0.191,1.34,1.11,1.56,2
4033456,31.1,24.6,24.5,9.5,4.4,0.785,0.293,1.27,1.08,1.4,3
4033460,31.1,23.1,24.7,10.4,4.9,0.753,0.238,1.26,1.05,1.4,3
4033462,32.0,23.4,25.1,9.3,4.5,0.56,0.218,1.27,1.08,1.4,3
4033465,29.5,28.1,22.8,9.3,4.8,0.759,0.238,1.29,1.07,1.41,3
4033467,28.5,28.9,22.3,10.5,4.4,0.755,0.213,1.28,1.07,1.46,3
4033469,27.7,26.5,21.5,14.6,4.2,0.772,0.194,1.29,1.08,1.65,0
4033473,30.4,23.7,25.0,10.5,4.9,0.845,0.231,1.22,1.02,1.37,3
4033475,28.1,29.4,22.5,10.1,4.4,0.828,0.212,1.25,1.04,1.42,3
4033476,28.6,27.2,23.9,10.2,4.5,0.803,0.214,1.2,1.01,1.37,3
4033480,30.7,25.8,23.5,9.9,4.5,0.787,0.224,1.31,1.1,1.45,3
4033482,28.5,28.0,23.2,10.5,4.3,0.778,0.212,1.23,1.04,1.42,3
4033485,30.3,24.1,24.7,10.2,5.0,0.726,0.237,1.23,1.02,1.36,3
4033490,30.9,24.1,25.0,9.9,4.7,0.773,0.217,1.24,1.04,1.37,3
4033492,28.7,25.5,25.0,10.6,4.8,0.718,0.234,1.15,0.96,1.32,3
4033495,27.0,29.3,23.9,9.7,4.6,0.629,0.266,1.13,0.95,1.29,3
4033499,28.7,27.7,22.9,10.4,4.6,0.727,0.228,1.25,1.04,1.42,3
4033500,29.3,30.6,20.6,10.2,4.1,0.732,0.206,1.42,1.19,1.6,0
4033506,25.4,34.8,20.4,9.5,4.2,0.732,0.196,1.25,1.03,1.42,2
4033508,27.1,33.1,20.6,9.4,4.0,0.767,0.192,1.32,1.1,1.48,2
4033510,27.3,32.4,21.2,9.0,4.3,0.783,0.198,1.29,1.07,1.42,2
4033520,33.5,17.3,27.5,11.1,5.3,0.776,0.225,1.22,1.02,1.36,3
4033522,31.0,24.8,24.1,10.0,4.7,0.79,0.211,1.29,1.08,1.42,3
4033525,32.2,21.0,26.0,10.3,5.0,0.924,0.226,1.24,1.04,1.37,3
4033528,30.7,26.6,22.6,10.4,4.3,0.788,0.199,1.36,1.14,1.53,0
4033533,26.8,31.0,22.7,10.0,4.2,0.725,0.185,1.18,1.0,1.37,3
4033535,27.0,33.2,20.7,9.8,4.0,0.758,0.18,1.3,1.09,1.49,2
4033538,27.6,30.5,22.6,9.2,4.4,0.756,0.22,1.22,1.02,1.36,3
4033540,32.9,21.8,25.2,9.3,5.0,0.839,0.212,1.31,1.09,1.4,3
4033545,30.7,19.5,26.5,12.1,5.3,0.736,0.227,1.16,0.97,1.35,3
4033547,30.2,28.5,21.6,9.6,4.1,0.865,0.207,1.4,1.18,1.55,0
4033550,31.0,20.1,26.9,10.7,5.3,0.746,0.194,1.15,0.96,1.3,3
4033555,30.4,24.2,24.6,10.0,4.8,0.869,0.174,1.24,1.03,1.37,3
4033557,30.8,20.6,26.6,11.0,5.1,0.856,0.178,1.16,0.97,1.32,3
4033560,32.9,23.8,24.0,8.7,4.7,0.831,0.221,1.37,1.15,1.45,3
4033562,29.4,28.3,22.9,9.1,4.3,0.875,0.166,1.28,1.08,1.42,0
4033565,28.4,28.2,23.0,10.3,4.2,0.84,0.165,1.23,1.04,1.42,3
4033567,31.0,22.3,25.5,10.4,4.8,0.929,0.184,1.22,1.02,1.37,3
4033570,30.2,25.1,24.0,10.4,4.5,0.82,0.202,1.26,1.06,1.42,3
4033573,30.9,20.7,26.7,11.1,5.0,0.88,0.2,1.16,0.97,1.32,3
4033583,32.7,20.9,25.5,10.1,4.8,0.897,0.189,1.28,1.08,1.41,3
4033586,30.1,26.3,23.0,10.3,4.4,0.91,0.173,1.31,1.1,1.47,0
4033591,25.9,34.9,20.3,9.1,4.0,0.762,0.173,1.28,1.07,1.44,2
4033594,28.9,25.9,24.5,10.1,4.7,0.844,0.186,1.18,0.99,1.34,3
4033595,28.3,29.1,22.7,9.5,4.5,0.828,0.171,1.25,1.04,1.39,3
4033598,29.9,26.6,23.3,9.5,4.8,0.851,0.195,1.28,1.06,1.4,3
4033600,30.2,25.7,23.6,10.2,4.6,0.886,0.182,1.28,1.07,1.43,3
4033602,26.4,33.9,21.2,9.1,4.0,0.76,0.175,1.25,1.05,1.41,2
4033604,25.7,34.7,21.2,9.0,4.0,0.789,0.167,1.21,1.02,1.38,2
4033608,25.4,34.0,22.0,8.8,4.4,0.778,0.178,1.15,0.96,1.3,3
4033615,28.8,26.9,23.0,11.1,4.6,0.843,0.291,1.25,1.04,1.45,3
4033620,30.2,24.0,25.1,10.3,4.9,0.875,0.181,1.2,1.01,1.35,3
4033625,28.9,26.1,24.3,10.1,4.9,0.808,0.189,1.19,0.99,1.34,3
4033626,26.7,29.8,23.6,9.7,4.6,0.759,0.211,1.13,0.95,1.29,3
4033631,28.8,29.4,22.6,9.2,4.3,0.854,0.167,1.27,1.07,1.41,0
4033635,26.4,32.4,22.8,8.2,4.5,0.812,0.181,1.16,0.97,1.27,3
4033640,25.3,34.6,18.8,11.5,4.1,0.761,0.217,1.35,1.1,1.61,2
4033642,26.1,32.7,21.6,9.8,4.2,0.757,0.173,1.21,1.01,1.39,2
4033645,26.4,32.5,21.5,9.8,4.2,0.762,0.159,1.23,1.03,1.41,2
4033648,28.1,29.4,22.9,9.8,4.4,0.786,0.158,1.23,1.03,1.39,3
4033650,27.1,31.5,22.2,9.5,4.4,0.745,0.162,1.22,1.02,1.38,3
4033652,26.0,33.6,21.5,9.4,4.1,0.729,0.159,1.21,1.02,1.38,2
4033656,29.6,25.7,24.6,9.7,5.0,0.861,0.188,1.2,1.0,1.33,3
4033657,32.7,28.2,20.7,8.2,4.8,0.824,0.217,1.58,1.28,1.6,0
4033660,28.6,28.7,22.1,10.9,4.3,0.897,0.17,1.29,1.08,1.5,0
4033663,27.3,31.5,21.5,9.9,4.4,0.847,0.174,1.27,1.05,1.44,0
4033666,27.5,32.4,21.2,9.5,4.0,0.839,0.163,1.3,1.09,1.47,2
4033674,26.8,32.2,22.8,8.7,4.1,0.704,0.2,1.18,1.0,1.32,3
4033676,30.3,26.2,24.3,9.2,4.6,0.827,0.18,1.25,1.05,1.37,3
4033678,29.2,28.4,23.4,8.9,4.4,0.776,0.189,1.25,1.05,1.37,3
4033684,29.0,29.6,22.3,9.3,4.2,0.809,0.154,1.3,1.09,1.45,0
4033686,31.3,21.6,26.5,10.2,5.0,0.808,0.166,1.18,0.99,1.32,3
4033689,29.2,29.4,22.7,9.0,4.4,0.769,0.159,1.29,1.08,1.41,3
4033692,30.8,23.0,25.5,10.4,4.9,0.8,0.17,1.21,1.01,1.36,3
4033695,31.2,21.6,26.4,10.1,5.0,0.805,0.165,1.18,0.99,1.32,3
4033697,31.4,22.2,25.7,10.1,5.0,0.816,0.169,1.22,1.02,1.35,3
4033702,31.2,22.7,25.4,10.3,4.9,0.816,0.166,1.23,1.03,1.37,3
4033705,30.0,29.2,21.7,9.6,4.0,0.852,0.165,1.38,1.17,1.54,0
4033707,33.5,20.5,25.7,10.2,4.6,0.914,0.205,1.3,1.11,1.44,3
4033710,29.3,28.7,22.6,9.8,4.0,0.822,0.158,1.3,1.1,1.47,0
4033712,28.5,28.8,22.3,10.2,4.5,0.827,0.177,1.28,1.06,1.44,0
4033717,32.6,21.1,25.2,10.5,4.9,0.842,0.216,1.29,1.08,1.43,3
4033720,32.3,22.2,24.7,10.9,4.5,0.865,0.206,1.31,1.11,1.48,3
4033721,32.2,22.4,24.9,10.5,4.7,0.855,0.197,1.29,1.09,1.44,3
4033728,34.0,20.2,26.1,9.7,4.7,0.907,0.168,1.3,1.1,1.42,3
4033730,33.1,22.8,24.5,9.7,4.5,0.878,0.191,1.35,1.14,1.48,3
4033733,33.3,22.6,24.6,9.3,4.8,0.777,0.218,1.35,1.13,1.45,3
4033736,27.4,33.7,20.9,8.6,4.1,0.796,0.149,1.31,1.1,1.44,2
4033740,34.4,23.3,23.2,9.0,4.8,0.914,0.17,1.48,1.23,1.55,3
4033742,30.3,29.0,21.9,9.2,4.3,0.826,0.157,1.38,1.16,1.51,0
4033745,32.3,22.2,25.6,9.7,4.9,0.841,0.175,1.26,1.06,1.38,3
4033749,32.4,23.3,24.1,9.8,4.3,0.951,0.177,1.34,1.14,1.49,3
4033752,34.8,17.8,26.2,10.6,4.5,0.933,0.213,1.33,1.13,1.48,3
4033760,31.1,26.6,22.2,10.1,4.0,0.923,0.164,1.4,1.19,1.57,0
4033769,33.8,20.9,24.0,10.8,4.5,0.904,0.211,1.41,1.19,1.56,3
4033765,31.6,25.2,22.9,10.4,4.3,0.89,0.262,1.38,1.16,1.54,0
4033773,29.3,32.2,19.5,9.7,3.8,0.78,0.186,1.5,1.26,1.67,0
4033777,30.9,27.4,21.3,10.3,4.3,0.828,0.203,1.45,1.21,1.61,0
4033780,31.2,25.0,23.0,10.7,4.3,0.938,0.213,1.36,1.14,1.53,0
4033792,32.5,26.1,21.6,9.6,4.3,0.832,0.266,1.5,1.25,1.63,0
4033795,34.4,22.3,19.6,13.8,3.9,0.824,0.192,1.76,1.46,2.05,0
4033799,28.6,29.0,21.6,10.7,4.2,0.8,0.211,1.32,1.11,1.52,0
4033803,29.3,29.8,21.0,9.8,4.2,0.86,0.186,1.4,1.16,1.55,0
4033805,28.8,30.6,20.7,9.9,4.0,0.954,0.15,1.39,1.17,1.57,0
4033808,29.3,32.3,19.9,8.8,3.7,0.942,0.14,1.47,1.24,1.61,0
4033810,29.0,31.4,20.1,9.7,3.8,0.894,0.151,1.44,1.21,1.62,0
4033815,30.4,27.9,22.3,9.4,3.9,0.977,0.16,1.36,1.16,1.52,0
4033817,31.5,26.8,21.8,9.8,4.1,0.919,0.201,1.44,1.22,1.59,0
4033830,31.3,26.5,22.7,9.8,4.2,0.955,0.151,1.38,1.16,1.53,0
4033832,29.2,30.3,21.2,9.9,3.9,0.899,0.149,1.38,1.16,1.56,0
4033835,27.9,33.8,19.5,9.7,3.7,0.833,0.145,1.43,1.2,1.62,0
4033840,27.9,30.9,21.7,10.3,3.9,0.798,0.167,1.29,1.09,1.49,0
4033845,29.1,30.1,20.3,10.7,4.2,0.865,0.158,1.43,1.19,1.62,0
4033852,24.9,37.1,19.4,9.1,3.7,0.737,0.197,1.28,1.08,1.47,2
4033853,27.4,32.2,21.6,8.9,4.1,0.835,0.159,1.27,1.07,1.41,0
4033858,28.2,32.5,20.1,9.8,3.7,0.905,0.155,1.4,1.18,1.6,0
4033860,29.9,26.4,22.7,11.1,4.1,0.911,0.172,1.32,1.12,1.53,0
4033866,28.3,29.5,22.2,10.2,4.1,0.905,0.16,1.27,1.08,1.46,0
4033870,29.3,28.8,21.9,10.5,3.9,0.93,0.146,1.34,1.14,1.54,0
4033875,32.3,25.0,22.5,10.2,4.2,0.945,0.175,1.44,1.21,1.59,0
4033880,31.5,26.1,22.3,9.9,4.3,0.94,0.17,1.41,1.18,1.56,0
4033883,32.6,21.3,24.6,11.0,4.5,0.946,0.167,1.33,1.12,1.5,3
4033885,33.5,21.4,24.0,10.6,4.4,0.934,0.186,1.4,1.18,1.55,3
4033890,28.1,30.0,21.8,9.9,4.2,0.926,0.18,1.29,1.08,1.46,0
4033893,31.6,26.1,22.6,9.8,3.9,0.949,0.172,1.4,1.19,1.56,0
4033895,31.1,25.9,23.0,9.2,4.7,0.953,0.212,1.35,1.12,1.45,0
4033897,32.6,23.4,23.6,9.8,4.5,0.952,0.197,1.38,1.16,1.51,3
4033901,30.1,25.1,24.3,10.5,4.4,0.934,0.201,1.24,1.05,1.41,3
4033905,28.3,31.6,20.9,9.8,3.8,0.913,0.193,1.35,1.15,1.54,0
4033908,26.6,35.0,19.1,10.0,3.7,0.907,0.164,1.39,1.17,1.61,2
4033910,27.2,32.4,20.8,10.0,4.0,0.933,0.173,1.31,1.1,1.5,2
4033912,26.3,35.1,19.6,9.5,3.9,0.907,0.178,1.34,1.12,1.52,2
4033915,25.2,38.7,18.3,8.7,3.5,0.851,0.162,1.38,1.16,1.56,2
4033918,27.6,33.3,20.1,9.7,3.7,0.923,0.161,1.37,1.16,1.57,2
4033920,22.5,41.7,17.4,9.4,3.5,0.818,0.162,1.29,1.08,1.53,2
4033923,25.7,35.7,18.9,9.8,3.9,0.853,0.191,1.36,1.13,1.56,2
4033925,27.1,35.4,19.1,8.5,3.9,0.892,0.208,1.42,1.18,1.55,2
4033929,26.9,32.3,20.3,10.7,3.9,0.861,0.168,1.33,1.11,1.55,2
4033930,26.5,33.4,20.0,10.3,3.9,0.858,0.169,1.32,1.11,1.54,2
4033933,25.6,34.4,20.1,10.2,3.7,0.854,0.162,1.27,1.08,1.5,2
4033941,26.8,30.8,21.6,10.8,4.1,0.861,0.191,1.24,1.04,1.46,0
4033943,28.6,28.5,22.3,10.2,4.2,0.873,0.21,1.28,1.08,1.46,0
4033945,30.4,24.4,23.7,11.2,4.3,0.961,0.195,1.28,1.09,1.49,3
4033951,24.9,34.0,20.8,10.1,4.3,0.831,0.185,1.2,0.99,1.39,2
4033955,27.0,32.5,20.6,9.9,4.0,0.904,0.177,1.31,1.1,1.5,2
4033957,29.4,28.3,21.6,10.8,4.2,0.911,0.179,1.36,1.14,1.56,0
4033960,28.8,27.4,23.4,10.6,4.2,0.867,0.2,1.23,1.04,1.43,3
4033963,32.4,26.1,22.3,8.9,4.5,0.961,0.198,1.45,1.21,1.54,0
4033965,26.3,34.8,19.7,10.0,3.8,0.872,0.189,1.34,1.12,1.54,2
4033968,24.5,37.9,18.8,9.8,3.6,0.826,0.175,1.3,1.09,1.53,2
4033970,27.2,33.1,19.9,10.3,4.0,0.922,0.188,1.37,1.14,1.57,2
4033975,27.4,30.9,21.3,10.9,4.1,0.842,0.193,1.29,1.08,1.51,0
4033976,25.2,36.3,18.0,11.5,3.6,0.786,0.172,1.4,1.17,1.7,2
4033981,25.5,34.9,20.4,9.9,3.9,0.782,0.196,1.25,1.05,1.46,2
4033982,26.0,34.3,20.9,9.5,3.9,0.805,0.192,1.24,1.05,1.43,2
4033985,26.1,33.2,20.6,10.5,4.2,0.834,0.211,1.27,1.05,1.48,2
4033987,24.9,37.2,18.8,9.6,3.7,0.82,0.183,1.32,1.11,1.53,2
4033990,24.8,38.3,18.7,8.9,3.5,0.832,0.182,1.33,1.12,1.52,2
4033995,27.2,33.9,19.5,9.7,3.9,0.915,0.193,1.39,1.16,1.58,2
4033998,28.6,29.8,21.1,10.7,4.0,0.878,0.153,1.36,1.14,1.57,0
4034003,23.1,40.6,18.1,8.9,3.7,0.72,0.191,1.28,1.06,1.47,2
4034004,23.0,40.8,18.0,9.1,3.6,0.738,0.188,1.28,1.06,1.49,2
4034014,26.8,32.8,21.6,8.9,4.0,0.78,0.222,1.24,1.05,1.39,2
4034020,31.1,22.6,24.8,10.8,4.7,0.864,0.233,1.25,1.05,1.42,3
4034025,30.9,24.3,23.6,11.3,4.4,0.85,0.205,1.31,1.1,1.51,3
4034027,35.4,18.7,24.8,10.8,4.6,0.846,0.211,1.43,1.2,1.57,3
4034030,32.1,24.0,23.6,10.5,4.3,0.752,0.214,1.36,1.15,1.53,3
4034032,33.4,19.9,25.6,10.5,4.9,0.843,0.19,1.3,1.1,1.44,3
4034035,33.4,26.0,22.1,8.9,3.9,0.921,0.169,1.51,1.28,1.63,0
4034037,34.9,18.0,26.2,10.8,4.5,0.782,0.209,1.33,1.14,1.49,3
4034040,29.0,28.5,22.3,10.6,3.9,0.749,0.202,1.3,1.11,1.51,0
4034043,30.6,29.7,20.8,9.5,3.8,0.754,0.21,1.47,1.24,1.63,0
4034044,28.8,31.7,20.1,10.2,3.8,0.758,0.203,1.43,1.21,1.63,0
4034045,29.5,30.0,21.4,9.9,3.8,0.676,0.25,1.38,1.17,1.56,0
4034047,30.3,28.2,21.8,10.3,3.8,0.76,0.191,1.39,1.18,1.59,0
4034052,33.5,21.6,24.0,10.7,4.4,0.85,0.202,1.4,1.18,1.56,3
4034055,33.4,17.9,27.3,11.0,4.7,0.709,0.214,1.22,1.04,1.39,3
4034058,35.9,14.9,27.4,10.4,5.7,0.799,0.238,1.31,1.08,1.4,3
4034060,35.1,14.4,28.3,11.3,5.3,0.691,0.228,1.24,1.04,1.38,3
4034061,32.7,22.7,24.0,10.6,4.3,0.845,0.206,1.36,1.16,1.53,3
4034067,32.1,24.5,23.1,10.0,4.6,0.785,0.246,1.39,1.16,1.52,3
4034068,32.5,24.2,23.0,9.8,4.7,0.839,0.243,1.41,1.17,1.53,3
4034064,34.5,14.1,29.1,11.8,5.3,0.601,0.238,1.19,1.0,1.35,3
4034070,34.0,19.3,25.2,11.2,4.8,0.793,0.237,1.35,1.13,1.51,3
4034072,32.4,20.7,25.8,10.8,4.8,0.818,0.235,1.26,1.06,1.41,3
4034075,32.2,23.4,24.5,10.0,4.4,0.814,0.234,1.31,1.11,1.46,3
4034077,29.9,25.3,24.3,10.6,4.5,0.746,0.242,1.23,1.04,1.41,3
4034081,28.7,28.4,22.6,10.4,4.6,0.731,0.242,1.27,1.06,1.44,3
4034084,28.5,29.8,22.1,10.2,4.1,0.74,0.216,1.29,1.09,1.48,0
4034085,28.3,27.3,23.9,10.5,4.5,0.781,0.238,1.18,1.0,1.37,3
