tar,c,s,humidity,s112,s112_315,s315
14030130,80.1,1.4,0.0,2.67,96.33,1.0
14030201,80.1,1.4,0.0,2.0,97.0,1.0
14030202,80.13,1.5,0.0,2.67,96.33,1.0
14030203,80.47,1.48,0.0,3.0,96.0,1.0
14030204,80.34,1.5,0.0,2.4,96.6,1.0
14030205,80.73,1.5,0.0,2.67,96.33,1.0
14030206,80.78,1.48,0.0,2.5,96.5,1.0
14030209,81.05,1.49,0.0,2.2,96.8,1.0
14030211,81.27,1.5,0.0,1.33,97.67,1.0
14030212,80.62,1.5,0.0,3.0,96.0,1.0
14030213,80.18,1.5,0.0,1.8,97.2,1.0
14030216,80.7,1.47,0.0,1.67,97.33,1.0
14030217,80.88,1.45,0.0,1.5,97.5,1.0
14030218,80.26,1.48,0.0,1.4,97.6,1.0
14030219,80.45,1.42,0.0,1.5,97.5,1.0
14030220,80.24,1.5,0.0,1.6,97.4,1.0
14030222,80.5,1.5,0.0,1.33,97.67,1.0
14030223,80.57,1.43,0.0,1.67,97.33,1.0
14030224,81.37,1.41,0.0,1.43,97.57,1.0
14030225,81.42,1.4,0.0,1.5,97.5,1.0
14030226,81.4,1.4,0.0,1.0,98.0,1.0
14030227,80.65,1.5,0.0,1.5,97.5,1.0
14030229,81.7,1.45,0.0,1.5,98.0,0.5
14030230,81.15,1.47,0.0,2.0,97.0,1.0
14030231,80.98,1.5,0.0,1.5,97.5,1.0
14030301,81.76,1.5,0.0,1.4,97.8,0.8
14030303,80.91,1.5,0.0,2.44,97.33,0.22
14030305,80.4,1.5,0.0,2.0,97.33,0.67
14030321,80.3,1.3,0.0,1.0,42.0,57.0
14030322,80.55,1.3,0.0,2.0,97.5,0.5
14030324,80.05,1.3,0.0,2.0,97.5,0.5
14030326,80.07,1.33,0.0,2.0,97.33,0.67
14030407,81.65,1.4,3.75,0.0,94.0,6.0
14030410,82.45,1.31,0.0,1.75,96.5,1.75
14030411,81.95,1.38,0.0,1.25,96.5,2.25
14030412,82.03,1.32,0.0,1.67,96.0,2.33
14030413,82.31,1.32,0.0,1.62,96.5,1.88
14030414,81.85,1.3,0.0,1.5,97.0,1.5
14030416,82.1,1.25,0.0,0.67,96.67,2.67
14030417,80.3,1.1,0.0,1.0,98.0,1.0
14030418,81.55,1.27,0.0,0.75,96.5,2.75
14030419,82.75,1.35,0.0,0.5,96.5,3.0
14030420,81.6,1.37,0.0,0.5,96.83,2.67
14030421,82.44,1.42,0.0,0.6,96.6,2.8
14030423,81.18,1.35,0.0,0.25,96.5,3.25
14030424,82.03,1.34,0.0,1.2,97.0,1.8
14030428,82.25,1.34,0.0,0.6,96.5,2.9
14030430,80.68,1.39,0.0,0.46,96.54,3.0
14030431,81.67,1.41,1.03,0.47,96.53,3.0
14030501,81.2,1.43,0.0,3.33,96.0,0.67
14030502,82.16,1.39,0.0,0.38,96.25,3.38
14030503,81.47,1.43,0.0,1.14,97.29,1.57
14030504,81.6,1.35,0.0,1.75,96.5,1.75
14030506,81.26,1.38,0.0,0.8,96.8,2.4
14030507,81.1,1.36,0.0,2.71,96.14,1.14
14030510,82.02,1.38,0.0,1.0,96.75,2.25
14030511,82.3,1.4,0.0,3.0,96.5,0.5
14030513,81.0,1.4,0.0,0.0,97.0,3.0
14030514,81.5,1.4,0.0,2.0,98.0,0.0
14030516,82.9,0.9,0.0,3.0,97.0,0.0
14030517,83.9,0.95,0.0,2.75,97.25,0.0
14030520,81.05,1.25,0.0,2.5,97.0,0.5
14030521,82.22,1.35,0.0,1.5,97.0,1.5
14030522,82.62,1.27,0.0,1.5,96.88,1.62
14030523,81.28,1.35,0.0,1.75,96.5,1.75
14030524,82.33,1.23,0.0,1.33,96.78,1.89
14030525,83.45,0.82,0.0,1.91,97.36,0.73
14030526,80.6,1.14,0.0,1.0,98.0,1.0
14030527,80.3,1.0,0.0,2.0,97.0,1.0
14030528,82.99,1.03,0.0,1.86,97.14,1.0
14030529,83.89,0.98,0.0,1.8,97.3,0.9
14030530,83.65,0.87,0.0,1.83,97.17,1.0
14030531,83.59,0.97,0.0,2.0,97.14,0.86
14030601,83.78,0.82,0.0,2.0,97.25,0.75
14030603,80.0,0.8,0.0,3.0,97.0,0.0
14030606,84.11,0.92,0.0,2.12,97.25,0.62
14030607,83.33,0.94,0.0,2.0,97.29,0.71
14030608,84.06,0.94,0.0,2.8,96.8,0.4
14030619,84.05,1.1,0.0,2.5,97.0,0.5
14030620,82.8,1.1,0.0,1.5,97.5,1.0
14030627,82.1,1.0,0.0,2.5,97.0,0.5
14030629,83.51,0.93,0.0,2.71,96.71,0.57
14030702,83.29,0.98,0.0,2.75,97.0,0.25
14030703,81.1,0.9,0.0,2.5,97.0,0.5
14030717,81.65,0.95,0.0,2.5,97.0,0.5
14030718,83.47,0.97,0.0,2.33,97.0,0.67
14030719,82.7,1.1,0.0,2.67,97.33,0.0
14030722,83.54,1.08,0.0,2.6,97.2,0.2
14030723,83.35,1.15,0.0,2.5,97.5,0.0
14030724,82.63,1.17,0.0,2.33,97.67,0.0
14030725,82.0,1.0,0.0,2.33,97.67,0.0
14030726,83.4,1.0,0.0,2.29,97.57,0.14
14030729,82.42,1.01,0.0,2.22,97.44,0.33
14030730,82.0,1.03,0.0,2.0,97.67,0.33
14030801,82.45,1.1,0.0,2.0,97.5,0.5
14030802,81.9,1.0,0.0,2.0,98.0,0.0
14030914,84.5,0.9,0.0,3.0,95.0,2.0
14030915,84.9,0.9,0.0,1.0,97.0,2.0
