tar,c,s,humidity,s05,s05_335,s335
14030410,82.45,1.31,0.0,2.0,97.0,1.0
14030411,81.95,1.38,0.0,2.0,97.0,1.0
14030412,82.03,1.32,0.0,2.0,97.0,1.0
14030413,82.31,1.32,0.0,2.0,97.0,1.0
14030414,81.85,1.3,0.0,2.0,97.0,1.0
14030416,82.1,1.25,0.0,2.0,97.0,1.0
14030417,80.3,1.1,0.0,2.0,97.0,1.0
14030418,81.55,1.27,0.0,2.0,97.0,1.0
14030419,82.75,1.35,0.0,2.0,97.0,1.0
14030420,81.6,1.37,0.0,2.0,97.0,1.0
14030421,82.44,1.42,0.0,2.0,97.0,1.0
14030423,81.18,1.35,0.0,2.0,97.0,1.0
14030424,82.03,1.34,0.0,2.0,97.0,1.0
14030428,82.25,1.34,0.0,2.0,97.0,1.0
14030430,80.68,1.39,0.0,2.0,97.0,1.0
14030431,81.67,1.41,1.03,2.0,97.0,1.0
14030501,81.2,1.43,0.0,2.0,97.0,1.0
14030502,82.16,1.39,0.0,2.0,97.0,1.0
14030503,81.47,1.43,0.0,2.0,97.0,1.0
14030504,81.6,1.35,0.0,2.0,97.0,1.0
14030506,81.26,1.38,0.0,2.0,97.0,1.0
14030507,81.1,1.36,0.0,2.0,97.0,1.0
14030510,82.02,1.38,0.0,2.0,97.0,1.0
14030511,82.3,1.4,0.0,2.0,97.0,1.0
14030513,81.0,1.4,0.0,2.0,97.0,1.0
14030514,81.5,1.4,0.0,2.0,97.0,1.0
14030516,82.9,0.9,0.0,2.0,97.0,1.0
14030517,83.9,0.95,0.0,2.0,97.0,1.0
14030520,81.05,1.25,0.0,2.0,97.0,1.0
14030521,82.22,1.35,0.0,2.0,97.0,1.0
14030522,82.62,1.27,0.0,2.0,97.0,1.0
14030523,81.28,1.35,0.0,2.0,97.0,1.0
14030524,82.33,1.23,0.0,2.0,97.0,1.0
14030525,83.45,0.82,0.0,2.0,97.0,1.0
14030526,80.6,1.14,0.0,2.0,97.0,1.0
14030527,80.3,1.0,0.0,2.0,97.0,1.0
14030528,82.99,1.03,0.0,2.0,97.0,1.0
14030529,83.89,0.98,0.0,2.0,97.0,1.0
14030530,83.65,0.87,0.0,2.0,97.0,1.0
14030531,83.59,0.97,0.0,2.0,97.0,1.0
14030601,83.78,0.82,0.0,2.0,97.0,1.0
14030603,80.0,0.8,0.0,2.0,97.0,1.0
14030606,84.11,0.92,0.0,2.0,97.0,1.0
14030607,83.33,0.94,0.0,2.0,97.0,1.0
14030608,84.06,0.94,0.0,2.0,97.0,1.0
14030619,84.05,1.1,0.0,2.0,97.0,1.0
14030620,82.8,1.1,0.0,2.0,97.0,1.0
14030627,82.1,1.0,0.0,2.0,97.0,1.0
14030629,83.51,0.93,0.0,2.0,97.0,1.0
14030702,83.29,0.98,0.0,2.0,97.0,1.0
14030703,81.1,0.9,0.0,2.0,97.0,1.0
14030717,81.65,0.95,0.0,2.0,97.0,1.0
14030718,83.47,0.97,0.0,2.0,97.0,1.0
14030719,82.7,1.1,0.0,2.0,97.0,1.0
14030722,83.54,1.08,0.0,2.0,97.0,1.0
14030723,83.35,1.15,0.0,2.0,97.0,1.0
14030724,82.63,1.17,0.0,2.0,97.0,1.0
14030725,82.0,1.0,0.0,2.0,97.0,1.0
14030726,83.4,1.0,0.0,2.0,97.0,1.0
14030729,82.42,1.01,0.0,2.0,97.0,1.0
14030730,82.0,1.03,0.0,2.0,97.0,1.0
14030801,82.45,1.1,0.0,2.0,97.0,1.0
14030802,81.9,1.0,0.0,2.0,97.0,1.0
14030910,75.95,1.4,0.0,2.5,96.5,1.0
14030912,82.4,0.9,0.0,3.0,96.0,1.0
14030913,81.3,0.9,0.0,1.0,99.0,0.0
14030914,84.5,0.9,0.0,2.0,97.0,1.0
14030915,84.9,0.9,0.0,2.0,97.0,1.0
