heat_no,tar (Slag),cao (Slag),feo (Slag),sio2 (Slag),mgo (Slag),al2o3 (Slag),p2o5 (Slag),mno (Slag),b2 (Slag),b3 (Slag),b4 (Slag)
4033395,14030713,28.3,30.3,21.6,9.5,4.3,0.978,0.207,1.31,1.09,1.46
4033397,14030713,30.2,27.8,22.3,9.0,4.7,0.896,0.275,1.35,1.12,1.45
4033400,14030713,30.2,30.7,20.9,8.4,3.9,0.859,0.2,1.44,1.22,1.56
4033401,14030713,29.0,33.4,19.3,8.4,4.0,0.841,0.209,1.5,1.24,1.61
4033405,14030713,28.9,33.7,19.4,8.0,4.1,0.865,0.214,1.49,1.23,1.57
4033410,14030713,27.9,35.2,19.0,8.5,3.6,0.788,0.181,1.47,1.23,1.61
4033412,14030713,28.9,33.1,19.9,8.5,3.8,0.831,0.19,1.45,1.22,1.58
4033424,14030714,27.6,32.6,21.1,9.3,3.8,0.775,0.204,1.31,1.11,1.48
4033425,14030714,28.8,33.3,19.6,8.6,4.1,0.894,0.216,1.47,1.22,1.58
4033428,14030714,26.7,35.9,19.2,8.8,3.7,0.834,0.198,1.39,1.17,1.55
4033430,14030714,27.6,36.4,17.9,8.9,3.6,0.844,0.194,1.54,1.28,1.7
4033435,14030714,28.8,30.7,21.2,9.3,4.0,0.873,0.233,1.36,1.14,1.51
4033441,14030715,24.1,37.0,20.0,9.3,3.8,0.739,0.206,1.21,1.01,1.4
4033445,14030715,24.8,38.9,18.2,8.7,3.7,0.771,0.197,1.36,1.13,1.53
4033449,14030715,25.6,36.9,19.4,8.5,4.0,0.781,0.197,1.32,1.09,1.46
4033450,14030715,23.5,40.4,17.6,9.4,3.5,0.722,0.191,1.34,1.11,1.56
4033456,14030716,31.1,24.6,24.5,9.5,4.4,0.785,0.293,1.27,1.08,1.4
4033460,14030716,31.1,23.1,24.7,10.4,4.9,0.753,0.238,1.26,1.05,1.4
4033462,14030716,32.0,23.4,25.1,9.3,4.5,0.56,0.218,1.27,1.08,1.4
4033465,14030716,29.5,28.1,22.8,9.3,4.8,0.759,0.238,1.29,1.07,1.41
4033467,14030717,28.5,28.9,22.3,10.5,4.4,0.755,0.213,1.28,1.07,1.46
4033469,14030717,27.7,26.5,21.5,14.6,4.2,0.772,0.194,1.29,1.08,1.65
4033473,14030717,30.4,23.7,25.0,10.5,4.9,0.845,0.231,1.22,1.02,1.37
4033475,14030717,28.1,29.4,22.5,10.1,4.4,0.828,0.212,1.25,1.04,1.42
4033476,14030717,28.6,27.2,23.9,10.2,4.5,0.803,0.214,1.2,1.01,1.37
4033480,14030717,30.7,25.8,23.5,9.9,4.5,0.787,0.224,1.31,1.1,1.45
4033482,14030717,28.5,28.0,23.2,10.5,4.3,0.778,0.212,1.23,1.04,1.42
4033485,14030717,30.3,24.1,24.7,10.2,5.0,0.726,0.237,1.23,1.02,1.36
4033490,14030718,30.9,24.1,25.0,9.9,4.7,0.773,0.217,1.24,1.04,1.37
4033492,14030718,28.7,25.5,25.0,10.6,4.8,0.718,0.234,1.15,0.96,1.32
4033495,14030718,27.0,29.3,23.9,9.7,4.6,0.629,0.266,1.13,0.95,1.29
4033499,14030718,28.7,27.7,22.9,10.4,4.6,0.727,0.228,1.25,1.04,1.42
4033500,14030718,29.3,30.6,20.6,10.2,4.1,0.732,0.206,1.42,1.19,1.6
4033506,14030718,25.4,34.8,20.4,9.5,4.2,0.732,0.196,1.25,1.03,1.42
4033508,14030718,27.1,33.1,20.6,9.4,4.0,0.767,0.192,1.32,1.1,1.48
4033510,14030718,27.3,32.4,21.2,9.0,4.3,0.783,0.198,1.29,1.07,1.42
4033520,14030719,33.5,17.3,27.5,11.1,5.3,0.776,0.225,1.22,1.02,1.36
4033522,14030719,31.0,24.8,24.1,10.0,4.7,0.79,0.211,1.29,1.08,1.42
4033525,14030719,32.2,21.0,26.0,10.3,5.0,0.924,0.226,1.24,1.04,1.37
4033528,14030719,30.7,26.6,22.6,10.4,4.3,0.788,0.199,1.36,1.14,1.53
4033533,14030719,26.8,31.0,22.7,10.0,4.2,0.725,0.185,1.18,1.0,1.37
4033535,14030719,27.0,33.2,20.7,9.8,4.0,0.758,0.18,1.3,1.09,1.49
4033538,14030719,27.6,30.5,22.6,9.2,4.4,0.756,0.22,1.22,1.02,1.36
4033540,14030719,32.9,21.8,25.2,9.3,5.0,0.839,0.212,1.31,1.09,1.4
4033545,14030720,30.7,19.5,26.5,12.1,5.3,0.736,0.227,1.16,0.97,1.35
4033547,14030720,30.2,28.5,21.6,9.6,4.1,0.865,0.207,1.4,1.18,1.55
4033550,14030720,31.0,20.1,26.9,10.7,5.3,0.746,0.194,1.15,0.96,1.3
4033555,14030720,30.4,24.2,24.6,10.0,4.8,0.869,0.174,1.24,1.03,1.37
4033557,14030720,30.8,20.6,26.6,11.0,5.1,0.856,0.178,1.16,0.97,1.32
4033560,14030720,32.9,23.8,24.0,8.7,4.7,0.831,0.221,1.37,1.15,1.45
4033562,14030720,29.4,28.3,22.9,9.1,4.3,0.875,0.166,1.28,1.08,1.42
4033565,14030720,28.4,28.2,23.0,10.3,4.2,0.84,0.165,1.23,1.04,1.42
4033567,14030720,31.0,22.3,25.5,10.4,4.8,0.929,0.184,1.22,1.02,1.37
4033570,14030720,30.2,25.1,24.0,10.4,4.5,0.82,0.202,1.26,1.06,1.42
4033573,14030721,30.9,20.7,26.7,11.1,5.0,0.88,0.2,1.16,0.97,1.32
4033583,14030723,32.7,20.9,25.5,10.1,4.8,0.897,0.189,1.28,1.08,1.41
4033586,14030723,30.1,26.3,23.0,10.3,4.4,0.91,0.173,1.31,1.1,1.47
4033591,14030723,25.9,34.9,20.3,9.1,4.0,0.762,0.173,1.28,1.07,1.44
4033594,14030723,28.9,25.9,24.5,10.1,4.7,0.844,0.186,1.18,0.99,1.34
4033595,14030723,28.3,29.1,22.7,9.5,4.5,0.828,0.171,1.25,1.04,1.39
4033598,14030723,29.9,26.6,23.3,9.5,4.8,0.851,0.195,1.28,1.06,1.4
4033600,14030724,30.2,25.7,23.6,10.2,4.6,0.886,0.182,1.28,1.07,1.43
4033602,14030724,26.4,33.9,21.2,9.1,4.0,0.76,0.175,1.25,1.05,1.41
4033604,14030724,25.7,34.7,21.2,9.0,4.0,0.789,0.167,1.21,1.02,1.38
4033608,14030724,25.4,34.0,22.0,8.8,4.4,0.778,0.178,1.15,0.96,1.3
4033615,14030724,28.8,26.9,23.0,11.1,4.6,0.843,0.291,1.25,1.04,1.45
4033620,14030724,30.2,24.0,25.1,10.3,4.9,0.875,0.181,1.2,1.01,1.35
4033625,14030725,28.9,26.1,24.3,10.1,4.9,0.808,0.189,1.19,0.99,1.34
4033626,14030725,26.7,29.8,23.6,9.7,4.6,0.759,0.211,1.13,0.95,1.29
4033631,14030725,28.8,29.4,22.6,9.2,4.3,0.854,0.167,1.27,1.07,1.41
4033635,14030725,26.4,32.4,22.8,8.2,4.5,0.812,0.181,1.16,0.97,1.27
4033640,14030725,25.3,34.6,18.8,11.5,4.1,0.761,0.217,1.35,1.1,1.61
4033642,14030725,26.1,32.7,21.6,9.8,4.2,0.757,0.173,1.21,1.01,1.39
4033645,14030725,26.4,32.5,21.5,9.8,4.2,0.762,0.159,1.23,1.03,1.41
4033648,14030726,28.1,29.4,22.9,9.8,4.4,0.786,0.158,1.23,1.03,1.39
4033650,14030726,27.1,31.5,22.2,9.5,4.4,0.745,0.162,1.22,1.02,1.38
4033652,14030726,26.0,33.6,21.5,9.4,4.1,0.729,0.159,1.21,1.02,1.38
4033656,14030726,29.6,25.7,24.6,9.7,5.0,0.861,0.188,1.2,1.0,1.33
4033657,14030726,32.7,28.2,20.7,8.2,4.8,0.824,0.217,1.58,1.28,1.6
4033660,14030726,28.6,28.7,22.1,10.9,4.3,0.897,0.17,1.29,1.08,1.5
4033663,14030726,27.3,31.5,21.5,9.9,4.4,0.847,0.174,1.27,1.05,1.44
4033666,14030726,27.5,32.4,21.2,9.5,4.0,0.839,0.163,1.3,1.09,1.47
4033674,14030727,26.8,32.2,22.8,8.7,4.1,0.704,0.2,1.18,1.0,1.32
4033676,14030727,30.3,26.2,24.3,9.2,4.6,0.827,0.18,1.25,1.05,1.37
4033678,14030727,29.2,28.4,23.4,8.9,4.4,0.776,0.189,1.25,1.05,1.37
4033684,14030727,29.0,29.6,22.3,9.3,4.2,0.809,0.154,1.3,1.09,1.45
4033686,14030727,31.3,21.6,26.5,10.2,5.0,0.808,0.166,1.18,0.99,1.32
4033689,14030727,29.2,29.4,22.7,9.0,4.4,0.769,0.159,1.29,1.08,1.41
4033692,14030728,30.8,23.0,25.5,10.4,4.9,0.8,0.17,1.21,1.01,1.36
4033695,14030728,31.2,21.6,26.4,10.1,5.0,0.805,0.165,1.18,0.99,1.32
4033697,14030728,31.4,22.2,25.7,10.1,5.0,0.816,0.169,1.22,1.02,1.35
4033702,14030728,31.2,22.7,25.4,10.3,4.9,0.816,0.166,1.23,1.03,1.37
4033705,14030729,30.0,29.2,21.7,9.6,4.0,0.852,0.165,1.38,1.17,1.54
4033707,14030729,33.5,20.5,25.7,10.2,4.6,0.914,0.205,1.3,1.11,1.44
4033710,14030729,29.3,28.7,22.6,9.8,4.0,0.822,0.158,1.3,1.1,1.47
4033712,14030729,28.5,28.8,22.3,10.2,4.5,0.827,0.177,1.28,1.06,1.44
4033717,14030729,32.6,21.1,25.2,10.5,4.9,0.842,0.216,1.29,1.08,1.43
4033720,14030729,32.3,22.2,24.7,10.9,4.5,0.865,0.206,1.31,1.11,1.48
4033721,14030730,32.2,22.4,24.9,10.5,4.7,0.855,0.197,1.29,1.09,1.44
4033728,14030730,34.0,20.2,26.1,9.7,4.7,0.907,0.168,1.3,1.1,1.42
4033730,14030730,33.1,22.8,24.5,9.7,4.5,0.878,0.191,1.35,1.14,1.48
4033733,14030730,33.3,22.6,24.6,9.3,4.8,0.777,0.218,1.35,1.13,1.45
4033736,14030730,27.4,33.7,20.9,8.6,4.1,0.796,0.149,1.31,1.1,1.44
4033740,14030730,34.4,23.3,23.2,9.0,4.8,0.914,0.17,1.48,1.23,1.55
4033742,14030730,30.3,29.0,21.9,9.2,4.3,0.826,0.157,1.38,1.16,1.51
4033745,14030730,32.3,22.2,25.6,9.7,4.9,0.841,0.175,1.26,1.06,1.38
4033749,14030801,32.4,23.3,24.1,9.8,4.3,0.951,0.177,1.34,1.14,1.49
4033752,14030801,34.8,17.8,26.2,10.6,4.5,0.933,0.213,1.33,1.13,1.48
4033760,14030801,31.1,26.6,22.2,10.1,4.0,0.923,0.164,1.4,1.19,1.57
4033769,14030801,33.8,20.9,24.0,10.8,4.5,0.904,0.211,1.41,1.19,1.56
4033765,14030802,31.6,25.2,22.9,10.4,4.3,0.89,0.262,1.38,1.16,1.54
4033773,14030802,29.3,32.2,19.5,9.7,3.8,0.78,0.186,1.5,1.26,1.67
4033777,14030802,30.9,27.4,21.3,10.3,4.3,0.828,0.203,1.45,1.21,1.61
4033780,14030802,31.2,25.0,23.0,10.7,4.3,0.938,0.213,1.36,1.14,1.53
4033792,14030804,32.5,26.1,21.6,9.6,4.3,0.832,0.266,1.5,1.25,1.63
4033795,14030804,34.4,22.3,19.6,13.8,3.9,0.824,0.192,1.76,1.46,2.05
4033799,14030804,28.6,29.0,21.6,10.7,4.2,0.8,0.211,1.32,1.11,1.52
4033803,14030804,29.3,29.8,21.0,9.8,4.2,0.86,0.186,1.4,1.16,1.55
4033805,14030804,28.8,30.6,20.7,9.9,4.0,0.954,0.15,1.39,1.17,1.57
4033808,14030804,29.3,32.3,19.9,8.8,3.7,0.942,0.14,1.47,1.24,1.61
4033810,14030804,29.0,31.4,20.1,9.7,3.8,0.894,0.151,1.44,1.21,1.62
4033815,14030804,30.4,27.9,22.3,9.4,3.9,0.977,0.16,1.36,1.16,1.52
4033817,14030804,31.5,26.8,21.8,9.8,4.1,0.919,0.201,1.44,1.22,1.59
4033830,14030805,31.3,26.5,22.7,9.8,4.2,0.955,0.151,1.38,1.16,1.53
4033832,14030805,29.2,30.3,21.2,9.9,3.9,0.899,0.149,1.38,1.16,1.56
4033835,14030805,27.9,33.8,19.5,9.7,3.7,0.833,0.145,1.43,1.2,1.62
4033840,14030806,27.9,30.9,21.7,10.3,3.9,0.798,0.167,1.29,1.09,1.49
4033845,14030806,29.1,30.1,20.3,10.7,4.2,0.865,0.158,1.43,1.19,1.62
4033852,14030807,24.9,37.1,19.4,9.1,3.7,0.737,0.197,1.28,1.08,1.47
4033853,14030807,27.4,32.2,21.6,8.9,4.1,0.835,0.159,1.27,1.07,1.41
4033858,14030808,28.2,32.5,20.1,9.8,3.7,0.905,0.155,1.4,1.18,1.6
4033860,14030808,29.9,26.4,22.7,11.1,4.1,0.911,0.172,1.32,1.12,1.53
4033866,14030808,28.3,29.5,22.2,10.2,4.1,0.905,0.16,1.27,1.08,1.46
4033870,14030808,29.3,28.8,21.9,10.5,3.9,0.93,0.146,1.34,1.14,1.54
4033875,14030808,32.3,25.0,22.5,10.2,4.2,0.945,0.175,1.44,1.21,1.59
4033880,14030809,31.5,26.1,22.3,9.9,4.3,0.94,0.17,1.41,1.18,1.56
4033883,14030809,32.6,21.3,24.6,11.0,4.5,0.946,0.167,1.33,1.12,1.5
4033885,14030809,33.5,21.4,24.0,10.6,4.4,0.934,0.186,1.4,1.18,1.55
4033890,14030809,28.1,30.0,21.8,9.9,4.2,0.926,0.18,1.29,1.08,1.46
4033893,14030809,31.6,26.1,22.6,9.8,3.9,0.949,0.172,1.4,1.19,1.56
4033895,14030809,31.1,25.9,23.0,9.2,4.7,0.953,0.212,1.35,1.12,1.45
4033897,14030809,32.6,23.4,23.6,9.8,4.5,0.952,0.197,1.38,1.16,1.51
4033901,14030810,30.1,25.1,24.3,10.5,4.4,0.934,0.201,1.24,1.05,1.41
4033905,14030810,28.3,31.6,20.9,9.8,3.8,0.913,0.193,1.35,1.15,1.54
4033908,14030810,26.6,35.0,19.1,10.0,3.7,0.907,0.164,1.39,1.17,1.61
4033910,14030810,27.2,32.4,20.8,10.0,4.0,0.933,0.173,1.31,1.1,1.5
4033912,14030810,26.3,35.1,19.6,9.5,3.9,0.907,0.178,1.34,1.12,1.52
4033915,14030810,25.2,38.7,18.3,8.7,3.5,0.851,0.162,1.38,1.16,1.56
4033918,14030810,27.6,33.3,20.1,9.7,3.7,0.923,0.161,1.37,1.16,1.57
4033920,14030810,22.5,41.7,17.4,9.4,3.5,0.818,0.162,1.29,1.08,1.53
4033923,14030811,25.7,35.7,18.9,9.8,3.9,0.853,0.191,1.36,1.13,1.56
4033925,14030811,27.1,35.4,19.1,8.5,3.9,0.892,0.208,1.42,1.18,1.55
4033929,14030811,26.9,32.3,20.3,10.7,3.9,0.861,0.168,1.33,1.11,1.55
4033930,14030811,26.5,33.4,20.0,10.3,3.9,0.858,0.169,1.32,1.11,1.54
4033933,14030811,25.6,34.4,20.1,10.2,3.7,0.854,0.162,1.27,1.08,1.5
4033941,14030811,26.8,30.8,21.6,10.8,4.1,0.861,0.191,1.24,1.04,1.46
4033943,14030811,28.6,28.5,22.3,10.2,4.2,0.873,0.21,1.28,1.08,1.46
4033945,14030811,30.4,24.4,23.7,11.2,4.3,0.961,0.195,1.28,1.09,1.49
4033951,14030811,24.9,34.0,20.8,10.1,4.3,0.831,0.185,1.2,0.99,1.39
4033955,14030811,27.0,32.5,20.6,9.9,4.0,0.904,0.177,1.31,1.1,1.5
4033957,14030812,29.4,28.3,21.6,10.8,4.2,0.911,0.179,1.36,1.14,1.56
4033960,14030812,28.8,27.4,23.4,10.6,4.2,0.867,0.2,1.23,1.04,1.43
4033963,14030812,32.4,26.1,22.3,8.9,4.5,0.961,0.198,1.45,1.21,1.54
4033965,14030813,26.3,34.8,19.7,10.0,3.8,0.872,0.189,1.34,1.12,1.54
4033968,14030813,24.5,37.9,18.8,9.8,3.6,0.826,0.175,1.3,1.09,1.53
4033970,14030813,27.2,33.1,19.9,10.3,4.0,0.922,0.188,1.37,1.14,1.57
4033975,14030813,27.4,30.9,21.3,10.9,4.1,0.842,0.193,1.29,1.08,1.51
4033976,14030813,25.2,36.3,18.0,11.5,3.6,0.786,0.172,1.4,1.17,1.7
4033981,14030813,25.5,34.9,20.4,9.9,3.9,0.782,0.196,1.25,1.05,1.46
4033982,14030813,26.0,34.3,20.9,9.5,3.9,0.805,0.192,1.24,1.05,1.43
4033985,14030813,26.1,33.2,20.6,10.5,4.2,0.834,0.211,1.27,1.05,1.48
4033987,14030814,24.9,37.2,18.8,9.6,3.7,0.82,0.183,1.32,1.11,1.53
4033990,14030814,24.8,38.3,18.7,8.9,3.5,0.832,0.182,1.33,1.12,1.52
4033995,14030814,27.2,33.9,19.5,9.7,3.9,0.915,0.193,1.39,1.16,1.58
4033998,14030814,28.6,29.8,21.1,10.7,4.0,0.878,0.153,1.36,1.14,1.57
4034003,14030814,23.1,40.6,18.1,8.9,3.7,0.72,0.191,1.28,1.06,1.47
4034004,14030814,23.0,40.8,18.0,9.1,3.6,0.738,0.188,1.28,1.06,1.49
4034014,14030815,26.8,32.8,21.6,8.9,4.0,0.78,0.222,1.24,1.05,1.39
4034020,14030815,31.1,22.6,24.8,10.8,4.7,0.864,0.233,1.25,1.05,1.42
4034025,14030816,30.9,24.3,23.6,11.3,4.4,0.85,0.205,1.31,1.1,1.51
4034027,14030816,35.4,18.7,24.8,10.8,4.6,0.846,0.211,1.43,1.2,1.57
4034030,14030816,32.1,24.0,23.6,10.5,4.3,0.752,0.214,1.36,1.15,1.53
4034032,14030816,33.4,19.9,25.6,10.5,4.9,0.843,0.19,1.3,1.1,1.44
4034035,14030816,33.4,26.0,22.1,8.9,3.9,0.921,0.169,1.51,1.28,1.63
4034037,14030816,34.9,18.0,26.2,10.8,4.5,0.782,0.209,1.33,1.14,1.49
4034040,14030816,29.0,28.5,22.3,10.6,3.9,0.749,0.202,1.3,1.11,1.51
4034043,14030816,30.6,29.7,20.8,9.5,3.8,0.754,0.21,1.47,1.24,1.63
4034044,14030816,28.8,31.7,20.1,10.2,3.8,0.758,0.203,1.43,1.21,1.63
4034045,14030816,29.5,30.0,21.4,9.9,3.8,0.676,0.25,1.38,1.17,1.56
4034047,14030817,30.3,28.2,21.8,10.3,3.8,0.76,0.191,1.39,1.18,1.59
4034052,14030817,33.5,21.6,24.0,10.7,4.4,0.85,0.202,1.4,1.18,1.56
4034055,14030817,33.4,17.9,27.3,11.0,4.7,0.709,0.214,1.22,1.04,1.39
4034058,14030817,35.9,14.9,27.4,10.4,5.7,0.799,0.238,1.31,1.08,1.4
4034060,14030817,35.1,14.4,28.3,11.3,5.3,0.691,0.228,1.24,1.04,1.38
4034061,14030817,32.7,22.7,24.0,10.6,4.3,0.845,0.206,1.36,1.16,1.53
4034067,14030817,32.1,24.5,23.1,10.0,4.6,0.785,0.246,1.39,1.16,1.52
4034068,14030817,32.5,24.2,23.0,9.8,4.7,0.839,0.243,1.41,1.17,1.53
4034064,14030818,34.5,14.1,29.1,11.8,5.3,0.601,0.238,1.19,1.0,1.35
4034070,14030818,34.0,19.3,25.2,11.2,4.8,0.793,0.237,1.35,1.13,1.51
4034072,14030818,32.4,20.7,25.8,10.8,4.8,0.818,0.235,1.26,1.06,1.41
4034075,14030818,32.2,23.4,24.5,10.0,4.4,0.814,0.234,1.31,1.11,1.46
4034077,14030818,29.9,25.3,24.3,10.6,4.5,0.746,0.242,1.23,1.04,1.41
4034081,14030818,28.7,28.4,22.6,10.4,4.6,0.731,0.242,1.27,1.06,1.44
4034084,14030818,28.5,29.8,22.1,10.2,4.1,0.74,0.216,1.29,1.09,1.48
4034085,14030818,28.3,27.3,23.9,10.5,4.5,0.781,0.238,1.18,1.0,1.37
4034091,14030818,26.4,32.2,21.5,10.7,3.9,0.668,0.258,1.23,1.04,1.46
4034092,14030819,26.5,28.0,24.1,11.5,4.4,0.703,0.221,1.1,0.93,1.33
4034096,14030819,28.0,28.6,22.8,11.1,4.0,0.761,0.209,1.23,1.04,1.46
4034100,14030819,25.4,34.2,21.2,10.0,3.7,0.714,0.193,1.2,1.02,1.42
4034107,14030820,25.5,37.3,19.5,8.5,3.5,0.685,0.218,1.31,1.11,1.48
4034109,14030820,26.7,35.1,19.6,9.3,3.5,0.735,0.191,1.36,1.16,1.56
4034113,14030820,28.7,28.9,22.6,10.0,4.0,0.826,0.193,1.27,1.08,1.45
4034115,14030820,30.7,23.8,24.3,10.9,4.4,0.85,0.22,1.26,1.07,1.45
4034119,14030820,27.3,30.2,21.8,10.7,4.1,0.787,0.212,1.25,1.05,1.47
4034120,14030820,23.6,37.8,19.4,9.9,3.6,0.722,0.187,1.22,1.03,1.46
4034122,14030820,25.2,36.2,20.1,9.3,3.6,0.722,0.18,1.25,1.06,1.46
4034130,14030820,27.0,36.1,18.9,8.8,3.4,0.735,0.258,1.43,1.21,1.61
4034125,14030821,27.0,34.1,20.0,9.6,3.8,0.774,0.185,1.35,1.13,1.54
4034133,14030821,29.3,27.1,22.6,11.5,4.0,0.774,0.21,1.3,1.1,1.53
4034135,14030821,30.2,28.0,22.8,9.3,4.0,0.849,0.22,1.32,1.13,1.47
4034140,14030821,27.6,33.3,20.3,9.4,3.7,0.918,0.199,1.36,1.15,1.54
4034145,14030821,29.7,28.4,22.3,9.7,4.3,0.843,0.241,1.33,1.12,1.48
4034148,14030821,28.4,29.9,21.8,10.2,4.0,0.858,0.227,1.3,1.1,1.5
4034151,14030822,28.7,32.2,20.1,9.4,3.7,0.833,0.198,1.43,1.21,1.6
4034154,14030822,27.4,32.7,20.1,10.2,3.7,0.83,0.195,1.36,1.15,1.58
4034156,14030822,27.8,32.7,20.1,9.9,3.6,0.824,0.194,1.38,1.17,1.59
4034165,14030823,31.3,22.5,25.0,11.0,4.7,0.879,0.229,1.25,1.05,1.42
4034167,14030823,29.9,23.8,24.2,12.3,4.5,0.714,0.213,1.24,1.04,1.47
4034171,14030823,29.3,28.3,22.3,10.6,4.0,0.788,0.204,1.31,1.11,1.52
4034178,14030823,28.8,31.1,21.0,9.5,3.9,0.897,0.22,1.37,1.16,1.54
4034179,14030823,26.7,34.3,19.8,9.9,3.7,0.838,0.217,1.35,1.14,1.56
4034181,14030824,33.8,18.8,25.1,11.9,4.4,0.853,0.216,1.35,1.15,1.55
4034184,14030824,29.2,28.2,21.2,11.5,3.8,0.988,0.205,1.38,1.17,1.63
4034185,14030824,29.3,26.5,23.1,10.8,4.2,0.974,0.218,1.27,1.07,1.47
4034190,14030825,28.8,27.9,22.2,11.3,4.1,1.04,0.165,1.3,1.1,1.52
4034193,14030825,27.9,30.7,21.7,10.1,3.9,0.851,0.185,1.29,1.09,1.48
4034198,14030825,33.1,18.9,25.1,12.4,4.5,1.02,0.224,1.32,1.12,1.54
4034201,14030825,33.9,18.0,25.3,12.3,4.5,0.99,0.227,1.34,1.14,1.55
4034203,14030826,31.5,22.1,23.5,12.6,4.5,1.018,0.243,1.34,1.13,1.57
4034204,14030826,31.4,17.9,26.8,13.1,5.0,0.932,0.256,1.17,0.99,1.4
4034205,14030826,31.3,20.0,24.8,13.6,4.6,0.984,0.237,1.26,1.06,1.53
4034206,14030826,30.5,19.1,25.4,14.5,4.7,0.929,0.24,1.2,1.01,1.5
4034213,14030826,26.7,30.4,21.3,11.7,4.2,0.868,0.231,1.25,1.05,1.51
4034214,14030826,28.4,24.1,24.4,12.7,4.7,0.949,0.233,1.16,0.98,1.41
4034211,14030827,30.3,20.5,25.7,12.3,5.2,0.869,0.252,1.18,0.98,1.38
4034212,14030827,32.4,18.0,26.5,12.2,4.9,0.975,0.227,1.22,1.03,1.42
4034219,14030827,29.9,25.8,22.6,11.5,4.1,1.029,0.216,1.32,1.12,1.55
4034220,14030827,30.3,24.2,23.5,11.7,4.1,1.041,0.213,1.29,1.1,1.52
4034222,14030827,29.1,27.1,22.2,11.5,4.1,1.002,0.211,1.31,1.11,1.54
4034225,14030827,26.7,31.9,20.2,11.4,3.8,0.972,0.2,1.32,1.11,1.59
4034229,14030827,30.1,23.0,23.8,12.5,4.5,1.018,0.231,1.26,1.06,1.51
4034231,14030827,29.6,23.2,23.8,12.9,4.4,1.004,0.225,1.24,1.05,1.51
4034234,14030827,25.5,32.2,21.4,11.0,4.2,0.948,0.229,1.19,1.0,1.43
4034236,14030827,23.2,35.3,21.4,10.5,4.0,0.803,0.244,1.08,0.91,1.33
4034237,14030827,23.5,34.5,21.1,11.2,4.1,0.835,0.238,1.11,0.93,1.38
4034241,14030828,24.2,35.6,19.9,10.4,3.9,0.906,0.227,1.22,1.02,1.45
4034245,14030828,23.8,39.6,17.7,9.4,3.5,0.899,0.205,1.34,1.12,1.57
4034250,14030828,23.9,36.5,19.9,10.0,3.7,0.866,0.213,1.2,1.01,1.44
4034254,14030828,23.8,37.9,18.9,10.0,3.5,0.848,0.216,1.26,1.06,1.51
4034260,14030829,25.3,36.7,18.9,9.9,3.7,0.878,0.223,1.34,1.12,1.56
4034261,14030829,26.9,34.6,20.1,9.1,3.9,0.795,0.267,1.34,1.12,1.5
4034262,14030829,26.8,30.4,22.3,10.7,4.3,0.95,0.254,1.2,1.01,1.41
4034265,14030829,23.5,37.2,20.2,9.7,4.0,0.817,0.207,1.16,0.97,1.37
4034275,14030829,28.3,28.6,22.6,10.4,4.5,0.906,0.257,1.25,1.04,1.43
4034276,14030829,27.9,28.5,22.8,10.7,4.5,0.902,0.249,1.22,1.02,1.41
4034289,14030830,28.6,28.2,23.3,9.8,4.3,0.91,0.253,1.23,1.04,1.39
4034290,14030830,25.3,34.2,20.3,10.7,3.8,0.826,0.195,1.25,1.05,1.49
4034294,14030901,24.9,37.5,17.9,10.3,4.0,0.875,0.232,1.39,1.14,1.61
4034298,14030901,30.2,26.6,23.1,9.9,4.7,0.94,0.253,1.31,1.09,1.44
4034300,14030901,31.2,22.8,24.4,11.4,4.5,1.002,0.229,1.28,1.08,1.47
4034304,14030901,28.1,26.6,23.9,11.2,4.6,0.902,0.244,1.18,0.99,1.38
4034305,14030901,29.9,20.3,27.0,12.0,5.2,0.864,0.258,1.11,0.93,1.3
4034308,14030901,32.5,19.7,26.3,11.2,4.8,0.918,0.231,1.24,1.05,1.41
4034313,14030901,30.9,22.8,25.3,10.7,4.5,0.904,0.194,1.22,1.04,1.4
4034315,14030901,29.9,24.6,25.0,10.2,4.6,0.932,0.182,1.2,1.01,1.35
4034316,14030901,31.0,25.0,23.5,10.3,4.3,0.905,0.184,1.32,1.12,1.49
4034310,14030902,32.2,19.9,26.2,10.6,5.2,0.897,0.228,1.23,1.03,1.36
4034319,14030902,30.3,23.6,24.3,11.0,4.8,0.844,0.207,1.25,1.04,1.42
4034321,14030902,30.5,23.3,24.5,10.9,4.8,0.869,0.212,1.24,1.04,1.41
4034322,14030902,30.3,24.1,23.7,11.2,4.6,0.933,0.209,1.28,1.07,1.47
4034326,14030902,27.8,30.2,19.4,13.1,3.6,0.843,0.209,1.43,1.21,1.78
4034328,14030902,27.6,32.2,19.6,11.2,3.6,0.839,0.192,1.41,1.19,1.67
4034330,14030902,28.4,31.4,19.6,10.8,3.9,0.852,0.202,1.45,1.21,1.67
4034334,14030902,27.6,27.7,19.3,15.7,3.7,0.847,0.222,1.43,1.2,1.88
4034336,14030902,24.4,37.8,18.6,9.6,3.7,0.787,0.21,1.31,1.09,1.52
4034337,14030902,24.6,36.6,18.6,10.7,3.6,0.803,0.219,1.32,1.11,1.59
4034340,14030902,24.3,39.0,18.2,9.1,3.6,0.733,0.208,1.33,1.11,1.53
4034342,14030902,23.0,40.4,18.2,9.2,3.4,0.753,0.191,1.26,1.06,1.49
4034345,14030902,25.4,35.8,19.3,10.1,3.6,0.766,0.188,1.32,1.11,1.55
