heat_no,tar (Slag),cao (Slag),feo (Slag),sio2 (Slag),mgo (Slag),al2o3 (Slag),p2o5 (Slag),mno (Slag),b2 (Slag),b3 (Slag),b4 (Slag)
4032720,14030605,29.2,20.2,24.2,15.4,5.5,0.326,0.283,1.21,0.98,1.5
4032722,14030605,24.0,30.3,20.2,15.6,4.4,0.311,0.215,1.19,0.98,1.61
4032730,14030606,31.1,14.2,26.4,16.6,6.2,0.27,0.716,1.18,0.95,1.46
4032734,14030606,28.8,17.2,26.3,16.3,6.0,0.285,0.475,1.1,0.89,1.4
4032735,14030606,28.7,20.7,24.6,14.6,6.1,0.365,0.405,1.17,0.93,1.41
4032740,14030607,31.4,24.6,20.0,13.9,4.5,0.486,0.218,1.57,1.28,1.85
4032745,14030607,28.0,19.5,26.5,14.7,5.8,0.455,0.242,1.06,0.87,1.32
4032748,14030607,31.8,13.3,28.2,14.8,6.5,0.369,0.249,1.13,0.92,1.34
4032750,14030607,27.1,24.9,21.6,16.0,4.9,0.318,0.219,1.25,1.02,1.63
4032753,14030607,31.6,17.2,26.1,13.9,5.4,0.552,0.264,1.21,1.0,1.44
4032755,14030607,26.1,24.7,23.5,14.9,5.3,0.314,0.312,1.11,0.91,1.42
4032758,14030608,30.5,14.3,28.9,14.8,6.1,0.284,0.402,1.06,0.87,1.29
4032762,14030608,29.5,15.6,28.8,14.0,6.8,0.318,0.378,1.02,0.83,1.22
4032765,14030608,28.1,22.9,25.7,12.7,5.2,0.418,0.339,1.09,0.91,1.32
4032769,14030608,28.8,15.3,28.6,15.5,6.2,0.251,0.502,1.01,0.83,1.27
4032775,14030608,30.7,17.3,28.8,12.2,5.6,0.351,0.329,1.07,0.89,1.25
4032778,14030608,28.8,23.3,25.6,11.5,5.3,0.454,0.323,1.13,0.94,1.31
4032780,14030609,28.0,21.3,27.3,12.6,5.6,0.416,0.357,1.03,0.85,1.23
4032796,14030609,25.2,27.2,23.8,13.3,5.4,0.354,0.279,1.06,0.86,1.32
4032800,14030609,28.6,17.3,27.8,15.2,6.0,0.305,0.342,1.03,0.85,1.3
4032805,14030610,29.6,16.8,27.5,15.1,5.9,0.275,0.374,1.08,0.89,1.34
4032809,14030610,27.6,17.9,28.1,15.2,6.1,0.343,0.313,0.98,0.81,1.25
4032815,14030611,29.9,18.4,25.8,15.0,5.6,0.371,0.264,1.16,0.95,1.43
4032818,14030611,31.0,17.7,25.5,14.8,5.7,0.359,0.262,1.22,0.99,1.47
4032832,14030611,29.2,29.8,20.0,10.8,4.7,0.348,0.374,1.46,1.18,1.62
4032835,14030612,29.7,26.4,22.4,11.5,4.5,0.336,0.276,1.33,1.1,1.53
4032840,14030612,28.4,28.5,21.3,12.0,4.6,0.325,0.315,1.33,1.1,1.56
4032846,14030612,30.7,16.5,27.8,14.2,5.3,0.609,0.255,1.1,0.93,1.36
4032851,14030613,26.4,30.2,21.9,11.7,3.9,0.716,0.212,1.21,1.02,1.48
4032852,14030613,24.8,30.3,23.2,11.7,4.1,0.789,0.216,1.07,0.91,1.34
4032855,14030613,25.9,23.7,27.0,12.6,4.8,0.788,0.241,0.96,0.81,1.21
4032857,14030613,27.1,23.7,26.3,12.3,4.7,0.792,0.24,1.03,0.87,1.27
4032860,14030613,27.5,26.3,23.6,12.4,4.4,0.78,0.244,1.17,0.98,1.43
4032864,14030614,29.6,26.3,23.2,11.2,4.3,0.773,0.23,1.28,1.08,1.48
4032865,14030614,28.6,27.0,23.7,10.5,4.6,0.872,0.244,1.21,1.01,1.38
4032868,14030614,29.5,26.0,24.3,10.4,4.4,0.851,0.237,1.21,1.03,1.39
4032870,14030614,28.5,25.7,24.8,11.1,4.4,0.897,0.231,1.15,0.98,1.36
4032872,14030614,30.8,21.8,25.6,11.8,4.5,0.905,0.228,1.2,1.02,1.42
4032878,14030615,30.6,14.4,29.9,14.1,5.6,0.653,0.269,1.02,0.86,1.26
4032885,14030615,28.5,23.7,25.4,12.1,4.6,0.788,0.288,1.12,0.95,1.35
4032888,14030615,28.3,23.1,25.8,12.6,4.6,0.784,0.281,1.1,0.93,1.35
4032890,14030615,28.5,26.0,24.2,11.4,4.2,0.806,0.248,1.18,1.0,1.4
4032893,14030615,27.9,28.5,22.8,11.2,4.0,0.788,0.234,1.22,1.04,1.46
4032896,14030615,26.0,31.8,22.3,10.1,4.0,0.843,0.227,1.17,0.99,1.37
4032904,14030616,28.0,27.6,23.4,10.9,4.3,0.788,0.263,1.2,1.01,1.4
4032905,14030616,30.7,20.2,26.2,12.4,4.7,0.77,0.292,1.17,0.99,1.39
4032907,14030616,27.1,26.3,25.8,10.5,4.6,0.697,0.228,1.05,0.89,1.24
4032910,14030616,31.7,16.8,27.8,12.5,5.3,0.85,0.273,1.14,0.96,1.34
4032912,14030616,32.3,17.0,28.0,12.0,4.9,0.819,0.241,1.15,0.98,1.35
4032915,14030616,30.7,21.2,26.2,11.5,4.6,0.826,0.227,1.17,1.0,1.37
