tar,cao (Dolomite),mgo (Dolomite),s0_95 (Dolomite),Dolomite_labels
14030817,54.8,34.47,2.0,0
14030818,54.2,34.1,5.0,1
14030819,55.2,34.0,3.0,1
14030820,54.95,34.0,3.5,1
14030821,55.15,34.15,2.5,0
14030822,54.5,33.9,2.0,0
14030823,54.92,36.25,3.25,1
14030824,53.35,35.7,3.5,1
14030825,54.6,33.6,4.0,1
14030826,54.9,33.6,2.0,0
14030827,55.05,33.5,3.5,1
14030828,55.07,34.43,3.0,1
14030829,55.05,34.3,2.0,0
14030830,55.9,34.35,2.5,0
14030901,53.7,35.55,3.5,1
14030902,55.8,34.1,2.5,0
14030903,54.35,35.45,3.5,1
14030904,54.57,35.3,3.0,1
14030905,54.35,34.8,3.5,1
14030906,55.1,34.75,2.5,0
14030907,55.4,34.35,2.0,0
14030908,55.8,33.8,2.5,0
14030909,56.1,34.3,2.0,0
14030910,55.63,33.27,2.33,0
14030911,54.55,34.75,3.5,1
14030912,54.55,34.95,4.0,1
14030913,54.2,34.75,2.0,0
14030914,55.1,34.35,3.5,1
