tar,heat_no,type_dri,fe_metal,fe_total,md,c,s,cao,sio2,mgo,al2o3,p,mno,gunge,feo,dqi,feo_c
14020922,4024802,HOT,76.0,84.6,89.8,1.7,0.003,0.91,5.31,0.84,0.98,0.104,0.037,11.236,11.064,-1831180.9,6.508
14020922,4024811,HOT,78.1,86.5,90.3,1.6,0.003,0.0,0.0,0.0,0.0,0.0,0.0,9.494,10.806,99636.83,6.754
14020922,4024815,HOT,80.2,87.7,91.4,1.8,0.003,0.0,0.0,0.0,0.0,0.0,0.0,8.3514,9.6486,84581.147,5.36
14020923,4024824,HOT,79.0,86.9,90.9,1.6,0.003,0.93,5.4,0.76,0.96,0.102,0.037,9.237,10.163,-1888408,6.352
14020923,4024831,HOT,77.2,85.7,90.1,1.3,0.003,0.0,0.0,0.0,0.0,0.0,0.0,10.565,10.935,105127.885,8.412
14020923,4024836,HOT,75.9,84.6,89.7,1.8,0.003,0.0,0.0,0.0,0.0,0.0,0.0,11.108,11.192,118576.965,6.218
14020924,4024844,HOT,81.8,88.2,92.7,1.5,0.003,0.0,0.0,0.0,0.0,0.0,0.0,8.4665,8.2335,71374.073,5.489
14020924,4024848,COLD,79.8,85.4,93.4,1.7,0.003,0.0,0.0,0.0,0.0,0.0,0.0,11.296,7.2043,92296.128,4.238
14020924,4020000,COLD,80.5,85.7,93.9,1.6,0.003,0.0,0.0,0.0,0.0,0.0,0.0,11.21,6.6897,86669.462,4.181
14020924,4024852,COLD,78.5,85.8,91.5,1.4,0.003,0.0,0.0,0.0,0.0,0.0,0.0,10.709,9.3913,97566.863,6.708
14020925,4024858,HOT,79.6,86.0,92.6,1.5,0.003,0.91,5.19,0.86,0.97,0.11,0.036,10.667,8.2335,-1813019.3,5.489
14020925,4024862,COLD,82.2,86.9,94.6,1.6,0.003,0.0,0.0,0.0,0.0,0.0,0.0,10.154,6.0465,73299.415,3.779
14020925,4024866,HOT,79.4,85.8,92.5,1.4,0.003,0.0,0.0,0.0,0.0,0.0,0.0,10.967,8.2335,91687.06,5.881
14020926,4020000,COLD,78.5,85.3,92.0,1.7,0.003,0.95,5.29,0.71,0.96,0.095,0.037,11.052,8.7481,-1840506.5,5.146
14020926,4020000,COLD,79.6,85.6,93.0,1.7,0.003,0.0,0.0,0.0,0.0,0.0,0.0,10.981,7.7189,93399.568,4.541
14020926,4020000,COLD,80.4,86.0,93.5,1.5,0.003,0.0,0.0,0.0,0.0,0.0,0.0,10.896,7.2043,86174.319,4.803
14020926,4024875,COLD,81.4,86.3,94.3,1.7,0.003,0.0,0.0,0.0,0.0,0.0,0.0,10.596,6.3038,80264.041,3.708
14020927,4024883,COLD,82.2,87.3,94.2,2.1,0.003,0.91,5.3,0.73,0.97,0.112,0.036,9.1389,6.5611,-1868904.7,3.124
14020927,4024887,COLD,81.9,86.9,94.2,1.7,0.003,0.0,0.0,0.0,0.0,0.0,0.0,9.9676,6.4324,75343.279,3.784
14020927,4024893,COLD,81.5,86.0,94.8,2.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,10.711,5.7892,82921.39,2.895
14020928,4024901,COLD,80.6,85.9,93.8,1.7,0.003,0.92,5.37,0.87,1.01,0.101,0.038,10.882,6.8184,-1884189.3,4.011
14020928,4024905,COLD,81.8,86.7,94.3,1.8,0.003,0.0,0.0,0.0,0.0,0.0,0.0,10.096,6.3038,77138.423,3.502
14020928,4024913,HOT,77.2,84.7,91.1,1.7,0.003,0.0,0.0,0.0,0.0,0.0,0.0,11.451,9.6486,109708.457,5.676
14020928,4024913,COLD,78.8,86.1,91.5,1.8,0.003,0.0,0.0,0.0,0.0,0.0,0.0,10.009,9.3913,97347.313,5.217
14020929,4024923,HOT,79.4,86.1,92.2,1.5,0.003,0.89,5.01,0.82,0.94,0.107,0.035,10.481,8.6194,-1746528.1,5.746
14020929,4024928,HOT,78.0,86.6,90.1,1.3,0.003,0.0,0.0,0.0,0.0,0.0,0.0,9.636,11.064,98227.321,8.511
14020929,4024928,COLD,81.9,87.3,93.8,1.9,0.003,0.0,0.0,0.0,0.0,0.0,0.0,9.253,6.947,75864.525,3.656
14020929,4024935,HOT,80.0,87.4,91.5,1.5,0.003,0.0,0.0,0.0,0.0,0.0,0.0,8.98,9.52,84706.159,6.347
14020929,4024935,COLD,82.4,87.6,94.1,1.9,0.003,0.0,0.0,0.0,0.0,0.0,0.0,9.0103,6.6897,72388.162,3.521
14020930,4024944,HOT,76.8,85.6,89.7,1.7,0.003,0.9,5.23,0.85,0.96,0.108,0.037,10.179,11.321,-1808924.2,6.659
14020930,4024944,COLD,81.4,86.6,94.0,1.5,0.003,0.91,5.1,0.77,0.95,0.097,0.037,10.41,6.6897,-1792935.3,4.46
14020930,4024945,HOT,72.6,85.7,84.7,1.3,0.003,0.0,0.0,0.0,0.0,0.0,0.0,9.247,16.853,132711.021,12.964
14020930,4024952,HOT,75.4,85.3,88.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.864,12.736,108320.354,0.0
14020930,4024956,HOT,78.5,86.0,91.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.851,9.6486,88021.342,0.0
14021001,4024967,HOT,78.3,86.9,90.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.636,11.064,86894.142,0.0
14021001,4024967,COLD,81.7,87.0,93.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.482,6.8184,65529.65,0.0
14021001,4020000,COLD,80.1,88.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.737,10.163,72972.375,0.0
14021001,4024972,HOT,79.4,86.9,91.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.951,9.6486,80372.498,0.0
14021001,4024972,COLD,80.1,86.9,92.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.152,8.7481,75989.256,0.0
14021001,4024976,HOT,79.2,86.7,91.3,1.1,0.003,0.0,0.0,0.0,0.0,0.0,0.0,10.051,9.6486,88598.631,8.771
14021002,4020000,COLD,83.1,88.3,94.1,1.3,0.003,0.0,0.0,0.0,0.0,0.0,0.0,8.9103,6.6897,61851.822,5.146
14021002,4024987,HOT,75.7,86.1,87.9,1.6,0.003,0.92,4.96,0.71,0.94,0.104,0.038,9.321,13.379,-1704970.2,8.362
14021002,4024987,COLD,81.1,87.3,92.9,1.7,0.003,0.91,5.29,0.65,0.96,0.119,0.037,9.2238,7.9762,-1861328.8,4.692
14021002,4024992,HOT,77.2,86.5,89.2,1.6,0.003,0.0,0.0,0.0,0.0,0.0,0.0,9.236,11.964,104661.913,7.478
14021002,4024992,COLD,81.0,87.2,92.9,1.8,0.003,0.0,0.0,0.0,0.0,0.0,0.0,9.2238,7.9762,81287.145,4.431
14021002,4024999,HOT,78.6,87.3,90.0,1.5,0.003,0.0,0.0,0.0,0.0,0.0,0.0,8.708,11.192,93669.204,7.461
14021002,4024999,COLD,81.1,87.7,92.5,1.7,0.003,0.0,0.0,0.0,0.0,0.0,0.0,8.7092,8.4908,78902.321,4.995
14021003,4020000,COLD,82.4,87.9,93.7,1.7,0.003,0.89,5.24,0.87,0.97,0.106,0.036,8.8244,7.0756,-1853035,4.162
14021003,4025008,HOT,78.8,86.2,91.4,1.7,0.003,0.0,0.0,0.0,0.0,0.0,0.0,9.98,9.52,96497.01,5.6
14021003,4025008,COLD,80.2,86.6,92.6,2.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,9.5665,8.2335,88905.514,4.117
14021003,4020000,COLD,81.1,87.0,93.2,1.7,0.003,0.0,0.0,0.0,0.0,0.0,0.0,9.6098,7.5902,80278.242,4.465
14021003,4025012,HOT,79.4,86.7,91.6,1.8,0.003,0.0,0.0,0.0,0.0,0.0,0.0,9.4087,9.3913,92532.991,5.217
14021003,4025012,COLD,82.0,87.4,93.8,2.1,0.003,0.0,0.0,0.0,0.0,0.0,0.0,8.953,6.947,76227.17,3.308
14021004,4025021,HOT,75.6,85.8,88.1,1.3,0.003,0.0,0.0,0.0,0.0,0.0,0.0,9.978,13.122,114339.65,10.094
14021004,4025021,COLD,81.0,87.2,92.9,1.7,0.003,0.0,0.0,0.0,0.0,0.0,0.0,9.3238,7.9762,80633.402,4.692
14021004,4020000,COLD,80.4,87.9,91.5,1.6,0.003,0.0,0.0,0.0,0.0,0.0,0.0,8.3514,9.6486,82238.7,6.03
14021005,4025027,HOT,78.5,86.0,91.3,1.4,0.003,0.0,0.0,0.0,0.0,0.0,0.0,10.451,9.6486,97173.743,6.892
14021005,4025027,COLD,79.2,85.7,92.4,1.6,0.003,0.0,0.0,0.0,0.0,0.0,0.0,10.838,8.3621,94687.666,5.226
14021005,4020000,COLD,82.5,87.1,94.7,1.8,0.003,0.0,0.0,0.0,0.0,0.0,0.0,9.7822,5.9178,71968.94,3.288
14021005,4025030,HOT,81.6,88.1,92.6,1.6,0.003,0.88,4.06,0.64,0.81,0.119,0.035,8.4379,8.3621,-1415982.4,5.226
14021005,4025030,COLD,81.2,87.2,93.1,1.8,0.003,0.91,4.74,0.7,0.9,0.1,0.037,9.2811,7.7189,-1659419.7,4.288
14021005,4025040,HOT,79.8,87.4,91.3,1.6,0.003,0.0,0.0,0.0,0.0,0.0,0.0,8.8227,9.7773,86856.463,6.111
14021005,4025040,COLD,80.9,87.5,92.5,1.9,0.003,0.0,0.0,0.0,0.0,0.0,0.0,8.7092,8.4908,82099.488,4.469
14021006,4025044,HOT,78.8,86.0,91.6,1.6,0.003,0.0,0.0,0.0,0.0,0.0,0.0,10.337,9.2627,96236.388,5.789
14021006,4025044,COLD,80.4,86.5,92.9,2.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,9.7525,7.8475,87605.513,3.924
14021006,4025051,HOT,76.3,85.7,89.0,1.2,0.003,0.9,4.12,0.65,0.84,0.118,0.033,10.407,12.093,-1402219.4,10.078
14021006,4025051,COLD,82.4,87.3,94.4,1.7,0.003,0.9,5.15,0.82,0.95,0.103,0.036,9.5962,6.3038,-1817977.9,3.708
14021006,4020000,COLD,82.9,88.0,94.2,1.6,0.003,0.0,0.0,0.0,0.0,0.0,0.0,8.9389,6.5611,65899.292,4.101
14021006,4025057,HOT,77.1,86.2,89.4,1.7,0.003,0.0,0.0,0.0,0.0,0.0,0.0,9.493,11.707,106653.616,6.886
14021006,4025057,COLD,80.8,86.9,93.0,1.9,0.003,0.0,0.0,0.0,0.0,0.0,0.0,9.4525,7.8475,84027.129,4.13
14021006,4025060,HOT,78.4,86.0,91.2,1.6,0.003,0.0,0.0,0.0,0.0,0.0,0.0,10.223,9.7773,99229.509,6.111
14021006,4025060,COLD,79.3,85.8,92.4,1.7,0.003,0.0,0.0,0.0,0.0,0.0,0.0,10.638,8.3621,94396.569,4.919
14021007,4020000,COLD,80.0,86.6,92.4,1.6,0.003,0.0,0.0,0.0,0.0,0.0,0.0,9.9092,8.4908,87787.103,5.307
14021007,4020000,COLD,81.8,87.3,93.7,2.1,0.003,0.0,0.0,0.0,0.0,0.0,0.0,9.0244,7.0756,77920.291,3.369
14021007,4025071,HOT,78.7,86.0,91.5,1.6,0.003,0.0,0.0,0.0,0.0,0.0,0.0,10.309,9.3913,96984.668,5.87
14021007,4025071,COLD,80.5,86.5,93.1,2.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,9.7811,7.7189,87711.953,3.859
14021008,4025079,HOT,78.2,86.0,90.9,1.5,0.003,0.0,0.0,0.0,0.0,0.0,0.0,10.265,10.035,99217.607,6.69
14021008,4025079,COLD,80.7,86.9,92.9,1.9,0.003,0.0,0.0,0.0,0.0,0.0,0.0,9.4238,7.9762,84775.409,4.198
14021008,4025086,HOT,78.7,86.3,91.2,1.6,0.003,0.0,0.0,0.0,0.0,0.0,0.0,9.9227,9.7773,96394.988,6.111
14021008,4025086,COLD,81.9,87.8,93.3,1.8,0.003,0.0,0.0,0.0,0.0,0.0,0.0,8.7098,7.5902,74227.981,4.217
14021008,4020000,COLD,82.0,87.2,94.0,2.3,0.003,0.0,0.0,0.0,0.0,0.0,0.0,9.0103,6.6897,77927.776,2.909
14021009,4025099,HOT,77.9,86.5,90.1,1.3,0.003,0.89,4.54,0.67,0.9,0.12,0.033,9.736,11.064,-1566653.7,8.511
