Heat,c (Coke1030),s (Coke1030),s112 (Coke1030),Coke1030_labels,c (CokeFine),s (CokeFine),s05 (CokeFine),CokeFine_labels,cao (Dolomite),mgo (Dolomite),s0_95 (Dolomite),s95_385 (Dolomite),s385_1000 (Dolomite),Dolomite_labels,fe_metal (DRI),fe_total (DRI),md (DRI),c (DRI),gunge (DRI),feo (DRI),feo_c (DRI),Dri_labels,cao (Lime),mgo (Lime),s0_95 (Lime),Lime_labels,cao (Slag),feo (Slag),sio2 (Slag),mgo (Slag),al2o3 (Slag),p2o5 (Slag),mno (Slag),b2 (Slag),b3 (Slag),b4 (Slag),Slag_labels,Duration (EAF),Power On (EAF),Power Off (EAF),Delays (EAF),DRI [t] (EAF),Ele [MW] (EAF),Tapped [t] (EAF),Tapped [kWh/t] (EAF),O2 [Nm3] (EAF),CH4 [Nm3] (EAF),C.inj [kg] (EAF),Chemical [MWh] (EAF),C [kg] (EAF),CaO [kg] (EAF),MgO [kg] (EAF),Tapping Time [Sec] (EAF),EAF_DRI (EAF),HDRI(T) (EAF)
4024696.0,83.05,0.9,2.0,0.0,80.5,1.33,5.33,1.0,54.3,34.02,2.25,72.75,0.0,1.0,81.4,87.8,92.7,1.8,8.57,8.23,4.57,0.0,90.6,1.33,2.33,1.0,25.3,33.6,20.7,10.6,4.1,0.813,0.172,1.22,1.02,1.45,2.0,69.0,51.0,17.0,12.0,46.91651917,124.1441956,177.282135,605.7278442,4971.564941,546.1386719,1779.888916,14843.19043,2000.199951,10034.50488,10234.69629,396.0,46916.51563,177.2001038
4024698.0,83.05,0.9,2.0,0.0,80.5,1.33,5.33,1.0,54.3,34.02,2.25,72.75,0.0,1.0,81.4,87.8,92.7,1.8,8.57,8.23,4.57,0.0,90.6,1.33,2.33,1.0,25.3,33.6,20.7,10.6,4.1,0.813,0.172,1.22,1.02,1.45,2.0,64.0,51.0,13.0,8.0,28.05359077,122.9643326,176.8188629,594.9750977,4719.58252,519.2165527,2262.0,14092.83008,2005.0,9822.386719,9380.583984,213.0,28053.59375,183.8999939
4024699.0,83.05,0.9,2.0,0.0,80.5,1.33,5.33,1.0,54.3,34.02,2.25,72.75,0.0,1.0,81.4,87.8,92.7,1.8,8.57,8.23,4.57,0.0,90.6,1.33,2.33,1.0,25.3,33.6,20.7,10.6,4.1,0.813,0.172,1.22,1.02,1.45,2.0,60.0,48.0,11.0,6.0,51.03562164,122.5704498,174.2193756,573.1903687,4475.115723,486.1060791,1815.99939,13346.69043,2000.299927,9288.485352,9301.289063,182.0,51035.61719,149.3000031
4024707.0,83.05,0.9,2.0,0.0,80.5,1.33,5.33,1.0,54.83,34.4,2.33,64.33,0.0,1.0,81.55,87.4,93.3,1.88,9.05,7.53,4.08,0.0,90.9,1.2,4.0,1.0,25.3,33.6,20.7,10.6,4.1,0.813,0.172,1.22,1.02,1.45,2.0,61.0,53.0,8.0,3.0,53.12612915,114.6704407,176.9393311,575.1690063,6558.959961,755.9105225,2309.987793,19674.55078,2007.5,8712.394531,9828.830078,305.0,53126.13281,161.1000061
4024709.0,83.05,0.9,2.0,0.0,80.5,1.33,5.33,1.0,54.83,34.4,2.33,64.33,0.0,1.0,81.55,87.4,93.3,1.88,9.05,7.53,4.08,0.0,90.9,1.2,4.0,1.0,25.3,33.6,20.7,10.6,4.1,0.813,0.172,1.22,1.02,1.45,2.0,60.0,50.0,10.0,5.0,19.61395073,112.5391541,183.4000092,511.5260925,6336.465332,733.1781006,1998.650146,19014.71094,2001.900146,9253.208984,10030.91016,352.0,19613.94531,0.0
4024710.0,83.05,0.9,2.0,0.0,80.5,1.33,5.33,1.0,54.83,34.4,2.33,64.33,0.0,1.0,81.55,87.4,93.3,1.88,9.05,7.53,4.08,0.0,90.9,1.2,4.0,1.0,24.8,28.6,23.7,12.2,4.9,0.708,0.224,1.05,0.87,1.29,3.0,59.0,50.0,8.0,3.0,17.95985031,109.8888702,183.3999939,508.3009338,6279.65332,722.0391235,1918.653687,18832.35938,2004.499878,9239.103516,9597.688477,300.0,17959.85547,192.1999969
4024711.0,83.05,0.9,2.0,0.0,80.5,1.33,5.33,1.0,54.83,34.4,2.33,64.33,0.0,1.0,81.55,87.4,93.3,1.88,9.05,7.53,4.08,0.0,90.9,1.2,4.0,1.0,24.8,28.6,23.7,12.2,4.9,0.708,0.224,1.05,0.87,1.29,3.0,65.0,56.0,8.0,3.0,7.942959785,109.7285995,177.8999939,583.0466919,6172.294922,698.8986816,2111.0,18482.33008,2002.800049,10858.89746,10770.19727,312.0,7942.959473,231.6000061
4024712.0,83.05,0.9,2.0,0.0,80.5,1.33,5.33,1.0,54.83,34.4,2.33,64.33,0.0,1.0,81.55,87.4,93.3,1.88,9.05,7.53,4.08,0.0,90.9,1.2,4.0,1.0,24.8,28.6,23.7,12.2,4.9,0.708,0.224,1.05,0.87,1.29,3.0,60.0,49.0,10.0,5.0,29.47306061,110.3180771,199.7000122,458.0473938,5024.790039,572.9584351,1582.625366,15056.70996,2007.5,8750.40625,8987.494141,327.0,29473.0625,169.6999969
4024713.0,83.05,0.9,2.0,0.0,80.5,1.33,5.33,1.0,54.83,34.4,2.33,64.33,0.0,1.0,81.55,87.4,93.3,1.88,9.05,7.53,4.08,0.0,90.9,1.2,4.0,1.0,24.8,28.6,23.7,12.2,4.9,0.708,0.224,1.05,0.87,1.29,3.0,58.0,50.0,8.0,3.0,34.55282974,117.4285355,182.5,542.6378174,5784.433105,661.4578247,1909.999634,17337.75977,2027.800049,8859.602539,9993.866211,295.0,34552.82813,181.3999939
4024714.0,83.05,0.9,2.0,0.0,80.5,1.33,5.33,1.0,54.83,34.4,2.33,64.33,0.0,1.0,81.55,87.4,93.3,1.88,9.05,7.53,4.08,0.0,90.9,1.2,4.0,1.0,24.8,28.6,23.7,12.2,4.9,0.708,0.224,1.05,0.87,1.29,3.0,59.0,50.0,8.0,3.0,58.71393967,119.0258179,179.5596466,557.9208374,5953.727539,783.2617188,1736.0,18111.53906,2003.5,9032.707031,10161.18945,287.0,58713.94141,159.0
