sample_no,tar,c,s,humidity,ash,s112,s112_315,s315,factory,trailer,time_1,location
COKE01-396,14011011,82,1,0,0,4,70,26,Zarand Ker,331Ú77,12/30/99,
COKE01-399,14011011,82.3,1,0,0,4,70,26,Zarand Ker,788Ú51,12/30/99,
COKE01-402,14011012,82,1,0,0,2,75,23,Zarand Ker,261Ú97,12/30/99,
COKE01-403,14011012,81,1,0,0,4,70,26,Zarand Ker,737Ú51,12/30/99,
COKE01-404,14011012,82.5,0.6,0,0,4,70,26,Zarand Ker,177Ú39,12/30/99,
COKE01-406,14011013,80.5,1,0,0,4,70,26,Zarand Ker,829Ú22,12/30/99,
COKE01-407,14011013,82.5,1,0,0,3,71,26,Zarand Ker,258Ú35,12/30/99,
COKE01-408,14011013,81.6,1.1,0,0,2,71,27,Zarand Ker,539Ú26,12/30/99,
COKE01-409,14011013,82,1,0,0,4,70,26,Zarand Ker,725Ú79,12/30/99,
COKE01-410,14011013,81,0.9,0,0,4,70,26,Zarand Ker,289Ú34,12/30/99,
COKE01-411,14011013,84.3,0.6,0,0,3,71,26,Zarand Ker,228Ú47,12/30/99,
COKE01-412,14011014,84.5,1.1,0,0,3,74,23,Zarand Ker,483Ú24,12/30/99,
COKE01-414,14011014,85.1,0.8,0,0,3,74,23,Zarand Ker,354Ú52,12/30/99,
COKE01-415,14011014,83.3,1,0,0,3,72,25,Zarand Ker,724Ú64,12/30/99,
COKE01-416,14011014,85.4,1,0,0,2,75,23,Zarand Ker,347Ú64,12/30/99,
COKE01-417,14011014,81.1,1,0,0,2,75,23,Zarand Ker,463Ú25,12/30/99,
COKE01-418,14011015,81.2,0.9,0,0,2,72,26,Zarand Ker,956Ú17,12/30/99,
COKE01-419,14011015,84.2,1.1,0,0,2,75,23,Zarand Ker,939Ú46,12/30/99,
COKE01-420,14011015,85.6,0.9,0,0,4,70,26,Zarand Ker,361Ú94,12/30/99,
COKE01-421,14011015,84.3,1.1,0,0,3,71,26,Zarand Ker,884Ú49,12/30/99,
COKE01-422,14011015,82.1,1,0,0,3,74,23,Zarand Ker,868Ú44,12/30/99,
COKE01-422,14011016,84.5,0.7,0,0,2,73,25,Zarand Ker,282Ú65,12/30/99,
COKE01-63,14011017,82.7,0.6,0,0,4,96,0,ZOB AHAN,592Ú28,12/30/99,
COKE01-423,14011016,84.5,0.7,0,0,2,73,25,Zarand Ker,282Ú65,12/30/99,
COKE01-426,14011017,87.5,0.8,0,0,2,70,28,Zarand Ker,739Ú37,12/30/99,
COKE01-427,14011017,85.5,0.9,0,0,3,72,25,Zarand Ker,788Ú51,12/30/99,
COKE01-428,14011017,85.7,0.9,0,0,2,70,28,Zarand Ker,254Ú39,12/30/99,
COKE01-429,14011017,84.6,1,0,0,3,74,23,Zarand Ker,843Ú89,12/30/99,
COKE01-430,14011017,82.3,1,0,0,2,75,23,Zarand Ker,924Ú58,12/30/99,
COKE01-431,14011018,84.3,0.9,0,0,4,70,26,Zarand Ker,251Ú41,12/30/99,
COKE01-432,14011018,84,0.9,0,0,3,71,26,Zarand Ker,716Ú18,12/30/99,
COKE01-434,14011019,83.5,0.9,0,0,3,70,27,Zarand Ker,451Ú42,12/30/99,
COKE01-435,14011019,84.1,0.9,0,0,3,72,25,Zarand Ker,385Ú58,12/30/99,
COKE01-436,14011019,83.6,1,0,0,2,73,25,Zarand Ker,878Ú31,12/30/99,
COKE01-437,14011020,84.1,1,0,0,3,71,26,Zarand Ker,331Ú77,12/30/99,
COKE01-438,14011020,82.1,0.9,0,0,2,71,27,Zarand Ker,725Ú67,12/30/99,
COKE01-439,14011020,81.5,0.8,0,0,4,70,26,Zarand Ker,258Ú23,12/30/99,
COKE01-440,14011024,82.3,0.8,0,0,2,70,28,Zarand Ker,289Ú34,12/30/99,
COKE01-441,14011024,80.1,0.9,0,0,3,72,25,Zarand Ker,215Ú66,12/30/99,
COKE01-447,14011025,81.7,1,0,0,4,70,26,Zarand Ker,597Ú29,12/30/99,
COKE01-448,14011025,82,1.1,0,0,3,71,26,Zarand Ker,161Ú61,12/30/99,
COKE01-449,14011026,84.3,1.1,0,0,2,73,25,Zarand Ker,525Ú55,12/30/99,
COKE01-450,14011026,85.5,1,0,0,2,73,25,Zarand Ker,973Ú96,12/30/99,
COKE01-451,14011026,84.8,1,0,0,2,75,23,Zarand Ker,234Ú23,12/30/99,
COKE01-456,14011027,83.4,1,0,0,4,70,26,Zarand Ker,775Ú19,12/30/99,
COKE01-457,14011027,80.2,1.1,0,0,3,71,26,Zarand Ker,829Ú22,12/30/99,
COKE01-458,14011027,82.1,0.9,0,0,3,74,23,Zarand Ker,139Ú31,12/30/99,
COKE01-459,14011027,81,1,0,0,2,73,25,Zarand Ker,824Ú89,12/30/99,
COKE01-460,14011028,85.4,0.8,3,0,3,71,26,Zarand Ker,331Ú71,12/30/99,
COKE01-461,14011029,80.1,0.8,0,0,2,75,23,Zarand Ker,354Ú52,12/30/99,
COKE01-462,14011103,81.2,0.8,0,0,2,73,25,Zarand Ker,168Ú35,12/30/99,
COKE01-463,14011103,82,0.9,0,0,3,74,23,Zarand Ker,453Ú64,12/30/99,
COKE01-464,14011104,80.1,0.9,0,0,2,69,29,Zarand Ker,331Ú77,12/30/99,
COKE01-465,14011104,80.5,0.8,0,0,3,70,27,Zarand Ker,973Ú99,12/30/99,
COKE01-466,14011104,81,0.8,0,0,3,72,25,Zarand Ker,215Ú66,12/30/99,
COKE01-467,14011104,81.1,0.8,0,0,2,73,25,Zarand Ker,525Ú11,12/30/99,
COKE01-468,14011104,80.8,0.9,0,0,3,71,26,Zarand Ker,351Ú52,12/30/99,
COKE01-469,14011105,80.1,0.8,0,0,4,70,26,Zarand Ker,583Ú64,12/30/99,
COKE01-470,14011105,81,0.8,0,0,2,73,25,Zarand Ker,597Ú39,12/30/99,
COKE01-471,14011106,82.3,0.8,0,0,2,75,23,Zarand Ker,844Ú53,12/30/99,
COKE01-475,14011106,80.5,0.9,0,0,4,70,26,Zarand Ker,619Ú82,12/30/99,
COKE01-476,14011107,81,1,0,0,2,73,25,Zarand Ker,263Ú56,12/30/99,
COKE01-477,14011108,82.9,0.6,0,0,2,75,23,Zarand Ker,258Ú35,12/30/99,
COKE01-479,14011111,81.7,1.5,0,0,0,0,0,AMATIS,898Ú54,12/30/99,
COKE01-481,14011112,81.2,1,0,0,2,73,25,Zarand Ker,168Ú35,12/30/99,
COKE01-481,14011111,82.4,1,0,0,2,69,29,Zarand Ker,843Ú89,,
COKE01-483,14011112,81.2,1,0,0,2,73,25,Zarand Ker,168Ú35,,
COKE01-525,14011226,84.1,1,0,0,2,79,19,Zarand Ker,762Ú79,12/30/99,
COKE01-526,14011226,80.8,1.2,0,0,2,78,20,Zarand Ker,655Ú71,12/30/99,
COKE01-527,14011226,82.6,1.1,0,0,2,80,18,Zarand Ker,184Ú25,12/30/99,
COKE01-528,14011226,83.3,0.9,0,0,3,80,17,Zarand Ker,788Ú51,12/30/99,
COKE01-529,14011226,81.1,1.2,0,0,2,77,21,Zarand Ker,134Ú61,12/30/99,
COKE01-530,14011226,82.6,1.2,0,0,2,81,17,Zarand Ker,551Ú55,12/30/99,
COKE01-531,14011227,83.5,1.1,0,0,2,80,18,Zarand Ker,417Ú76,12/30/99,
COKE01-532,14011227,84.1,1.1,0,0,2,79,19,Zarand Ker,121Ú86,12/30/99,
COKE01-533,14011227,83.9,1.2,0,0,2,80,18,Zarand Ker,545Ú29,12/30/99,
COKE01-534,14011227,82.5,1.2,0,0,3,80,17,Zarand Ker,236Ú67,12/30/99,
COKE01-535,14011227,83.1,1.3,0,0,2,79,19,Zarand Ker,293Ú32,12/30/99,
COKE01-536,14011227,82.1,1.1,0,0,2,78,20,Zarand Ker,912Ú36,12/30/99,
COKE01-537,14011227,81.4,1.2,0,0,3,80,17,Zarand Ker,983Ú53,12/30/99,
COKE01-539,14011227,83.5,1,0,0,2,80,18,Zarand Ker,453Ú64,12/30/99,
COKE01-540,14011227,82,1,0,0,3,80,17,Zarand Ker,445Ú64,12/30/99,
COKE01-541,14011227,81.7,1,0,0,2,80,18,Zarand Ker,174Ú54,12/30/99,
COKE01-542,14011227,80.3,1,0,0,2,79,19,Zarand Ker,195Ú63,12/30/99,
COKE01-543,14011227,81.6,1,0,0,2,78,20,Zarand Ker,215Ú66,12/30/99,
COKE01-544,14011227,82.5,1,0,0,3,79,18,Zarand Ker,413Ú67,12/30/99,
COKE01-545,14011227,81.4,1,0,0,3,79,18,Zarand Ker,431Ú73,12/30/99,
COKE01-546,14011227,80.8,1,0,0,2,79,19,Zarand Ker,134Ú61,12/30/99,
COKE01-547,14011227,83.2,1,0,0,2,78,20,Zarand Ker,138Ú36,12/30/99,
COKE01-548,14011227,82.4,1,0,0,2,78,20,Zarand Ker,167Ú95,12/30/99,
COKE01-549,14011227,83.6,1,0,0,3,80,17,Zarand Ker,258Ú35,12/30/99,
COKE01-550,14011227,82.4,1,0,0,2,78,20,Zarand Ker,655Ú71,12/30/99,
COKE01-551,14011227,81.6,1,0,0,3,78,19,Zarand Ker,481Ú82,12/30/99,
COKE01-552,14011227,83.7,1,0,0,2,78,20,Zarand Ker,935Ú57,12/30/99,
COKE01-553,14011227,83.1,1,0,0,2,79,19,Zarand Ker,138Ú61,12/30/99,
COKE01-554,14011227,82.7,1,0,0,3,79,18,Zarand Ker,835Ú64,12/30/99,
COKE01-555,14011227,81.1,1,0,0,3,80,17,Zarand Ker,755Ú54,12/30/99,
COKE01-556,14011227,81.7,1,0,0,2,80,18,Zarand Ker,495Ú33,12/30/99,
COKE01-557,14011227,82.6,1,0,0,2,78,20,Zarand Ker,872Ú33,12/30/99,
COKE01-558,14011227,81.3,1,0,0,2,79,19,Zarand Ker,869Ú33,12/30/99,
COKE01-559,14011228,83.4,1,0,0,3,78,19,Zarand Ker,939Ú46,12/30/99,
COKE01-560,14011228,82.1,1,0,0,2,78,20,Zarand Ker,289Ú89,12/30/99,
COKE01-561,14011228,82.7,1,0,0,3,80,17,Zarand Ker,553Ú29,12/30/99,
COKE01-562,14011228,81.9,1,0,0,3,79,18,Zarand Ker,463Ú25,12/30/99,
COKE01-563,14011228,82.5,1,0,0,3,80,17,Zarand Ker,215Ú97,12/30/99,
COKE01-564,14011228,81.4,0.9,0,0,2,78,20,Zarand Ker,249Ú75,12/30/99,
COKE01-565,14011228,82,0.9,0,0,3,80,17,Zarand Ker,286Ú78,12/30/99,
COKE01-566,14011228,81.9,0.9,0,0,3,80,17,Zarand Ker,253Ú54,12/30/99,
COKE01-567,14011229,82,1,0,0,3,80,17,Zarand Ker,769Ú71,12/30/99,
COKE01-568,14011229,81.6,1,0,0,3,79,18,Zarand Ker,232Ú38,12/30/99,
COKE01-569,14011229,80.1,0.9,0,0,3,80,17,Zarand Ker,935Ú57,12/30/99,
COKE02-2,14020107,83.6,0.9,0,0,2,75,23,Zarand Kerman,485Ú57,12/30/99,
COKE02-3,14020107,84.6,0.8,0,0,3,78,19,Zarand Kerman,426Ú45,12/30/99,
COKE02-4,14020107,85.5,1.1,0,0,2,76,22,Zarand Kerman,215Ú66,12/30/99,
COKE02-5,14020107,83,1,0,0,2,77,21,Zarand Kerman,184Ú25,12/30/99,
COKE02-6,14020107,84.1,0.8,0,0,3,73,24,Zarand Kerman,739Ú16,12/30/99,
COKE02-7,14020107,82,0.9,0,0,4,73,23,Zarand Kerman,195Ú63,12/30/99,
COKE02-8,14020107,82.6,1,0,0,2,76,22,Zarand Kerman,237Ú67,12/30/99,
COKE02-9,14020107,83.1,1,0,0,2,77,21,Zarand Kerman,453Ú64,12/30/99,
COKE02-10,14020107,81.9,1,0,0,3,73,24,Zarand Kerman,463Ú25,12/30/99,
COKE02-11,14020107,81.4,0.9,0,0,1,76,23,Zarand Kerman,247Ú45,12/30/99,
COKE02-12,14020107,82.6,0.9,0,0,2,76,22,Zarand Kerman,859Ú67,12/30/99,
COKE02-13,14020107,83.2,0.8,0,0,4,75,21,Zarand Kerman,573Ú46,12/30/99,
COKE02-14,14020107,81,1,0,0,5,72,23,Zarand Kerman,338Ú17,12/30/99,
COKE02-15,14020107,82,1,0,0,3,76,21,Zarand Kerman,998Ú38,12/30/99,
COKE02-16,14020107,83,0.9,0,0,2,75,23,Zarand Kerman,989Ú42,12/30/99,
COKE02-17,14020107,81.5,0.9,0,0,2,76,22,Zarand Kerman,438Ú53,12/30/99,
COKE02-18,14020107,82,0.9,0,0,4,75,21,Zarand Kerman,741Ú92,12/30/99,
COKE02-19,14020108,82.2,1.1,0,0,2,75,23,Zarand Kerman,134Ú61,12/30/99,
COKE02-20,14020108,81.9,1,0,0,4,75,21,Zarand Kerman,182Ú64,12/30/99,
COKE02-21,14020108,82.7,0.9,0,0,2,76,22,Zarand Kerman,426Ú45,12/30/99,
COKE02-22,14020108,82.2,1,0,0,3,73,24,Zarand Kerman,755Ú54,12/30/99,
COKE02-23,14020108,83.7,0.8,0,0,2,77,21,Zarand Kerman,997Ú47,12/30/99,
COKE02-24,14020108,84.1,0.9,0,0,4,73,23,Zarand Kerman,237Ú67,12/30/99,
COKE02-25,14020108,82.5,1.1,0,0,2,76,22,Zarand Kerman,138Ú61,12/30/99,
COKE02-26,14020108,83.5,1,0,0,3,78,19,Zarand Kerman,354Ú52,12/30/99,
COKE02-27,14020108,82.9,0.9,0,0,2,76,22,Zarand Kerman,361Ú94,12/30/99,
COKE02-28,14020108,83.4,1,0,0,3,73,24,Zarand Kerman,939Ú46,12/30/99,
COKE02-29,14020108,84.1,0.8,0,0,5,72,23,Zarand Kerman,868Ú44,12/30/99,
COKE02-30,14020108,81.9,1.1,0,0,4,75,21,Zarand Kerman,463Ú25,12/30/99,
COKE02-31,14020108,82.7,0.9,0,0,2,76,22,Zarand Kerman,254Ú39,12/30/99,
COKE02-32,14020108,83.1,1.1,0,0,3,75,22,Zarand Kerman,215Ú66,12/30/99,
COKE02-33,14020109,81.2,0.9,0,0,2,75,23,Zarand Kerman,739Ú16,12/30/99,
COKE02-34,14020109,84,0.9,0,0,2,76,22,Zarand Kerman,453Ú74,12/30/99,
COKE02-35,14020109,83,1,0,0,4,75,21,Zarand Kerman,859Ú67,12/30/99,
COKE02-36,14020109,84.2,1,0,0,2,75,23,Zarand Kerman,237Ú67,12/30/99,
COKE02-37,14020109,81.9,0.8,0,0,4,75,21,Zarand Kerman,411Ú51,12/30/99,
COKE02-38,14020109,82.7,0.9,0,0,2,76,22,Zarand Kerman,426Ú45,12/30/99,
COKE02-39,14020109,82.2,1.1,0,0,3,73,24,Zarand Kerman,965Ú74,12/30/99,
COKE02-40,14020109,83.7,1,0,0,2,77,21,Zarand Kerman,445Ú85,12/30/99,
COKE02-41,14020109,84.1,0.9,0,0,4,73,23,Zarand Kerman,597Ú39,12/30/99,
COKE02-42,14020109,82.5,1,0,0,2,76,22,Zarand Kerman,939Ú46,12/30/99,
COKE02-43,14020109,83.5,0.8,0,0,3,78,19,Zarand Kerman,361Ú94,12/30/99,
COKE02-44,14020109,81.2,1.1,0,0,2,76,22,Zarand Kerman,868Ú44,12/30/99,
COKE02-45,14020109,82.6,0.9,0,0,4,75,21,Zarand Kerman,215Ú66,12/30/99,
COKE02-46,14020109,81.5,1,0,0,2,76,22,Zarand Kerman,989Ú42,12/30/99,
COKE02-47,14020109,80.9,0.9,0,0,2,77,21,Zarand Kerman,438Ú53,12/30/99,
COKE02-48,14020110,81.4,1.1,0,0,3,76,21,Zarand Kerman,195Ú63,12/30/99,
COKE02-49,14020110,82.2,1,0,0,3,74,23,Zarand Kerman,655Ú71,12/30/99,
COKE02-50,14020110,81.6,1.1,0,0,2,74,24,Zarand Kerman,372Ú53,12/30/99,
COKE02-51,14020110,82.5,0.9,0,0,4,77,19,Zarand Kerman,831Ú78,12/30/99,
COKE02-52,14020110,82.7,0.8,0,0,4,74,22,Zarand Kerman,461Ú36,12/30/99,
COKE02-53,14020110,83.1,1.1,0,0,2,75,23,Zarand Kerman,327Ú67,12/30/99,
COKE02-54,14020110,84,1,0,0,4,75,21,Zarand Kerman,361Ú94,12/30/99,
COKE02-55,14020110,82.3,0.8,0,0,3,73,24,Zarand Kerman,868Ú44,12/30/99,
COKE02-56,14020110,81.9,0.9,0,0,2,78,20,Zarand Kerman,939Ú46,12/30/99,
COKE02-57,14020110,82.4,0.9,0,0,3,74,23,Zarand Kerman,463Ú25,12/30/99,
COKE02-58,14020110,83.1,1.1,0,0,3,75,22,Zarand Kerman,597Ú39,12/30/99,
COKE02-59,14020110,82.4,1,0,0,4,77,19,Zarand Kerman,619Ú82,12/30/99,
COKE02-60,14020110,83.1,0.9,0,0,2,74,24,Zarand Kerman,445Ú85,12/30/99,
COKE02-61,14020110,84.2,0.8,0,0,3,75,22,Zarand Kerman,741Ú92,12/30/99,
COKE02-62,14020110,83.6,0.9,0,0,2,77,21,Zarand Kerman,134Ú61,12/30/99,
COKE02-63,14020110,82.8,1,0,0,4,73,23,Zarand Kerman,138Ú61,12/30/99,
COKE02-64,14020110,81.4,0.8,0,0,2,76,22,Zarand Kerman,756Ú77,12/30/99,
COKE02-65,14020110,82.2,0.9,0,0,2,76,22,Zarand Kerman,276Ú27,12/30/99,
COKE02-66,14020110,81.7,0.8,0,0,4,75,21,Zarand Kerman,,12/30/99,
COKE02-67,14020110,83.1,0.8,0,0,2,74,24,Zarand Kerman,869Ú33,12/30/99,
COKE02-68,14020110,82.6,1,0,0,3,76,21,Zarand Kerman,872Ú33,12/30/99,
COKE02-69,14020111,81.3,1,0,0,2,76,22,Zarand Kerman,426Ú45,12/30/99,
COKE02-70,14020111,82,0.9,0,0,2,77,21,Zarand Kerman,494Ú73,12/30/99,
COKE02-71,14020111,81.7,0.8,0,0,4,75,21,Zarand Kerman,541Ú42,12/30/99,
COKE02-72,14020111,82.3,1.1,0,0,2,74,24,Zarand Kerman,859Ú67,12/30/99,
COKE02-73,14020111,82.9,0.8,0,0,2,76,22,Zarand Kerman,874Ú58,12/30/99,
COKE02-74,14020111,81.8,0.9,0,0,3,76,21,Zarand Kerman,997Ú47,12/30/99,
COKE02-75,14020111,81.5,1,0,0,2,74,24,Zarand Kerman,358Ú39,12/30/99,
COKE02-76,14020111,81,1,0,0,2,76,22,Zarand Kerman,844Ú41,12/30/99,
COKE02-77,14020111,80.9,0.9,0,0,2,76,22,Zarand Kerman,237Ú67,12/30/99,
COKE02-78,14020111,81.4,0.8,0,0,4,75,21,Zarand Kerman,668Ú88,12/30/99,
COKE02-79,14020111,82.5,1,0,0,2,76,22,Zarand Kerman,354Ú52,12/30/99,
COKE02-80,14020111,82.7,0.9,0,0,2,77,21,Zarand Kerman,974Ú37,12/30/99,
COKE02-81,14020111,81.3,1.1,0,0,3,76,21,Zarand Kerman,989Ú51,12/30/99,
COKE02-82,14020111,80.8,1,0,0,3,74,23,Zarand Kerman,916Ú73,12/30/99,
COKE02-83,14020111,81.8,0.9,0,0,2,74,24,Zarand Kerman,419Ú68,12/30/99,
COKE02-84,14020111,82,0.8,0,0,4,77,19,Zarand Kerman,236Ú67,12/30/99,
COKE02-85,14020111,82.1,1,0,0,4,74,22,Zarand Kerman,655Ú71,12/30/99,
COKE02-86,14020111,82.9,0.8,0,0,2,75,23,Zarand Kerman,215Ú66,12/30/99,
COKE02-87,14020111,81.6,1.2,0,0,4,75,21,Zarand Kerman,463Ú25,12/30/99,
COKE02-88,14020111,80.7,1,0,0,2,77,21,Zarand Kerman,414Ú64,12/30/99,
COKE02-89,14020111,81.2,0.9,0,0,3,73,24,Zarand Kerman,438Ú53,12/30/99,
COKE02-90,14020111,82.5,0.8,0,0,1,76,23,Zarand Kerman,454Ú53,12/30/99,
COKE02-91,14020111,82.6,1.1,0,0,2,76,22,Zarand Kerman,989Ú42,12/30/99,
COKE02-92,14020111,81.4,0.9,0,0,4,75,21,Zarand Kerman,557Ú28,12/30/99,
COKE02-93,14020111,80.9,1.2,0,0,5,72,23,Zarand Kerman,347Ú64,12/30/99,
COKE02-94,14020111,81.1,1,0,0,3,76,21,Zarand Kerman,336Ú55,12/30/99,
COKE02-95,14020111,80.7,1.1,0,0,2,75,23,Zarand Kerman,619Ú82,12/30/99,
COKE02-96,14020111,80.6,0.9,0,0,2,76,22,Zarand Kerman,361Ú94,12/30/99,
COKE02-97,14020111,81.7,0.8,0,0,4,75,21,Zarand Kerman,939Ú46,12/30/99,
COKE02-98,14020111,81.9,0.9,0,0,2,75,23,Zarand Kerman,868Ú44,12/30/99,
COKE02-99,14020111,82.4,1.1,0,0,4,75,21,Zarand Kerman,597Ú39,12/30/99,
COKE02-100,14020114,81.1,1,0,0,2,77,21,Zarand Kerman,134Ú61,12/30/99,
COKE02-101,14020115,81.5,1,0,0,3,76,21,Zarand Kerman,415Ú25,12/30/99,
COKE02-102,14020115,81.3,0.8,0,0,2,76,22,Zarand Kerman,959Ú49,12/30/99,
COKE02-103,14020115,82.4,0.8,0,0,2,77,21,Zarand Kerman,939Ú46,12/30/99,
COKE02-104,14020115,81.2,0.9,0,0,4,75,21,Zarand Kerman,361Ú94,12/30/99,
COKE02-105,14020115,80.9,0.9,0,0,2,74,24,Zarand Kerman,195Ú63,12/30/99,
COKE02-106,14020115,81.3,0.9,0,0,2,76,22,Zarand Kerman,161Ú61,12/30/99,
COKE02-107,14020115,82.2,1,0,0,1,76,23,Zarand Kerman,371Ú21,12/30/99,
COKE02-108,14020115,82.1,0.8,0,0,2,76,22,Zarand Kerman,154Ú35,12/30/99,
COKE02-109,14020115,83,1,0,0,4,75,21,Zarand Kerman,463Ú25,12/30/99,
COKE02-110,14020115,81.6,1.1,0,0,5,72,23,Zarand Kerman,655Ú71,12/30/99,
COKE02-111,14020115,81.9,1,0,0,3,76,21,Zarand Kerman,764Ú34,12/30/99,
COKE02-112,14020115,81.2,0.9,0,0,2,75,23,Zarand Kerman,343Ú38,12/30/99,
COKE02-113,14020115,82.3,0.9,0,0,2,76,22,Zarand Kerman,347Ú64,12/30/99,
COKE02-114,14020115,82.6,0.9,0,0,4,75,21,Zarand Kerman,376Ú71,12/30/99,
COKE02-115,14020115,82.7,0.8,0,0,4,75,21,Zarand Kerman,557Ú28,12/30/99,
COKE02-116,14020115,81,0.8,0,0,2,77,21,Zarand Kerman,336Ú55,12/30/99,
COKE02-117,14020115,80.8,0.8,0,0,3,73,24,Zarand Kerman,989Ú42,12/30/99,
COKE02-118,14020115,81.8,1,0,0,3,78,19,Zarand Kerman,454Ú53,12/30/99,
COKE02-119,14020115,81.3,0.8,0,0,2,76,22,Zarand Kerman,541Ú42,12/30/99,
COKE02-120,14020115,81.9,0.9,0,0,2,76,22,Zarand Kerman,716Ú44,12/30/99,
COKE02-121,14020115,81.5,0.8,0,0,2,77,21,Zarand Kerman,495Ú33,12/30/99,
COKE02-130,14020120,83,1,0,0,2,75,23,Zarand Kerman,195Ú63,12/30/99,
COKE02-131,14020120,83.6,0.9,0,0,2,76,22,Zarand Kerman,741Ú92,12/30/99,
COKE02-132,14020120,83.1,1,0,0,3,73,24,Zarand Kerman,868Ú44,12/30/99,
COKE02-133,14020121,82.1,0.9,0,0,2,74,24,Zarand Kerman,161Ú61,12/30/99,
COKE02-135,14020121,82.7,1,0,0,2,77,21,Zarand Kerman,254Ú39,12/30/99,
COKE02-136,14020122,81,0.9,0,0,3,73,24,Zarand Kerman,584Ú61,12/30/99,
COKE02-137,14020122,82.1,0.9,0,0,2,76,22,Zarand Kerman,168Ú35,12/30/99,
COKE02-138,14020123,83,1,0,0,3,74,23,Zarand Kerman,177Ú39,12/30/99,
COKE02-139,14020123,84.2,0.9,0,0,3,75,22,Zarand Kerman,228Ú48,12/30/99,
COKE02-142,14020124,81.5,0.9,0,0,2,76,22,Zarand Kerman,876Ú76,12/30/99,
COKE02-143,14020125,82,0.8,0,0,3,73,24,Zarand Kerman,486Ú57,12/30/99,
COKE02-144,14020125,81.5,1,0,0,2,75,23,Zarand Kerman,525Ú11,12/30/99,
COKE02-145,14020125,82.1,0.9,0,0,3,75,22,Zarand Kerman,597Ú29,12/30/99,
COKE02-146,14020125,82,0.8,0,0,2,77,21,Zarand Kerman,154Ú35,12/30/99,
COKE02-163,14020207,81.5,1,0,0,3,75,22,Zarand Kerman,584Ú61,12/30/99,
COKE02-164,14020208,82.3,0.9,4.1,0,2,75,23,Zarand Kerman,164Ú68,12/30/99,
COKE02-165,14020208,83.5,1,4.3,0,2,74,24,Zarand Kerman,774Ú41,12/30/99,
COKE02-166,14020208,83.4,1,4.4,0,2,76,22,Zarand Kerman,299Ú38,12/30/99,
COKE02-167,14020208,83,0.9,4.7,0,3,75,22,Zarand Kerman,725Ú79,12/30/99,
COKE02-168,14020208,80.8,1,4.2,0,2,76,22,Zarand Kerman,215Ú66,12/30/99,
COKE02-171,14020209,81,0.9,0,0,2,74,24,Zarand Kerman,258Ú35,12/30/99,
COKE02-172,14020209,81.5,1,0,0,3,75,22,Zarand Kerman,829Ú22,12/30/99,
COKE02-173,14020209,82,1.1,0,0,3,73,24,Zarand Kerman,843Ú89,12/30/99,
COKE02-174,14020209,82.3,1.1,0,0,4,73,23,Zarand Kerman,852Ú13,12/30/99,
COKE02-175,14020209,81.9,1,0,0,2,76,22,Zarand Kerman,261Ú97,12/30/99,
COKE02-176,14020209,82,1,0,0,4,73,23,Zarand Kerman,694Ú94,12/30/99,
COKE02-178,14020210,81,1,0,0,3,73,24,Zarand Kerman,939Ú46,12/30/99,
COKE02-179,14020210,82,1,0,0,1,76,23,Zarand Kerman,716Ú18,12/30/99,
COKE02-180,14020210,82.2,1,0,0,2,76,22,Zarand Kerman,463Ú25,12/30/99,
COKE02-182,14020211,81.5,1,0,0,2,76,22,Zarand Kerman,755Ú54,12/30/99,
COKE02-183,14020211,82,1,0,0,2,77,21,Zarand Kerman,924Ú58,12/30/99,
COKE02-184,14020212,81,1.1,0,0,3,73,24,Zarand Kerman,376Ú75,12/30/99,
COKE02-185,14020212,82,1.1,0,0,2,76,22,Zarand Kerman,791Ú94,12/30/99,
COKE02-186,14020212,82.3,1.1,0,0,3,74,23,Zarand Kerman,775Ú19,12/30/99,
COKE02-188,14020213,82,1,0,0,3,78,19,Zarand Kerman,836Ú14,12/30/99,
COKE02-189,14020213,81,1,0,0,2,76,22,Zarand Kerman,776Ú18,12/30/99,
COKE02-190,14020213,80,0.9,0,0,2,76,22,Zarand Kerman,223Ú39,12/30/99,
COKE02-191,14020213,80.5,0.9,0,0,2,77,21,Zarand Kerman,542Ú92,12/30/99,
COKE02-192,14020214,81,1,0,0,3,78,19,Zarand Kerman,568Ú26,12/30/99,
COKE02-193,14020214,82,1.1,0,0,2,74,24,Zarand Kerman,444Ú83,12/30/99,
COKE02-194,14020214,81.3,0.9,0,0,2,76,22,Zarand Kerman,154Ú35,12/30/99,
COKE02-195,14020214,81.1,1,0,0,3,75,22,Zarand Kerman,336Ú55,12/30/99,
COKE02-196,14020215,80.3,1,0,0,2,76,22,Zarand Kerman,161Ú61,12/30/99,
COKE02-197,14020215,80.5,1,0,0,3,74,23,Zarand Kerman,834Ú59,12/30/99,
COKE02-200,14020216,80.6,0.7,0,0,4,76,20,Zarand Kerman,168Ú73,12/30/99,
COKE02-201,14020216,81,0.8,0,0,2,76,22,Zarand Kerman,694Ú94,12/30/99,
COKE02-204,14020217,81,1,0,0,2,76,22,Zarand Kerman,788Ú51,12/30/99,
COKE02-205,14020217,80.9,1,0,0,3,74,23,Zarand Kerman,215Ú91,12/30/99,
COKE02-206,14020217,82,1,0,0,3,74,23,Zarand Kerman,254Ú39,12/30/99,
COKE02-209,14020218,81,1,0,0,2,76,22,Zarand Kerman,725Ú79,12/30/99,
COKE02-210,14020218,82.2,1,0,0,2,77,21,Zarand Kerman,948Ú67,12/30/99,
