tar,heat_no,cao,feo,sio2,mgo,al2o3,p2o5,mno,b2,b3,b4
980201,980510,40.6,16.8,23.6,11.9,4.6,2.18,0.11,1.72,1.44,1.87
980202,980515,35.3,24.6,23.3,10.2,4.5,1.617,0.136,1.51,1.27,1.63
980202,980520,38.2,21.8,23,10.1,4.5,1.908,0.119,1.66,1.39,1.76
980202,980525,34.8,22.1,21.9,15.1,4.1,1.173,0.591,1.59,1.34,1.92
980203,980530,38.4,20.8,24,9.5,4.9,1.989,0.135,1.6,1.33,1.66
980203,980536,38.5,20.9,23.2,10.4,4.5,2.058,0.124,1.66,1.39,1.77
980203,980540,40.8,17,24.8,9.8,4.8,2.347,0.108,1.65,1.38,1.71
980203,980545,40.9,19,21.8,11.6,4.5,1.91,0.099,1.87,1.56,2
980205,980550,40.7,14.5,24.3,13.3,4.6,2.219,0.117,1.68,1.41,1.87
980205,980555,38.7,19.4,23.7,11.2,4.6,2.063,0.125,1.63,1.37,1.76
980205,980560,41.9,17,23,10.3,4.8,2.477,0.105,1.82,1.51,1.87
980205,980565,36.8,22.1,21.7,13.5,4,1.545,0.112,1.7,1.44,1.96
980207,980570,35.7,25,22.7,10.1,4.2,1.909,0.121,1.57,1.33,1.7
980207,980575,33.7,27.8,22.4,10.1,4.1,1.446,0.121,1.5,1.27,1.65
980207,980580,38,21.1,23.1,10.9,4.6,1.954,0.105,1.65,1.37,1.77
980207,980585,34.6,26.7,22.9,9.3,4.4,1.722,0.143,1.51,1.27,1.61
980207,980590,39.7,18.9,19.2,16.4,3.8,1.543,0.1,2.06,1.72,2.43
980207,980595,39,20.1,23.5,10.4,4.6,1.931,0.103,1.66,1.38,1.76
980207,980600,34.9,25.4,22.7,10.7,4.1,1.663,0.119,1.54,1.3,1.7
980207,980605,35.8,24.9,22.5,10.4,4.3,1.719,0.118,1.59,1.33,1.72
980208,980610,34.3,26.6,21.7,11.6,4,1.314,0.148,1.58,1.34,1.79
980208,980615,37.7,22.4,23.1,10,4.5,1.792,0.119,1.63,1.37,1.73
980209,980625,35.2,21.5,25.6,11.2,4.5,1.699,0.107,1.37,1.17,1.54
980209,980630,38.6,19.3,24,11,4.6,2.037,0.099,1.61,1.35,1.73
980209,980635,39.5,18.4,23.4,11.8,4.4,2.11,0.102,1.69,1.42,1.84
980209,980640,38.5,20,23.5,10.9,4.6,2.034,0.122,1.64,1.37,1.76
980210,980645,39.2,19.7,24.9,9.6,4.4,1.388,0.446,1.57,1.34,1.66
980210,980650,33.8,25.4,24.3,10,4.3,1.719,0.165,1.39,1.18,1.53
980211,980655,34.6,25.5,23.6,9.8,4.3,1.848,0.147,1.47,1.24,1.6
980212,980675,37.7,25.4,20.6,10.2,4.1,1.589,0.107,1.83,1.53,1.94
980212,980680,37.5,22.5,22.9,10.1,4.5,2.104,0.138,1.64,1.37,1.74
980212,980685,34.9,26.4,23.3,9.2,4.3,1.48,0.118,1.49,1.26,1.6
980214,980690,35.9,22.1,24.5,10.6,4.5,1.932,0.119,1.46,1.24,1.6
980214,980695,39.9,18.8,23.1,10.8,4.7,2.309,0.109,1.73,1.44,1.83
980214,980700,30,21.8,20,22.4,3.4,1.941,0.136,1.5,1.28,2.24
980214,980705,34.1,27,22.2,10.6,4.1,1.44,0.123,1.54,1.3,1.7
980214,980710,37.3,24.3,22.1,9.8,4.3,1.727,0.125,1.69,1.41,1.79
980214,980715,39.6,17.7,24.7,10.5,4.9,2.212,0.114,1.6,1.34,1.69
980214,980720,39.1,15.8,26.7,11.1,4.9,2.027,0.177,1.46,1.24,1.59
980214,980725,36.5,24.4,22.7,9.7,4.4,1.912,0.121,1.61,1.35,1.71
980215,980730,36.1,22.4,24.4,10,4.5,2.166,0.136,1.48,1.25,1.6
980215,980735,39.3,20.9,23.6,9.2,4.6,2.085,0.138,1.67,1.39,1.72
980215,980740,33.9,24.9,25.1,9.5,4.6,1.583,0.146,1.35,1.14,1.46
980215,980745,35.2,30.8,18.5,10.9,3.4,0.84,0.111,1.91,1.61,2.11
980216,980750,43.4,19.9,14.9,16.9,3.2,1.404,0.092,2.91,2.4,3.34
980216,980755,39.7,21.3,20.7,11.8,4.2,1.861,0.109,1.92,1.6,2.07
980216,980760,37.4,25.1,21.4,10,4.1,1.539,0.108,1.75,1.47,1.86
980216,980765,43,18.4,18.3,14.6,3.9,1.468,0.088,2.35,1.94,2.6
980217,980770,32.5,31.8,21.7,8.6,3.9,1.031,0.135,1.5,1.27,1.61
980217,980775,31.8,33.4,21.3,8.4,3.8,0.979,0.126,1.49,1.27,1.61
980217,980780,35.8,25.2,22.7,9.9,4.2,1.78,0.12,1.58,1.33,1.7
980217,980785,35.3,29.3,20.8,9.2,3.8,1.262,0.114,1.7,1.44,1.81
980218,980790,36.6,22.9,23.3,10.7,4.3,1.74,0.192,1.57,1.32,1.71
980218,980795,33.8,23,20,17.2,3.7,1.793,0.123,1.69,1.43,2.15
980218,980800,36.3,23.6,23.6,9.6,4.4,2.047,0.14,1.54,1.3,1.64
980219,980805,38.1,21.9,22.4,10.6,4.5,2.041,0.128,1.7,1.41,1.81
980219,980810,33,30.3,21.4,9.8,4,1.213,0.116,1.54,1.3,1.69
980219,980815,33.6,26.8,22.7,10.6,4.2,1.686,0.133,1.48,1.25,1.65
980219,980820,35.9,22.9,22.6,11.8,4.3,2.089,0.122,1.59,1.34,1.77
980221,980825,38.5,23.7,21.2,9.7,4.4,2.021,0.133,1.82,1.51,1.89
980221,980830,40.4,22.4,22.4,7.7,4.5,2.097,0.11,1.81,1.5,1.79
980221,980835,37.6,21.9,22.6,10.8,4.3,2.438,0.123,1.66,1.4,1.8
980221,980840,34.8,27,21.8,10.4,4,1.527,0.135,1.59,1.34,1.75
980221,980845,32.7,30.6,20.3,11.1,3.7,1.225,0.134,1.61,1.36,1.82
980221,980850,31.2,31.5,22,10,3.7,1.013,0.232,1.42,1.21,1.6
980222,980855,30.7,33.1,20.7,10.3,3.7,1.084,0.135,1.49,1.26,1.69
980222,980860,32.7,31.2,20,11,3.6,1.097,0.123,1.64,1.38,1.85
980222,980865,33.6,29.9,21.2,9.5,3.9,1.534,0.135,1.58,1.34,1.72
980223,980870,29.7,38.6,18.3,9.2,3.1,0.712,0.178,1.62,1.39,1.82
980223,980875,27.1,38.3,19.7,10.4,3.3,0.792,0.13,1.38,1.18,1.63
980223,980880,34.1,32.7,16.2,13,3,0.648,0.108,2.1,1.77,2.45
980223,980885,26.6,39.5,20.3,9.1,3.4,0.676,0.129,1.32,1.13,1.51
980224,980890,37.8,23.9,21.1,10.8,4.3,1.755,0.138,1.79,1.49,1.91
980225,980895,38.4,20.7,23.3,10,4.7,2.397,0.141,1.65,1.37,1.73
980225,980900,37.6,24.3,22.9,8.7,4.4,1.695,0.109,1.64,1.38,1.7
980225,980905,30.6,33,21.5,9.7,3.8,0.997,0.132,1.42,1.21,1.59
980226,980910,30.8,29.6,23.3,10.3,4.1,1.458,0.133,1.32,1.12,1.5
980226,980915,27.8,32.8,22.5,11.4,4,1.081,0.152,1.23,1.05,1.48
980226,980920,32,28.3,22.4,11.1,4.2,1.556,0.134,1.43,1.2,1.62
980228,980925,33.7,27.7,21.2,11.4,4,1.562,0.122,1.59,1.34,1.79
980228,980930,38.2,20.4,23.8,10.4,4.6,2.204,0.147,1.6,1.35,1.71
980228,980935,30.4,27.8,25.6,9.7,4.6,1.428,0.146,1.19,1.01,1.33
980228,980940,33.2,26.4,24.6,9.5,4.5,1.554,0.134,1.35,1.14,1.47
980228,980945,38.5,19.9,23.4,11.2,4.6,2.027,0.12,1.64,1.37,1.77
980228,980950,37.5,24.1,22.6,9.1,4.5,1.737,0.117,1.65,1.38,1.72
980228,980955,33.5,28.1,23.3,9.2,4.2,1.322,0.117,1.44,1.22,1.55
980229,980960,40.1,19.2,22.7,10.6,4.7,2.199,0.123,1.77,1.46,1.85
980229,980965,37.5,26.6,20.5,9.6,4.1,1.08,0.306,1.83,1.53,1.91
980230,980970,39.9,21.3,22,9.6,4.6,2.157,0.13,1.81,1.5,1.86
980230,980975,40.2,17.1,23.7,10.9,4.8,2.845,0.121,1.7,1.41,1.79
980230,980980,41.2,15.9,23.9,10.9,4.9,2.548,0.316,1.73,1.43,1.81
980231,980985,35.9,25.2,22.5,9.8,4.3,1.902,0.149,1.6,1.34,1.71
980231,980990,35.6,26.5,22.2,9.4,4.2,1.659,0.123,1.6,1.35,1.7
980231,980995,36.2,23.9,22.6,10.5,4.5,1.829,0.145,1.6,1.34,1.72
980231,981000,35.1,26.9,22.4,9.4,4.3,1.185,0.419,1.57,1.32,1.67
980301,981005,34.8,26.2,23.3,9.3,4.4,1.407,0.388,1.5,1.26,1.6
980301,981010,38.9,25,21.1,8.3,4.3,1.943,0.115,1.84,1.53,1.86
980301,981015,40.1,24.5,20.3,8.8,4.3,1.172,0.419,1.97,1.62,1.98
980302,981020,33.8,30.8,20.8,9.2,3.8,1.098,0.253,1.62,1.37,1.74
980304,981025,37.6,22.3,21.3,12.3,4.2,1.818,0.117,1.77,1.48,1.96
980304,981030,37.3,22.7,22.3,10.7,4.5,2.129,0.152,1.68,1.4,1.8
980304,981035,37.6,22.7,23.1,9.4,4.7,2.108,0.116,1.63,1.35,1.69
980304,981040,42.9,13.8,24.3,10.8,5.2,2.647,0.113,1.77,1.46,1.82
980304,981045,36.9,26.9,19.8,11,3.8,1.225,0.095,1.86,1.56,2.02
980304,981050,37.9,21.5,22.5,11.3,4.5,1.891,0.116,1.68,1.4,1.82
980304,981055,31,31.4,22.7,9.2,4,1.228,0.116,1.37,1.16,1.51
980304,981060,34.7,25.3,23.8,9.5,4.5,1.808,0.127,1.46,1.23,1.56
980305,981065,33.9,26.7,23,10.1,4.2,1.518,0.178,1.47,1.24,1.62
980305,981070,30.7,30.7,22.7,10.2,3.9,1.282,0.141,1.35,1.15,1.54
980305,981075,30.5,35.9,20.5,8,3.7,0.949,0.148,1.49,1.26,1.59
980305,981080,39.7,17.9,24,10.8,4.8,2.416,0.114,1.65,1.38,1.75
980306,981085,33.3,30,20.9,9.8,4.1,1.404,0.144,1.59,1.33,1.72
980306,981095,37.2,22.6,22,10.9,4.7,2.22,0.139,1.69,1.4,1.8
980308,981105,37.5,30.8,17,9.2,3.9,1.222,0.158,2.21,1.8,2.24
980308,981110,36.7,30.2,19,8,4,1.65,0.162,1.94,1.6,1.95
980308,981115,37.1,29.7,18.5,8.5,4,1.753,0.174,2,1.65,2.03
980309,981120,37.3,30.5,18.6,7.5,3.9,1.732,0.158,2.01,1.66,1.99
980309,981125,39.6,25.2,19.8,8.3,4.3,2.327,0.148,2.01,1.65,1.99
980309,981130,40.4,19.4,22.2,10.1,4.7,2.705,0.135,1.82,1.5,1.87
980311,981135,35.9,27.3,21.1,9.1,4.2,1.865,0.138,1.7,1.42,1.78
980311,981140,43.9,19.9,19.4,8.8,4.7,2.826,0.14,2.26,1.82,2.18
980311,981145,41.8,22.2,20.2,8.6,4.4,2.441,0.128,2.07,1.7,2.05
980311,981155,42.5,16.3,22.7,10.3,5,2.698,0.122,1.87,1.53,1.9
980311,981160,37.8,29.4,19.6,7.3,3.9,1.505,0.13,1.93,1.6,1.91
980311,981165,41.2,23.5,20,8.5,4.5,1.933,0.114,2.06,1.69,2.03
980312,981170,40.1,19.2,23.5,9.8,4.9,2.212,0.118,1.71,1.41,1.76
980312,981175,38.1,18.4,25.7,10.6,4.9,1.84,0.152,1.48,1.24,1.59
980312,981179,42.1,13.7,25.5,11,4.9,2.42,0.104,1.66,1.39,1.75
980312,981185,38.8,21.3,23.3,9.7,4.7,1.86,0.112,1.67,1.39,1.74
980313,981190,37,21.9,24,10.2,4.5,1.902,0.114,1.54,1.3,1.66
980313,981195,32.8,28.7,23,9.5,4.3,1.292,0.159,1.43,1.2,1.55
980313,981200,35.3,22.5,25.4,9.9,4.8,1.753,0.128,1.39,1.17,1.5
980313,981205,35.3,24,23.9,10.1,4.6,1.665,0.134,1.48,1.24,1.59
980314,981210,37.1,18.9,25.7,11.1,4.8,2.017,0.131,1.44,1.22,1.58
980315,981215,35,26,22.4,10.3,4.3,1.561,0.122,1.56,1.31,1.7
980315,981220,38,20.8,22.5,11.7,4.5,2.071,0.114,1.69,1.41,1.84
980315,981225,40.8,17.6,20.7,14.3,4.4,1.803,0.103,1.97,1.62,2.19
980315,981230,38.4,21.4,23.6,9.5,4.7,1.956,0.108,1.63,1.36,1.69
980316,981235,38.1,21.2,24.2,9.5,4.6,1.973,0.11,1.57,1.32,1.65
980316,981240,37.2,23.9,22.6,9.7,4.4,1.711,0.117,1.65,1.38,1.74
980316,981250,38.2,21.4,23.4,9.8,4.8,1.68,0.407,1.64,1.36,1.7
980318,981255,36.1,24,23.3,9.9,4.5,1.75,0.137,1.55,1.3,1.66
980318,981260,33.6,29.4,21.6,9.8,4,1.218,0.116,1.56,1.32,1.7
980318,981265,38.7,24,18.8,13,3.8,1.233,0.145,2.06,1.71,2.28
980318,981270,34.4,26.7,23,9.9,4.2,0.901,0.567,1.5,1.26,1.63
980318,981275,38,24.3,19.6,12.5,3.8,1.135,0.255,1.94,1.62,2.15
980318,981280,38.8,23.3,22.5,9,4.3,1.747,0.124,1.72,1.45,1.78
980318,981285,36.5,26.8,22,8.6,4.2,1.381,0.148,1.66,1.39,1.72
980320,981305,39.7,21.4,22.3,9.9,4.4,1.862,0.122,1.78,1.48,1.86
980320,981310,41.7,17.5,22.4,11.3,4.7,2.021,0.11,1.86,1.54,1.96
980320,981315,39.6,21.1,22.2,10.3,4.6,1.811,0.174,1.79,1.48,1.87
980320,981320,36.4,25.8,20.9,10.8,4.1,1.468,0.113,1.74,1.45,1.89
980321,981325,40.3,16.4,25.6,10,5,1.923,0.398,1.57,1.31,1.64
980321,981330,39.2,17.1,24.8,11.2,4.9,2.298,0.134,1.58,1.32,1.7
980322,981335,40.9,13.2,27.4,10.6,5.3,2.165,0.171,1.49,1.25,1.57
980322,981340,34.8,23.2,24.8,10.2,4.6,1.922,0.145,1.4,1.18,1.53
980322,981345,34.3,26.5,23.2,9.7,4.4,1.481,0.152,1.47,1.24,1.59
980323,981350,33.9,26.4,22.5,11,4.2,1.522,0.151,1.51,1.27,1.68
980323,981355,34.2,26.4,23.3,9.4,4.3,1.891,0.185,1.47,1.24,1.58
980323,981361,34.5,23.7,24.9,10,4.6,1.717,0.2,1.38,1.17,1.5
980323,981365,34.9,24.2,24.4,9.6,4.7,1.077,0.725,1.43,1.2,1.53
980325,981370,36.1,22.4,25.5,9,4.8,1.425,0.52,1.42,1.19,1.49
980325,981375,36.2,24.4,24.2,8,4.7,1.983,0.149,1.5,1.25,1.53
980325,981380,32.4,30.4,21.6,9.8,4.1,1.24,0.162,1.5,1.26,1.64
980325,981385,32.4,29,23.4,8.7,4.5,1.487,0.197,1.39,1.16,1.47
980325,981390,24.4,26.4,20.8,23.2,3.2,1.516,0.249,1.17,1.02,1.98
980325,981395,30.8,33.2,22.4,7.9,4.2,1.04,0.181,1.38,1.16,1.46
980325,981400,33.5,30.2,21.6,8.7,4.2,1.262,0.218,1.55,1.3,1.64
980326,981405,33.2,28.7,22.8,8.8,4.5,1.573,0.166,1.45,1.22,1.54
980326,981410,32.7,32.6,21.9,7.4,4.1,0.376,0.674,1.5,1.26,1.55
980326,981415,38.9,23.7,18.9,12.4,4.1,1.63,0.128,2.05,1.69,2.23
980326,981420,35.4,25.6,20.8,12.2,4.1,1.38,0.243,1.7,1.42,1.91
980327,981425,34.7,25.3,24.1,9,4.7,1.748,0.178,1.44,1.21,1.52
980327,981430,37,23.2,23.5,9.3,4.6,1.895,0.175,1.58,1.32,1.65
980327,981435,41.2,22.5,17.4,12.8,4.1,1.43,0.126,2.37,1.91,2.51
980327,981440,35.6,28.5,19.9,10.4,3.9,0.88,0.425,1.79,1.49,1.93
980328,981445,37.2,24.1,22.2,9.7,4.5,1.888,0.143,1.67,1.39,1.75
980328,981450,35.1,26.6,23,8.8,4.5,1.561,0.147,1.53,1.28,1.6
980328,981455,35,26.1,23.3,9,4.5,1.632,0.143,1.5,1.26,1.58
980329,981460,36.3,24.7,22.8,8.8,4.3,2.493,0.186,1.59,1.34,1.66
980329,981465,37.6,25.1,22.5,7.9,4.6,1.791,0.149,1.67,1.39,1.68
980329,981470,34.4,28,23,8.3,4.4,1.441,0.23,1.5,1.26,1.56
980330,981475,36.8,24.4,22.8,9.2,4.6,1.776,0.156,1.61,1.34,1.68
980330,981480,34.3,29.6,21.9,8,4.3,1.359,0.223,1.57,1.31,1.62
980330,981485,32.5,29.6,23.3,8.5,4.4,1.338,0.152,1.4,1.17,1.48
980330,981490,36.8,20.7,25.5,9.9,4.9,0.858,1.05,1.44,1.21,1.53
980401,981495,35.8,24.2,23.4,9.5,4.6,1.914,0.15,1.53,1.28,1.62
980401,981500,31.5,33.6,21.6,7.8,4.1,0.892,0.211,1.46,1.23,1.53
980401,981506,27.1,38.9,20.8,8.4,3.7,0.567,0.254,1.31,1.11,1.45
980401,981510,36.5,24,23.4,9.4,4.6,1.788,0.184,1.56,1.3,1.64
980402,981515,34.2,25.5,24.4,9.1,4.6,1.832,0.152,1.4,1.18,1.5
980402,981520,31.8,30.9,21.6,10.1,4,1.209,0.147,1.47,1.24,1.64
980402,981525,36.5,22.4,23.1,11.2,4.5,1.973,0.139,1.58,1.32,1.73
980402,981530,31.1,31.9,23,8.2,4.1,1.13,0.157,1.36,1.15,1.45
980403,981535,37.1,22.6,24.2,8.7,4.8,2.173,0.143,1.53,1.28,1.58
980403,981540,33.9,28.6,23.3,7.9,4.5,1.424,0.141,1.46,1.22,1.51
980403,981545,34.9,24.2,25.4,8.5,4.6,1.785,0.199,1.37,1.16,1.44
980405,981555,31,33.3,22.3,7.8,4.1,1.072,0.166,1.39,1.17,1.47
980405,981560,32.4,29.2,23.1,8.8,4.5,1.534,0.162,1.4,1.18,1.49
980405,981565,35.4,25.5,22.6,9.8,4.5,1.758,0.138,1.56,1.31,1.66
980405,981570,36.2,26.2,22.1,8.8,4.5,1.753,0.154,1.64,1.36,1.69
980406,981575,36.3,21.5,25.1,9.7,4.8,2.132,0.178,1.44,1.21,1.54
980407,981585,35.3,22.1,25.5,9.3,5.2,2.134,0.167,1.39,1.15,1.45
980407,981590,33.9,26.3,24,9.2,4.5,1.671,0.156,1.42,1.19,1.52
980407,981595,37,18.4,26.2,10.4,5.1,2.356,0.141,1.41,1.18,1.51
980408,981600,36.9,24.4,23,8.7,4.6,1.927,0.132,1.61,1.34,1.65
980408,981605,36,24.2,23.7,8.9,4.6,2.077,0.147,1.52,1.27,1.58
980408,981610,35.1,22.4,25.4,9.8,4.8,2.019,0.139,1.38,1.16,1.49
980408,981615,34.5,22.9,27.2,8.3,5,1.545,0.15,1.27,1.07,1.33
980409,981620,34.1,24.9,24.8,9.4,4.6,1.696,0.181,1.38,1.16,1.48
980409,981625,31.6,30.5,23.7,8.1,4.4,1.191,0.149,1.33,1.12,1.41
980409,981630,31.6,30.6,23.8,8.1,4.3,1.213,0.146,1.33,1.12,1.41
980410,981635,36.5,21.8,24.9,9.3,5,1.905,0.188,1.47,1.22,1.53
980410,981640,32.6,29.1,22.1,10.1,4.2,1.361,0.141,1.48,1.24,1.63
980410,981645,37.3,21.1,23.1,11.7,4.4,1.861,0.161,1.61,1.36,1.78
980411,981650,26.6,26.4,20.4,21.2,3.5,1.386,0.212,1.3,1.11,1.99
980411,981655,34.6,28.1,21.7,9.5,4.2,1.44,0.152,1.6,1.34,1.71
980411,981660,28.4,26.8,22.9,15.7,4.2,1.391,0.287,1.24,1.05,1.63
980411,981665,32.3,30.7,22.7,8.2,4.3,1.32,0.167,1.42,1.19,1.5
980412,981670,36.5,20.4,25.9,9.9,5,1.814,0.135,1.41,1.18,1.5
980412,981675,34.5,24,25.1,9.3,4.7,1.961,0.182,1.37,1.15,1.46
980412,981680,32.9,28.8,22.4,9.6,4.3,1.43,0.161,1.47,1.23,1.59
980413,981685,34.6,24,25.4,9.3,4.6,1.618,0.158,1.36,1.15,1.46
980413,981690,34.8,25.7,23.9,9,4.6,1.567,0.147,1.46,1.22,1.54
980413,981695,32.6,27.9,24.3,8.8,4.5,1.438,0.13,1.34,1.13,1.44
980415,981700,34.3,27.4,22.6,9.6,4.3,1.354,0.165,1.51,1.27,1.63
980415,981705,33.5,28.4,23.1,8.7,4.4,1.507,0.134,1.45,1.22,1.53
980415,981710,32.6,26.3,21.8,12.8,4.3,1.743,0.137,1.49,1.25,1.74
980415,981715,32,26.4,21.8,13.3,4.2,1.804,0.147,1.47,1.23,1.74
980415,981720,34.2,25.1,23.5,10.1,4.8,1.937,0.148,1.46,1.21,1.57
980416,981725,31.9,29.2,23.1,9.5,4.4,1.332,0.237,1.38,1.16,1.5
980416,981730,27.5,32,22.4,12.5,4,1.207,0.172,1.23,1.04,1.52
980416,981735,35.2,24.7,23.2,9.9,4.7,1.943,0.132,1.52,1.26,1.62
980416,981740,32.5,30.6,22.1,8.5,4.2,1.614,0.138,1.47,1.23,1.56
980417,981745,34.8,28,22.1,8.6,4.5,1.509,0.168,1.57,1.31,1.63
980417,981750,32.5,28.4,21.2,11.7,4.2,1.516,0.134,1.53,1.28,1.74
980417,981755,32.6,24.4,22.8,13.6,4.3,1.748,0.184,1.43,1.2,1.7
980418,981765,32.9,29.4,22.2,9.3,4.4,1.393,0.143,1.48,1.24,1.59
980419,981775,36.8,25.7,22.2,8.7,4.6,1.341,0.445,1.66,1.37,1.7
980419,981780,35.9,23.9,23.7,9.3,4.8,1.954,0.132,1.52,1.26,1.59
980419,981785,36.4,28.3,21.1,7.8,4.3,1.635,0.118,1.72,1.43,1.74
980420,981790,36.2,23.5,23.5,9.6,4.7,2.025,0.189,1.54,1.28,1.62
980420,981795,37.9,24,22.1,9,4.6,2.005,0.134,1.71,1.42,1.76
980420,981800,38.6,24.9,21.2,8.6,4.4,1.749,0.114,1.82,1.51,1.84
980422,981805,44.1,16.5,22.3,8.9,5,2.772,0.092,1.98,1.61,1.94
980422,981810,40.6,24,20,8.9,4.3,1.821,0.113,2.02,1.66,2.03
980422,981815,39.6,18.7,24.1,9.9,5.1,2.287,0.115,1.65,1.36,1.7
980422,981820,37.6,21,24.4,9.8,4.8,1.989,0.187,1.54,1.29,1.62
980422,981825,42.2,12.3,26.4,10.7,5.4,2.677,0.104,1.6,1.33,1.66
980422,981830,37.6,22,23.3,10,4.8,1.664,0.431,1.61,1.34,1.69
980422,981835,39.2,20.9,23,9.5,4.9,2.166,0.104,1.71,1.41,1.75
980422,981840,36.7,23.5,23.4,9.3,4.7,2.106,0.132,1.57,1.31,1.64
980423,981850,35.9,21.7,24.9,9.9,4.7,2.289,0.2,1.44,1.21,1.54
980424,981855,35.5,25.5,22.4,9.7,4.6,1.916,0.147,1.58,1.31,1.67
980424,981860,34.8,25.4,23.2,9.9,4.5,1.75,0.127,1.5,1.26,1.61
980424,981865,36.7,19.1,25.8,10.8,5.1,2.096,0.115,1.42,1.19,1.54
980425,981870,38.5,16.6,26.3,10.9,5.2,2.14,0.121,1.46,1.22,1.57
980425,981875,38,19.4,24,11,4.9,2.327,0.119,1.58,1.32,1.7
980425,981880,39.5,18.6,22.7,11.4,4.8,2.549,0.112,1.74,1.43,1.85
980426,981885,37.3,20.7,25.3,9.3,5,1.665,0.475,1.48,1.23,1.54
980426,981890,34.2,27.3,22.3,9.6,4.4,1.778,0.134,1.54,1.28,1.64
980426,981895,38.1,20.5,23.7,9.9,4.7,2.586,0.14,1.61,1.34,1.69
980427,981900,37.7,19.3,24.6,10.7,4.9,2.418,0.121,1.53,1.28,1.64
980427,981905,37.1,21.2,24.1,10.2,4.7,2.31,0.119,1.54,1.29,1.64
980427,981910,33.1,29.1,22.4,9.2,4.4,1.35,0.111,1.48,1.24,1.58
980427,981915,34.7,26.8,22.3,9.7,4.4,1.616,0.106,1.56,1.3,1.66
980429,981920,33.5,25.1,25,9.4,4.8,1.824,0.126,1.34,1.13,1.44
980429,981925,38.4,17.5,25.2,10.9,5.1,2.42,0.145,1.52,1.27,1.63
980429,981930,38.6,18.9,24.1,10.8,4.9,2.244,0.102,1.6,1.33,1.7
980429,981935,35.2,24.2,23.8,10,4.6,1.695,0.123,1.48,1.24,1.59
980429,981940,35.5,26.8,22.3,9,4.5,1.583,0.106,1.59,1.33,1.66
980429,981945,34.1,26.5,22.6,10.3,4.4,1.673,0.111,1.51,1.26,1.64
980429,981950,35.5,23.9,23.7,9.8,4.7,1.909,0.095,1.5,1.25,1.59
980430,981955,34.7,24.2,24.5,9.8,4.7,1.629,0.139,1.42,1.19,1.53
980430,981960,31.8,28.3,23.8,9.7,4.5,1.479,0.144,1.34,1.12,1.47
980430,981965,36.6,19.5,25.6,10.7,5.1,2.028,0.178,1.43,1.19,1.54
980431,981970,37.9,22.8,23.4,9.1,4.8,1.729,0.091,1.62,1.34,1.67
980431,981975,37,18.8,25.9,10.7,5.1,2.226,0.094,1.43,1.2,1.54
980431,981980,32.5,26.9,24.1,9.9,4.7,1.52,0.099,1.35,1.13,1.47
980431,981985,34,23.8,24.5,10.5,4.7,2.07,0.098,1.39,1.16,1.52
980501,981990,35.7,22.7,24.3,10.4,4.7,1.771,0.193,1.47,1.23,1.59
980501,981995,33.1,29.1,22.4,9.7,4.2,1.127,0.114,1.47,1.24,1.6
980501,982000,34.1,24.4,24.6,10.3,4.6,1.583,0.095,1.39,1.17,1.52
980503,982010,37.2,23.3,22.5,9.4,5.3,1.313,0.599,1.65,1.34,1.67
980503,982015,33.2,26.3,23.3,10.6,4.5,1.659,0.12,1.43,1.2,1.58
980503,982020,36.7,20.5,24.6,10.8,4.9,2.124,0.108,1.49,1.25,1.61
980505,982025,39.4,16.7,25.1,10.8,5.1,2.524,0.108,1.57,1.3,1.66
980505,982030,34.1,26.1,24.1,9.1,4.6,1.651,0.122,1.42,1.19,1.51
980505,982040,37.4,18.3,25.6,10.7,5.1,2.619,0.115,1.46,1.22,1.57
980505,982045,38.3,16.7,25.9,11,5.2,2.535,0.105,1.48,1.23,1.59
980505,982050,39,16.6,25.5,10.8,5,2.577,0.102,1.53,1.28,1.63
980505,982055,40.6,14.4,25.7,11.1,5.1,2.635,0.112,1.58,1.32,1.68
980505,982060,40.3,19.5,23.1,9.4,4.9,2.429,0.104,1.74,1.44,1.77
980506,982065,40.6,14.7,25.2,11.2,5.3,2.384,0.278,1.61,1.33,1.7
980506,982070,39.1,14.7,27,10.8,5.5,2.402,0.116,1.45,1.2,1.53
980506,982075,37.4,19.9,25.4,9.9,4.8,2.219,0.162,1.47,1.24,1.57
980506,982080,37.6,22,23.8,9.3,4.6,2.185,0.128,1.58,1.32,1.65
980507,982085,38.4,20.8,23.7,9.6,4.7,2.351,0.142,1.62,1.35,1.69
980507,982090,35.9,21.5,24.7,10.7,4.6,2.125,0.127,1.45,1.23,1.59
980507,982095,35.3,22.3,25.3,10.1,4.7,1.873,0.115,1.39,1.17,1.51
980508,982100,37.5,26.5,21.3,8.9,4,1.35,0.095,1.76,1.48,1.83
980508,982105,34.9,23.3,25.2,9.7,4.6,1.748,0.164,1.39,1.17,1.5
980509,982110,30.8,32.6,22.2,8.9,4.1,1.03,0.169,1.38,1.17,1.51
980509,982115,31.7,32.9,21.3,9,3.8,0.974,0.15,1.49,1.27,1.63
980509,982120,37,24.5,22.1,10.2,4.3,1.54,0.106,1.67,1.4,1.79
980509,982125,38.3,18.2,25.3,10.6,4.9,2.164,0.167,1.51,1.27,1.62
980510,982130,31.2,30.1,23.9,8.8,4.3,1.231,0.167,1.31,1.11,1.42
980510,982135,35.9,26,22.7,9.2,4.3,1.534,0.108,1.58,1.33,1.67
980510,982140,41.2,19.2,18.8,15,3.8,1.612,0.086,2.19,1.83,2.49
