tar,heat_no,cao,feo,sio2,mgo,al2o3,p2o5,mno,b2,b3,b4
970402,971200,34.6,25.5,22.9,11.6,4,0.935,0.154,1.51,0,1.71
970402,971205,22.6,46.5,16.8,10.3,2.8,0.608,0.189,1.35,0,1.68
970402,971210,31.2,29.3,21.2,12.6,3.8,0.647,1.152,1.47,0,1.75
970403,971215,33.3,30.1,20,12,3.6,0.688,0.161,1.66,0,1.92
970403,971220,27.3,38.2,19.4,11,3.5,0.087,0.371,1.4,0,1.67
970403,971225,31.5,29.1,21.1,13.1,3.7,1.053,0.168,1.49,0,1.79
970404,971230,28.4,33.6,21.5,12,3.3,0.741,0.248,1.32,0,1.63
970404,971235,30.1,35.8,20.8,9.1,3.4,0.5,0.177,1.44,0,1.62
970405,971240,27.5,32,22.8,12.7,3.8,0.617,0.383,1.2,0,1.51
970405,971245,29.9,32,21.5,11.9,3.8,0.583,0.213,1.39,0,1.65
970406,971250,34.6,32.7,19.1,9,3.6,0.121,0.535,1.81,0,1.92
970406,971255,33.3,28.9,21.8,10.7,4,0.957,0.169,1.53,0,1.71
970406,971260,33.2,34.5,19.2,8.6,3.5,0.488,0.151,1.73,0,1.84
970406,971265,36.1,32.1,19.6,7.8,3.3,0.691,0.139,1.84,0,1.91
970407,971270,37.4,32.1,18.2,7.8,3.4,0.632,0.147,2.06,0,2.1
970407,971275,31.6,33.7,17.4,13.2,3,0.598,0.135,1.81,0,2.2
970407,971280,30.2,29.4,21.3,14.2,3.4,1.099,0.155,1.42,0,1.8
970409,971285,35.5,33.4,17.3,8.3,4.2,0.429,0.734,2.05,0,2.04
970409,971290,32.9,33,20.2,9.2,3.7,0.555,0.27,1.63,0,1.76
970409,971295,29.5,39,19,8.8,3.2,0.32,0.114,1.55,0,1.73
970409,971300,30.3,36.6,20.5,8.5,3.4,0.553,0.098,1.48,0,1.62
970409,971305,29.7,39.9,17.1,9.7,3,0.264,0.132,1.74,0,1.96
970410,971310,26,37.5,21.2,10.1,3.7,0.724,0.742,1.23,0,1.45
970410,971315,29.3,32.8,19.6,14.1,3.2,0.79,0.117,1.5,0,1.91
970410,971320,26.4,42.4,18.3,8.8,2.8,0.814,0.41,1.45,0,1.67
970411,971330,33.1,36.2,18.1,8.7,3.1,0.361,0.19,1.83,0,1.97
970411,971335,32.9,36.8,15.9,10.4,2.8,0.292,0.52,2.07,0,2.32
970412,971340,28.5,33.9,18.3,15.4,2.9,0.577,0.144,1.56,0,2.07
970412,971345,27,37.4,20,11.2,3.7,0.221,0.183,1.35,0,1.61
970412,971350,33,27.3,21.4,12.7,4,1.128,0.174,1.54,0,1.79
970413,971355,35.4,31.1,18.5,10.2,3.7,0.612,0.141,1.91,0,2.05
970413,971360,36.6,22.1,22.1,12.6,4.7,1.39,0.16,1.66,0,1.84
970414,971365,32.2,31.8,20.7,10.1,4,0.739,0.158,1.56,0,1.72
970414,971370,30.7,31.9,19,13.7,3.7,0.573,0.15,1.62,0,1.96
970414,971375,28,37.2,20.5,9.8,3.7,0.341,0.179,1.37,0,1.56
970414,971380,31.7,23.3,25,13.3,4.8,1.4,0.21,1.27,0,1.51
970416,971385,29.1,31.7,22.5,11.7,4.1,0.532,0.184,1.29,0,1.53
970416,971391,33.8,23.7,24.4,12.2,4.5,0.962,0.157,1.38,0,1.59
970416,971395,31.8,29.4,22,11.6,4,0.71,0.159,1.44,0,1.67
970416,971400,37,28,17.8,12.2,3.5,1.087,0.134,2.08,0,2.31
970416,971405,35.5,31.8,18.4,9.4,3.5,0.938,0.123,1.93,0,2.05
970416,971410,26.2,30.3,23.5,14.1,4.8,0.377,0.382,1.12,0,1.43
970416,971415,30.6,29.8,19.7,14.3,4.5,0.296,0.473,1.55,0,1.85
970417,971420,36,27.4,18.6,13.3,3.6,0.96,0.202,1.94,0,2.22
970418,971430,32.6,32.5,20.6,9.6,3.5,0.831,0.135,1.59,0,1.75
970418,971435,32.5,27.3,21.9,12.9,3.9,0.395,0.849,1.49,0,1.76
970419,971441,33.3,24.7,23.4,12.7,4.5,0.923,0.16,1.43,0,1.65
970419,971445,27.2,36,19.5,12.7,3.9,0.154,0.191,1.39,0,1.7
