sample_no,sampling_d,tar,c,s,humidity,ash,s05,s05_335,s335,factory,trailer,time_1,location
Graphite00-285,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-286,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-287,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-288,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-289,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-290,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-291,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-292,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-293,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-294,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-295,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-296,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-297,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-298,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-299,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-300,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-301,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-302,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-303,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-304,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-305,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-306,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-307,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-308,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-309,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-310,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-311,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-312,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-313,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-314,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-315,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-316,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-317,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-318,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-319,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-320,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-321,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-322,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-323,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-324,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-325,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-326,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-327,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-328,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-329,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-330,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-331,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-332,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-333,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-334,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-335,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-336,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-337,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-338,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-339,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-340,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-341,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-342,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-343,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-344,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-345,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-346,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-347,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-348,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-349,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-350,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-351,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-352,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-353,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-354,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-355,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-356,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-357,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-358,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-359,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-360,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-361,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-362,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-363,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-364,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-365,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-366,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-367,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-368,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-369,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-370,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-371,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-372,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-373,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-374,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-375,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-376,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-377,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-378,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-379,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-380,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-381,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-382,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-383,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-384,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-385,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-386,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-387,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-388,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-389,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-390,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-391,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-392,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-393,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-394,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-395,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-396,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-397,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-398,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-399,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-400,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-401,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-402,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-403,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-404,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-405,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-406,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-407,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-408,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-409,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-410,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-411,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-412,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-413,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-414,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-415,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-416,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-417,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-418,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-419,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-420,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-421,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-422,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-423,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-424,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-425,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-426,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-427,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-428,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-429,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-430,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-431,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-432,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-433,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-434,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-435,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-436,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-437,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-438,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-439,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-440,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-441,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-442,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-443,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-444,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-445,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-446,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-447,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-448,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-449,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-450,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-451,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-452,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-453,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-454,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-455,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-456,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-457,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-458,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-459,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-460,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-461,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-462,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-463,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-464,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-465,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-466,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-467,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-468,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-469,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-470,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-471,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-472,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-473,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-474,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-475,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-476,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-477,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-478,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-479,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-480,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-481,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-482,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-483,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-484,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-485,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-486,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-487,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-488,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-489,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-490,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-491,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-492,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-493,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-494,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-495,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-496,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-497,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-498,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-499,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-500,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-501,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-502,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-503,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-504,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-505,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-506,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-507,,0,0,0,0,0,0,0,0,,,  /  /,
Graphite00-508,,0,0,0,0,0,0,0,0,,,  /  /,
