sample_no,tar,cao,mgo,s0_5,s5_335,s335,s0_95,s95_508,s508,factory
LIM99-04-ARD,990103,87.8,1.2,0,0,0,0,0,0,Hamyaran
LIM99-10-ARD,990104,95.4,1.2,2.8,1.4,4.3,9.3,7.9,74.3,Hamyaran
LIM99-15-ARD,990105,94.5,1.2,0,0,0,0,0,0,Hamyaran
LIM99-17-ARD,990106,94,1.6,2.2,5.7,7.1,10,7.1,67.9,Hamyaran
LIM99-18-ARD,990106,92.2,2,0,0,0,0,0,0,Hamyaran
LIM99-21-ARD,990107,93.5,1.6,0.7,1.4,3.6,7.9,6.4,80,Hamyaran
LIM99-26-ARD,990108,96.2,1.2,0,0,0,0,0,0,Hamyaran
LIM99-32-ARD,990109,92.3,1.6,1.4,2.9,5,8.6,5.7,76.4,Hamyaran
LIM99-43-S-ARD,990113,95.6,0.8,0,0,0,0,0,0,Hamyaran
LIM99-54-ARD,990116,95.6,1.6,2.9,2.9,5,7.1,5.7,76.4,Hamyaran
LIM99-56-ARD,990117,94.6,0.8,1.4,3.6,7.1,17.9,12.9,57.1,Hamyaran
LIM99-57-ARD,990118,88.6,1.2,1.4,2.1,8.6,20.7,12.9,54.3,Hamyaran
LIM99-58-ARD,990118,89.9,1.2,0,0,0,0,0,0,Hamyaran
LIM99-65-ARD,990123,88.7,1.6,2.1,1.4,7.9,10.7,8.6,69.3,Hamyaran
LIM99-67-ARD,990124,93.6,1.2,0.7,0.7,1.5,5,5,87.1,Hamyaran
LIM99-70-ARD,990125,93.9,1.2,2.8,4.3,8.6,13.6,8.6,62.1,Hamyaran
LIM99-72-ARD,990126,96.7,0.8,0,0,0,0,0,0,Ardakan-Sarafraz
LIM99-73-ARD,990127,93,1.2,0,0,0,0,0,0,Hamyaran
LIM99-75-ARD,990128,94.4,1.2,2.2,1.4,2.1,4.3,14.3,75.7,Hamyaran
LIM99-78-ARD,990129,91.1,0.8,0,0,0,0,0,0,Hamyaran
LIM99-79-ARD,990130,95.2,0.8,1.5,2.1,5,9.3,10,72.1,Hamyaran
LIM99-82-ARD,990131,89.9,1.6,2.1,2.9,9.3,10,6.4,69.3,Hamyaran
LIM99-84-ARD,990206,90.9,1.2,3.6,5,5.7,8.6,5.7,71.4,Hamyaran
LIM99-85-ARD,990207,94.8,1.6,0,0,0,0,0,0,Hamyaran
LIM99-86-ARD,990207,92.9,1.6,1.5,0,0.7,5,6.4,86.4,Hamyaran
LIM99-87-S-ARD,990209,94.4,0.8,2.3,1.4,2.1,10.7,11.4,72.1,Hamyaran
LIM99-88-ARD,990209,92.4,1.6,0,1.5,7.1,15,9.3,67.1,Hamyaran
LIM99-89-ARD,990210,91.9,1.2,1.4,2.1,5,8.6,7.9,75,Hamyaran
LIM99-92-ARD,990211,93.7,1.6,1.4,1.4,5.7,14.3,12.9,64.3,Hamyaran
LIM99-93-ARD,990212,94.1,1.6,0,0,0,0,0,0,Hamyaran
LIM99-94-ARD,990213,94,1.2,2.1,2.1,3.6,13.6,8.6,70,Hamyaran
LIM99-95-ARD,990214,95.1,0.8,0,0,0,0,0,0,Hamyaran
LIM99-96-ARD,990215,95.6,1.2,0,0,0,0,0,0,Hamyaran
LIM99-97-ARD,990216,94.9,0.8,3.5,2.9,8.6,13.6,11.4,60,Hamyaran
LIM99-98-ARD,990217,93.1,0.8,0,0,0,0,0,0,Hamyaran
LIM99-100-ARD,990218,94.3,0.8,0,0,0,0,0,0,Hamyaran
LIM99-101-ARD,990218,94.8,0.8,1.5,1.4,7.1,12.1,10,67.9,Hamyaran
LIM99-105-ARD,990220,94.1,1.2,2.2,2.1,3.6,6.4,5,80.7,Hamyaran
LIM99-106-ARD,990220,92.7,1.2,0,0,0,0,0,0,Hamyaran
LIM99-107-S-ARD,990220,94.7,0.8,0.7,1.4,3.6,8.6,5,80.7,Hamyaran
LIM99-108-ARD,990221,90.7,1.6,3.5,2.9,5.7,8.6,5,74.3,Hamyaran
LIM99-112-ARD,990221,92.2,0.8,3.5,2.9,5.7,8.6,5,74.3,Hamyaran
LIM99-113-ARD,990222,91.9,1.2,3.7,1.4,5,5.7,7.1,77.1,Hamyaran
LIM99-116-ARD,990222,91.9,1.2,1.4,3.6,7.1,10.7,8.6,68.6,Hamyaran
LIM99-117-ARD,990223,93.5,1.6,2.1,4.3,5.7,7.9,5,75,Hamyaran
LIM99-118-ARD,990223,92,1.2,0,0,0,0,0,0,Hamyaran
LIM99-125-ARD,990224,86.5,1.2,2.2,9.3,11.4,12.1,7.9,57.1,Hamyaran
LIM99-127-ARD,990225,94.5,1.6,2.1,5,10,13.6,10.7,58.6,Hamyaran
LIM99-129-ARD,990225,94.8,1.6,0.7,1.4,4.6,6.9,6.3,80.1,Hamyaran
LIM99-130-ARD,990227,90.3,0.8,1.4,2.9,8.6,15,7.1,65,Hamyaran
LIM99-131-ARD,990227,89.1,0.8,0,0,0,0,0,0,Hamyaran
LIM99-132-ARD,990227,89.3,0.8,0,0,0,0,0,0,Hamyaran
LIM99-137-ARD,990228,90.9,0.8,0,1.5,5.7,17.1,13.6,62.1,Hamyaran
LIM99-138-ARD,990228,87.8,0.8,0,0,0,0,0,0,Hamyaran
LIM99-139-ARD,990229,94.7,0.8,0,0,0,0,0,0,Hamyaran
LIM99-140-ARD,990229,90.1,1.2,2,3.6,7.9,12.9,5.7,67.9,Hamyaran
LIM99-142-ARD,990230,91.2,1.6,0.7,0.7,1.4,2.9,5.7,88.6,Hamyaran
LIM99-144-ARD,990230,89.8,0.8,0,0,0,0,0,0,Hamyaran
LIM99-151-ARD,990231,94.1,1.6,3.5,5,11.4,18.6,12.9,48.6,Hamyaran
LIM99-161-ARD,990303,92.2,1.2,2.1,9.3,11.4,12.1,7.9,57.2,Hamyaran
LIM99-162-ARD,990303,91.4,0.8,0,0,0,0,0,0,Hamyaran
LIM99-171-ARD,990305,85.5,1.2,2.1,2.9,7.9,15,8.6,63.6,Hamyaran
LIM99-172-ARD,990305,86.8,1.2,0,0,0,0,0,0,Hamyaran
LIM99-173-ARD,990306,89.1,1.6,2.1,4.3,9.3,20.7,7.9,55.7,Hamyaran
LIM99-177-ARD,990307,94.7,1.2,2.8,1.4,2.9,9.3,7.9,75.7,Hamyaran
LIM99-184-ARD,990308,91.3,1.2,2.8,5.9,7.9,11.4,9.1,62.9,Hamyaran
LIM99-189-ARD,990310,90.9,1.2,2.1,0.7,3.6,8.6,6.4,78.6,Hamyaran
LIM99-193-ARD,990311,94.7,1.6,2.1,2.1,3.6,9.3,8.6,74.3,Hamyaran
LIM99-194-ARD,990312,91.8,0.8,2.9,1.4,5,10.7,10,70,Hamyaran
LIM99-198-ARD,990312,95.6,1.2,2.8,4.3,5,12.1,7.9,67.9,Hamyaran
LIM99-199-ARD,990313,91.6,1.6,0,0,0,0,0,0,Hamyaran
LIM99-202-ARD,990313,94.4,1.2,0,0,0,0,0,0,Hamyaran
LIM99-210-ARD,990315,94.3,1.2,3.6,2.9,5.7,8.6,7.1,72.1,Hamyaran
LIM99-217-ARD,990317,91.5,2,5,6.4,7.9,11.4,7.9,61.4,Hamyaran
LIM99-218-ARD,990317,95.3,1.2,0,0,0,0,0,0,Hamyaran
LIM99-226-ARD,990318,77.3,1.2,21.4,22.1,14.3,12.9,5,24.3,Hamyaran
LIM99-227-ARD,990318,95.2,1.6,0,0,0,0,0,0,Hamyaran
LIM99-233-ARD,990319,93.4,2,0,0.7,3.6,10.7,6.4,78.6,Hamyaran
LIM99-05-S-ARD,990103,95,0.8,0.7,1.4,3.6,11.4,8.6,74.3,Ardakan-Sarafraz
LIM99-11-S-ARD,990104,94.3,1.6,0,0,0,0,0,0,Ardakan-Sarafraz
LIM99-13-S-ARD,990105,92.8,0.8,0.7,0,1.4,2.1,2.9,92.9,Ardakan-Sarafraz
LIM99-22-S-ARD,990107,93.8,0.8,0.7,1.4,2.9,5,3.6,86.4,Ardakan-Sarafraz
LIM99-28-S-ARD,990108,94.9,1.6,0,0,0,0,0,0,Ardakan-Sarafraz
LIM99-31-S-ARD,990109,94.7,0.8,0.7,3.6,3.6,5,5.7,81.4,Ardakan-Sarafraz
LIM99-36-S-ARD,990111,91.5,1.2,0.6,0.7,2.9,13.6,9.3,72.9,Ardakan-Sarafraz
LIM99-46-S-ARD,990114,96.3,1.6,0.7,0.7,0.7,3.6,5,89.3,Ardakan-Sarafraz
LIM99-53-S-ARD,990116,95.5,1.6,0,0,0,0,0,0,Ardakan-Sarafraz
LIM99-60-S-ARD,990118,93,0.8,0.7,0.7,3.6,7.9,5.7,81.4,Ardakan-Sarafraz
LIM99-63-S-ARD,990119,94,1.2,1.4,3.6,4.3,7.9,7.1,75.7,Ardakan-Sarafraz
LIM99-64-S-ARD,990120,93.3,1.2,0,0,0,0,0,0,Ardakan-Sarafraz
LIM99-66-S-ARD,990123,92.5,0.8,0,0,0,0,0,0,Ardakan-Sarafraz
LIM99-68-S-ARD,990124,92.9,2,0.7,0,1.4,5,3.6,89.3,Ardakan-Sarafraz
LIM99-69-S-ARD,990125,92.5,0.8,0,0,0,0,0,0,Ardakan-Sarafraz
LIM99-71-S-ARD,990126,94.4,1.2,0,0,0,0,0,0,Ardakan-Sarafraz
LIM99-74-S-ARD,990127,94.2,1.2,2.1,2.9,6.4,12.9,10.7,65,Ardakan-Sarafraz
LIM99-76-S-ARD,990128,92.8,1.2,1.5,0.7,1.4,5.7,5.7,85,Ardakan-Sarafraz
LIM99-77-S-ARD,990129,92.8,1.2,0,0,0,0,0,0,Ardakan-Sarafraz
LIM99-80-S-ARD,990130,93.5,0.8,0,0,0,0,0,0,Ardakan-Sarafraz
LIM99-81-S-ARD,990131,94.4,0.8,0.7,1.4,5,14.3,10.7,67.9,Ardakan-Sarafraz
LIM99-90-S-ARD,990210,93.4,0.8,0.7,0.8,2.1,12.1,10,74.3,Ardakan-Sarafraz
LIM99-91-S-ARD,990211,95,0.8,0,0,0,0,0,0,Ardakan-Sarafraz
LIM99-99-S-ARD,990217,95.4,1.2,1.5,0.7,2.9,7.1,6.4,81.4,Ardakan-Sarafraz
LIM99-102-S-ARD,990218,95.2,1.2,2.2,0,2.1,5.7,7.9,82.1,Ardakan-Sarafraz
LIM99-103-S-ARD,990218,95.6,1.2,0.8,0.7,2.1,7.9,6.4,82.1,Ardakan-Sarafraz
LIM99-104-S-ARD,990218,91.9,2,0,0,0,0,0,0,Ardakan-Sarafraz
LIM99-109-S-ARD,990221,94.6,1.2,1.3,2.9,4.3,8.6,5,77.9,Ardakan-Sarafraz
LIM99-110-S-ARD,990221,93.9,1.2,0,0,0,0,0,0,Ardakan-Sarafraz
LIM99-111-S-ARD,990221,95.6,0.8,0,0,0,0,0,0,Ardakan-Sarafraz
LIM99-114-S-ARD,990222,92.4,0.8,3.6,5,2.9,7.1,7.1,74.3,Ardakan-Sarafraz
LIM99-115-S-ARD,990222,96,0.8,0,0,0,0,0,0,Ardakan-Sarafraz
LIM99-119-S-ARD,990223,95,0.8,0,4.3,7.1,19.3,10.7,58.6,Ardakan-Sarafraz
LIM99-120-S-ARD,990223,93.8,1.2,0,0,0,0,0,0,Ardakan-Sarafraz
LIM99-122-S-ARD,990224,93.9,0.8,2.1,1.4,7.1,17.1,12.1,60.2,Ardakan-Sarafraz
LIM99-123-S-ARD,990224,93.1,1.2,0,0,0,0,0,0,Ardakan-Sarafraz
LIM99-124-S-ARD,990224,95.6,0.8,4.4,0.7,2.1,6.4,5,81.4,Ardakan-Sarafraz
LIM99-126-S-ARD,990224,95,1.2,4.3,0.8,2.1,6.4,5,81.4,Ardakan-Sarafraz
LIM99-128-S-ARD,990225,93.5,1.2,0.7,0.8,3.7,5.1,3.5,86.2,Ardakan-Sarafraz
LIM99-133-S-ARD,990227,94.3,0.8,2.2,1.4,4.3,7.1,5.7,79.3,Ardakan-Sarafraz
LIM99-134-S-ARD,990227,93.6,1.2,0,0,0,0,0,0,Ardakan-Sarafraz
LIM99-135-S-ARD,990228,94.5,0.8,1.5,1.4,2.1,6.4,5.7,82.9,Ardakan-Sarafraz
LIM99-136-S-ARD,990228,95.8,0.8,0,0,0,0,0,0,Ardakan-Sarafraz
LIM99-145-S-ARD,990230,92.6,2,0.8,1.4,7.1,30.7,12.1,47.9,Ardakan-Sarafraz
LIM99-146-S-ARD,990230,91.7,2,0,0,0,0,0,0,Ardakan-Sarafraz
LIM99-147-S-ARD,990230,90.1,2.4,0,0,0,0,0,0,Ardakan-Sarafraz
LIM99-148-S-ARD,990231,93.6,1.2,2.2,0,2.1,10.7,11.4,73.6,Ardakan-Sarafraz
LIM99-149-S-ARD,990231,92.8,2,1.4,0,2.9,10,10,75.7,Ardakan-Sarafraz
LIM99-150-S-ARD,990231,92.9,1.6,0,0,0,0,0,0,Ardakan-Sarafraz
LIM99-153-S-ARD,990301,95.5,0.8,1.4,2.3,2.9,7.7,6.6,79.1,Ardakan-Sarafraz
LIM99-154-FRM,990301,96.5,0.8,1.5,2.1,4.3,6.4,6.4,79.3,Ardakan-Sarafraz
LIM99-155- ARD,990301,95,1.6,0.7,1.4,5.7,8.6,8.6,75,Ardakan-Sarafraz
LIM99-157-S-ARD,990302,90.7,2.4,1.4,1.4,4.3,7.9,5,80,Ardakan-Sarafraz
LIM99-158-S-ARD,990302,91.8,2.4,0,0,0,0,0,0,Ardakan-Sarafraz
LIM99-159-S-ARD,990302,90.6,2.4,0,0,0,0,0,0,Ardakan-Sarafraz
LIM99-163-S-ARD,990303,91.7,2.4,1.4,1.4,4.3,7.9,5,80,Ardakan-Sarafraz
LIM99-164-S-ARD,990303,90.9,2.4,0,0,0,0,0,0,Ardakan-Sarafraz
LIM99-166-S-ARD,990303,91.2,1.6,1.4,0.7,5,17.1,11.4,64.4,Ardakan-Sarafraz
LIM99-167-S-ARD,990304,89.6,1.2,0,0,0,0,0,0,Ardakan-Sarafraz
LIM99-168-S-ARD,990305,94.6,0.8,2.1,0.7,3.6,6.4,7.9,79.3,Ardakan-Sarafraz
LIM99-170-S-ARD,990305,91,2,2.1,0.7,3.6,6.4,7.9,79.3,Ardakan-Sarafraz
LIM99-174-S-ARD,990306,93.8,1.2,0.7,0.7,9.3,24.3,13.6,51.4,Ardakan-Sarafraz
LIM99-178-S-ARD,990307,91.3,1.6,2.3,0.7,2.1,10.7,7.1,77.1,Ardakan-Sarafraz
LIM99-179-S-ARD,990307,89.6,1.6,0,0,0,0,0,0,Ardakan-Sarafraz
LIM99-182-S-ARD,990308,93.1,2.4,2.8,2.9,5.7,15,10.7,62.9,Ardakan-Sarafraz
LIM99-183-S-ARD,990308,92.6,2,0,0,0,0,0,0,Ardakan-Sarafraz
LIM99-185-S-ARD,990309,95.5,0.8,2.1,0,5,15,10,67.9,Ardakan-Sarafraz
LIM99-186-S-ARD,990309,95.6,1.2,0,0,0,0,0,0,Ardakan-Sarafraz
LIM99-188-S-ARD,990310,95.9,0.8,1.4,0.7,2.9,7.9,6.4,80.7,Ardakan-Sarafraz
LIM99-190-S-ARD,990310,93.8,1.6,1.4,0,2.9,15.7,11.4,68.6,Ardakan-Sarafraz
LIM99-191-S-ARD,990311,94.4,1.6,1.4,0.7,2.9,6.4,5.7,82.9,Ardakan-Sarafraz
LIM99-192-S-ARD,990311,92.3,1.6,0,0,0,0,0,0,Ardakan-Sarafraz
LIM99-195-S-ARD,990312,94.2,1.2,1.4,0.7,2.1,7.9,7.2,80.7,Ardakan-Sarafraz
LIM99-196-S-ARD,990312,95.1,1.2,0,0,0,0,0,0,Ardakan-Sarafraz
LIM99-197-S-ARD,990312,93.3,1.6,0,0,0,0,0,0,Ardakan-Sarafraz
LIM99-200-S-ARD,990313,94.8,0.8,0,0,0,0,0,0,Ardakan-Sarafraz
LIM99-203-S-ARD,990313,93.4,1.2,1.4,1.4,3.6,7.9,5,80.7,Ardakan-Sarafraz
LIM99-204-S-ARD,990313,93.9,1.2,0,0,0,0,0,0,Ardakan-Sarafraz
LIM99-211-S-ARD,990315,92,3.2,2.1,0.7,4.3,15,14.3,63.6,Ardakan-Sarafraz
LIM99-212-S-ARD,990315,92.7,2.8,0,0,0,0,0,0,Ardakan-Sarafraz
LIM99-213-S-ARD,990315,92.3,3.2,0,0,0,0,0,0,Ardakan-Sarafraz
LIM99-214-S-ARD,990316,94.5,1.6,1.4,2.9,5.7,11.4,9.3,69.3,Ardakan-Sarafraz
LIM99-215-S-ARD,990316,91.9,3.6,0,0,0,0,0,0,Ardakan-Sarafraz
LIM99-216-S-ARD,990316,92.6,2.8,0,0,0,0,0,0,Ardakan-Sarafraz
LIM99-219-S-ARD,990317,92,4.8,2.8,0.7,5.7,17.9,13.6,59.3,Ardakan-Sarafraz
LIM99-220-S-ARD,990317,92.6,4.8,0,0,0,0,0,0,Ardakan-Sarafraz
LIM99-225-S-ARD,990318,93.4,0.8,0,0,0,0,0,0,Ardakan-Sarafraz
LIM99-229-S-ARD,990319,91,2.8,0.7,0.7,5,20,9.3,64.3,Ardakan-Sarafraz
LIM99-230-S-ARD,990319,91.3,1.6,0,0,0,0,0,0,Ardakan-Sarafraz
LIM99-231-S-ARD,990319,90.7,3.6,0,0,0,0,0,0,Ardakan-Sarafraz
LIM99-232-S-ARD,990319,91.3,1.6,0,0,0,0,0,0,Ardakan-Sarafraz
LIM99-242-S-ARD,990320,91.3,1.6,0,0,0,0,0,0,Ardakan-Sarafraz
LIM99-243-S-ARD,990320,86,2,0,0,0,0,0,0,Ardakan-Sarafraz
LIM99-244-S-ARD,990320,87.2,2,0,0,0,0,0,0,Ardakan-Sarafraz
LIM99-247-S-ARD,990321,93,1.2,0,0,0,0,0,0,Ardakan-Sarafraz
LIM99-248-S-ARD,990321,90.4,1.2,0,0,0,0,0,0,Ardakan-Sarafraz
LIM99-249-S-ARD,990321,91.2,1.6,0,0,0,0,0,0,Ardakan-Sarafraz
LIM99-01-TAB,990101,84.8,2,4.3,5.7,12.9,15.7,11.4,50,Tabas
LIM99-02-TAB,990102,90.5,2.8,2.8,7.9,17.1,27.9,14.3,30,Tabas
LIM99-07-TAB,990103,82.5,2,0,0,0,0,0,0,Tabas
LIM99-08-TAB,990103,89.8,1.6,0,0,0,0,0,0,Tabas
LIM99-12-TAB,990104,93.6,2.4,4.3,7.1,12.9,16.4,15.7,43.6,Tabas
LIM99-14-TAB,990105,83.5,1.6,0,0,0,0,0,0,Tabas
LIM99-19-TAB,990106,88.5,1.6,5.7,15.7,11.4,19.3,14.3,33.6,Tabas
LIM99-20-TAB,990106,89.1,2,0,0,0,0,0,0,Tabas
LIM99-23-TAB,990107,94.1,2.4,0,0,0,0,0,0,Tabas
LIM99-24-TAB,990107,90.9,2,0,0,0,0,0,0,Tabas
LIM99-27-TAB,990108,82.6,1.6,4.3,6.4,9.3,16.4,15,48.6,Tabas
LIM99-30-TAB,990108,83.4,2.4,0,0,0,0,0,0,Tabas
LIM99-33-TAB,990109,80.3,2.8,0,0,0,0,0,0,Tabas
LIM99-34-TAB,990109,85,1.2,0,0,0,0,0,0,Tabas
LIM99-35-TAB,990110,86,2.4,2.9,17.1,13.6,15,9.3,42.1,Tabas
LIM99-38-TAB,990111,77.8,2.4,0,0,0,0,0,0,Tabas
LIM99-39-TAB,990111,87.4,2.8,2.8,2.9,5.7,18.6,12.9,57.1,Tabas
LIM99-40-TAB,990112,79.9,2.4,1.6,0.7,2.1,7.1,6.4,82.1,Tabas
LIM99-41-TAB,990112,86.4,1.6,0,0,0,0,0,0,Tabas
LIM99-45-TAB,990114,88.5,2,0,0,0,0,0,0,Tabas
LIM99-49-TAB,990115,85.6,3.2,2.8,8.6,14.3,20.7,13.6,40,Tabas
LIM99-50-TAB,990116,82,2.4,0,0,0,0,0,0,Tabas
LIM99-51-TAB,990116,93.6,1.2,0,0,0,0,0,0,Tabas
LIM99-55-TAB,990117,91.3,2.4,0,0,0,0,0,0,Tabas
LIM99-59-TAB,990118,82.1,4.5,2.1,2.9,3.6,7.9,6.4,77.1,Tabas
LIM99-61-TAB,990118,89.9,2,0,0,0,0,0,0,Tabas
LIM99-62-TAB,990119,82.1,2.4,3.6,5.7,4.3,10.7,10,65.7,Tabas
LIM99-121-TAB,990224,90.5,1.6,2.2,5,9.3,11.4,5,67.1,Tabas
LIM99-06-FRM,990103,92.1,0.8,0.7,1.4,2.1,7.9,6.5,81.4,Fara Mobin
LIM99-09-FRM,990104,96.7,0.8,0,0,0,0,0,0,Fara Mobin
LIM99-16-FRM,990105,94.7,0.8,0.7,0,0.7,3.6,6.4,88.6,Fara Mobin
LIM99-25-FRM,990107,93.8,0.8,0,0,0,0,0,0,Fara Mobin
LIM99-29-FRM,990108,94.6,0.8,1.4,0.7,2.9,5.7,5,84.3,Fara Mobin
LIM99-37-FRM,990111,93.4,0.8,1.4,1.4,5,7.9,5,79.3,Fara Mobin
LIM99-42-FRM,990112,92.4,0.8,0,0,0,0,0,0,Fara Mobin
LIM99-44-TAB,990113,86.4,1.6,3.6,2.2,7.1,15.7,14.3,57.1,Fara Mobin
LIM99-47-FRM,990114,90.3,0.4,4.3,7.9,6.4,5.7,3.6,72.1,Fara Mobin
LIM99-48-FRM,990115,92.2,0.8,0,0,0,0,0,0,Fara Mobin
LIM99-52-FRM,990116,94.9,1.2,2.1,1.4,2.9,5,2.9,85.7,Fara Mobin
LIM99-83-FRM,990201,94.7,0.8,2.9,1.4,2.9,5.7,5.7,81.4,Fara Mobin
LIM99-141-FRM,990229,96.3,1.2,1.3,2.9,7.9,10,7.9,70,Fara Mobin
LIM99-143-FRM,990230,94.4,0.8,0,0,0.7,2.1,4.3,92.9,Fara Mobin
LIM99-152-FRM,990231,94.4,0.8,2.9,2.1,5.7,8.6,6.4,74.3,Fara Mobin
LIM99-156-FRM,990302,93,0.8,1.5,0.7,2.1,6.4,5,84.3,Fara Mobin
LIM99-160-FRM,990303,93.8,0.8,1.4,0.8,3.6,7.1,5.7,81.4,Fara Mobin
LIM99-165-FRM,990303,96.2,0.8,5,2.9,5,6.4,5,75.7,Fara Mobin
LIM99-169-FRM,990305,95.3,1.2,2.1,3.6,7.9,10.7,5.7,70,Fara Mobin
LIM99-175-FRM,990306,93.1,1.6,4.3,0.7,3.6,7.1,4.3,80,Fara Mobin
LIM99-176-FRM,990306,94,1.2,0.8,1.4,2.9,7.1,5.7,82.1,Fara Mobin
LIM99-180-FRM,990307,94.5,0.8,0,0,0.8,1.4,2.1,95.7,Fara Mobin
LIM99-181-FRM,990308,95.2,0.8,1.2,12.1,12.7,10.6,7,56.4,Fara Mobin
LIM99-187-FRM,990309,96.3,0.8,2.7,8.6,7.9,7.9,3.6,69.3,Fara Mobin
LIM99-205-FRM,990313,95.2,0.8,1.5,0.7,2.9,5.7,7.1,82.1,Fara Mobin
LIM99-221-FRM,990317,96.2,1.2,3.6,6.4,7.1,8.6,5.7,68.6,Fara Mobin
LIM99-222-FRM,990317,95.9,0.8,0,0,0,0,0,0,Fara Mobin
LIM99-223-FRM,990317,93.9,0.8,0,0,0,0,0,0,Fara Mobin
LIM99-224-FRM,990318,93.8,0.8,1.5,0.7,3.6,7.1,5.7,81.4,Fara Mobin
LIM99-228-FRM,990318,94.3,0.8,5.6,7.9,8.6,8.6,2.9,66.4,Fara Mobin
LIM99-234-FRM,990319,91.1,1.6,2.8,1.4,2.9,6.4,3.6,82.9,Fara Mobin
LIM99-235-FRM,990319,95.2,1.6,0,0,0,0,0,0,Fara Mobin
LIM99-241-FRM,990320,91.2,1.6,2.9,0.7,2.9,7.1,4.3,82.1,Fara Mobin
LIM98-424,980328,83.2,0.4,0,0,0,0,0,0,Fadak Sepahan
LIM98-436,980330,88.4,0.8,0,0,0,0,0,0,Fadak Sepahan
LIM98-447,980401,80.4,0.8,0,0,0,0,0,0,Fadak Sepahan
LIM98-448,980401,90.4,1.2,0,0,0,0,0,0,Fadak Sepahan
LIM98-458,980402,84.7,1.2,0,0,0,0,0,0,Fadak Sepahan
LIM98-459,980402,84,1.6,0,0,0,0,0,0,Fadak Sepahan
LIM98-465,980402,82.9,2,0,0,0,0,0,0,Fadak Sepahan
LIM98-466,980402,82.7,1.2,0,0,0,0,0,0,Fadak Sepahan
LIM98-467,980402,83.9,0.8,0,0,0,0,0,0,Fadak Sepahan
LIM98-472,980403,80.4,0.8,0,0,0,0,0,0,Fadak Sepahan
LIM98-473,980403,87.5,0.8,0,0,0,0,0,0,Fadak Sepahan
LIM98-474,980403,82.2,1.6,0,0,0,0,0,0,Fadak Sepahan
LIM98-484,980404,87.8,0.8,0,0,0,0,0,0,Fadak Sepahan
LIM98-485,980404,89.4,0.8,0,0,0,0,0,0,Fadak Sepahan
LIM98-486,980404,84.2,0.8,0,0,0,0,0,0,Fadak Sepahan
LIM98-487,980404,81,1.6,0,0,0,0,0,0,Fadak Sepahan
LIM98-488,980404,86.4,0.8,0,0,0,0,0,0,Fadak Sepahan
LIM98-498,980405,82.6,0.8,0,0,0,0,0,0,Fadak Sepahan
LIM98-499,980405,85.5,1.2,0,0,0,0,0,0,Fadak Sepahan
LIM98-510,980406,85.3,0.8,0,0,0,0,0,0,Fadak Sepahan
LIM98-511,980406,84.8,0.8,0,0,0,0,0,0,Fadak Sepahan
LIM98-512,980406,84.2,0.4,0,0,0,0,0,0,Fadak Sepahan
LIM98-525,980409,87.2,0.8,0,0,0,0,0,0,Fadak Sepahan
*LIM99-201-AZP,990313,56.3,1.6,2.9,3.6,26.4,67.1,0,0,AzarPooya
LIM99-250-ARD,990322,94.2,1.2,6.5,7.1,7.1,8.6,5,65.7,Hamyaran
LIM99-265-ARD,990324,92.9,2,4.2,5,7.9,10.7,9.3,62.9,Hamyaran
LIM99-268-ARD,990325,91.4,1.2,0,0,0,0,0,0,Hamyaran
LIM99-269-ARD,990325,93.3,0.8,6.3,7.9,8.6,11.4,7.9,57.9,Hamyaran
LIM99-270-ARD,990325,92.2,1.2,0,0,0,0,0,0,Hamyaran
LIM99-278-ARD,990326,94.5,0.8,1.4,1.4,8.6,10.7,7.9,70,Hamyaran
LIM99-285-ARD,990326,92.3,0.8,0,0,0,0,0,0,Hamyaran
LIM99-286-ARD,990327,92.8,2,1.4,2.9,6.4,12.1,8.6,68.6,Hamyaran
LIM99-291-ARD,990327,95.9,0.8,0,0,0,0,0,0,Hamyaran
LIM99-251-S-ARD,990322,88.1,1.6,0.8,1.4,2.1,6.4,6.4,82.9,Ardakan-Sarafraz
LIM99-252-S-ARD,990322,90.4,1.2,0,0,0,0,0,0,Ardakan-Sarafraz
LIM99-254-S-ARD,990323,90.6,1.2,1.5,0.7,1.4,6.4,6.4,83.6,Ardakan-Sarafraz
LIM99-255-S-ARD,990323,89.8,1.2,0,0,0,0,0,0,Ardakan-Sarafraz
LIM99-256-S-ARD,990323,89.9,1.6,0,0,0,0,0,0,Ardakan-Sarafraz
LIM99-257-S-ARD,990323,90.5,1.2,0,0,0,0,0,0,Ardakan-Sarafraz
LIM99-258-S-ARD,990323,88.8,1.2,0,0,0,0,0,0,Ardakan-Sarafraz
LIM99-259-S-ARD,990323,90.9,1.2,0,0,0,0,0,0,Ardakan-Sarafraz
LIM99-260-S-ARD,990323,90.5,0.8,0,0,0,0,0,0,Ardakan-Sarafraz
LIM99-264-S-ARD,990324,92.2,1.2,1.3,0.7,7.9,17.9,14.3,57.9,Ardakan-Sarafraz
LIM99-266-S-ARD,990324,87.7,1.6,0,0,0,0,0,0,Ardakan-Sarafraz
LIM99-267-S-ARD,990324,90.7,1.2,0,0,0,0,0,0,Ardakan-Sarafraz
LIM99-273-S-ARD,990325,92,1.6,2.9,5,10,11.4,5,65.7,Ardakan-Sarafraz
LIM99-274-S-ARD,990325,90.6,1.6,0,0,0,0,0,0,Ardakan-Sarafraz
