sample_no,tar,cao,mgo,s0_95,s95_385,s385_1000,factory
DOL99-334-ARD,990401,44.9,32.3,12.1,84.3,3.6,Zareh Shahi (Ardakan)
DOL99-335-ARD,990402,46.5,32.6,12.1,83.6,4.3,Zareh Shahi (Ardakan)
DOL99-336-ARD,990402,47,32.6,0,0,0,Zareh Shahi (Ardakan)
DOL99-337-ARD,990402,48,32.1,0,0,0,Zareh Shahi (Ardakan)
DOL99-338-ARD,990402,43.7,27.4,0,0,0,Zareh Shahi (Ardakan)
DOL99-341-ARD,990403,51.5,37.4,11.4,84.3,4.3,Zareh Shahi (Ardakan)
DOL99-342-ARD,990403,52.5,35.3,0,0,0,Zareh Shahi (Ardakan)
DOL99-343-ARD,990403,52,35,0,0,0,Zareh Shahi (Ardakan)
DOL99-344-ARD,990403,50.4,37.9,0,0,0,Zareh Shahi (Ardakan)
DOL99-346-ARD,990404,51.8,35.6,7.9,89.3,2.8,Zareh Shahi (Ardakan)
DOL99-348-ARD,990404,56.4,36.5,0,0,0,Zareh Shahi (Ardakan)
DOL99-349-ARD,990404,50.1,36,0,0,0,Zareh Shahi (Ardakan)
DOL99-350-ARD,990404,52.7,33.8,0,0,0,Zareh Shahi (Ardakan)
DOL99-352-ARD,990405,49.1,35.7,10,85,5,Zareh Shahi (Ardakan)
DOL99-353-ARD,990405,52.7,36.7,0,0,0,Zareh Shahi (Ardakan)
DOL99-354-ARD,990405,45.4,31,0,0,0,Zareh Shahi (Ardakan)
DOL99-355-ARD,990405,47,36.6,0,0,0,Zareh Shahi (Ardakan)
DOL99-359-ARD,990407,47.6,30.2,8.6,87.1,4.3,Zareh Shahi (Ardakan)
DOL99-360-ARD,990407,44.7,30.1,0,0,0,Zareh Shahi (Ardakan)
DOL99-361-ARD,990407,46.2,30.8,0,0,0,Zareh Shahi (Ardakan)
DOL99-362-ARD,990407,44.7,30.5,0,0,0,Zareh Shahi (Ardakan)
DOL99-364-ARD,990408,46.7,31.1,10.7,5.7,83.6,Zareh Shahi (Ardakan)
DOL99-365-ARD,990408,44.8,29.8,0,0,0,Zareh Shahi (Ardakan)
DOL99-367-ARD,990409,48.4,31.2,0,0,0,Zareh Shahi (Ardakan)
DOL99-368-ARD,990409,48.3,32.3,0,0,0,Zareh Shahi (Ardakan)
DOL99-369-ARD,990409,51.3,34.4,3.5,92.9,3.6,Zareh Shahi (Ardakan)
DOL99-370-ARD,990410,42.9,28.4,18.6,77.1,4.3,Zareh Shahi (Ardakan)
DOL99-371-ARD,990410,45,30,0,0,0,Zareh Shahi (Ardakan)
DOL99-372-ARD,990410,44.1,28.5,0,0,0,Zareh Shahi (Ardakan)
DOL99-373-ARD,990410,44.9,35.5,0,0,0,Zareh Shahi (Ardakan)
DOL99-374-ARD,990411,50.3,36.2,7.9,91.4,0.7,Zareh Shahi (Ardakan)
DOL99-375-ARD,990411,50.3,34.5,0,0,0,Zareh Shahi (Ardakan)
DOL99-376-ARD,990411,51.6,34.3,0,0,0,Zareh Shahi (Ardakan)
DOL99-377-ARD,990412,53.3,34.3,15.7,82.9,1.4,Zareh Shahi (Ardakan)
DOL99-378-ARD,990412,52.2,33.9,0,0,0,Zareh Shahi (Ardakan)
DOL99-381-ARD,990414,52.3,33.6,87.1,9.3,3.6,Zareh Shahi (Ardakan)
DOL99-382-ARD,990414,47.9,30.8,0,0,0,Zareh Shahi (Ardakan)
DOL99-383-ARD,990414,47,31.4,0,0,0,Zareh Shahi (Ardakan)
DOL99-384-ARD,990414,55.1,30.9,0,0,0,Zareh Shahi (Ardakan)
DOL99-385-ARD,990414,50.1,35.2,0,0,0,Zareh Shahi (Ardakan)
DOL99-386-ARD,990415,53.4,34.4,11.5,87.1,1.4,Zareh Shahi (Ardakan)
DOL99-387-ARD,990415,51.6,33.9,0,0,0,Zareh Shahi (Ardakan)
DOL99-388-ARD,990415,50.3,34.6,0,0,0,Zareh Shahi (Ardakan)
DOL99-389-ARD,990415,52.3,33.6,0,0,0,Zareh Shahi (Ardakan)
DOL99-392-ARD,990416,48,32.9,2.1,95,2.9,Zareh Shahi (Ardakan)
DOL99-393-ARD,990416,49.1,32.9,0,0,0,Zareh Shahi (Ardakan)
DOL99-397-ARD,990416,46.7,31.6,0,0,0,Zareh Shahi (Ardakan)
DOL99-398-ARD,990417,52.4,34.5,12.2,82.1,5.7,Zareh Shahi (Ardakan)
DOL99-410-ARD,990417,52.2,33.5,0,0,0,Zareh Shahi (Ardakan)
DOL99-411-ARD,990417,53.1,34.2,0,0,0,Zareh Shahi (Ardakan)
DOL99-412-ARD,990418,46.5,31,192,77.9,2.9,Zareh Shahi (Ardakan)
DOL99-413-ARD,990418,43.6,28.1,0,0,0,Zareh Shahi (Ardakan)
DOL99-415-ARD,990418,44.7,32.9,0,0,0,Zareh Shahi (Ardakan)
DOL99-416-ARD,990418,45.9,32.2,0,0,0,Zareh Shahi (Ardakan)
DOL99-422-ARD,990419,52.5,30.1,15,82.9,2.1,Zareh Shahi (Ardakan)
DOL99-423-ARD,990419,52.9,31.2,0,0,0,Zareh Shahi (Ardakan)
DOL99-424-ARD,990419,53.9,31.5,0,0,0,Zareh Shahi (Ardakan)
DOL99-345-SIR,990403,55.9,32.1,10,76.4,13.6,Sirjan
DOL99-351-SIR,990404,54.6,30.8,45.7,54.3,0,Sirjan
DOL99-356-SIR,990405,55.8,35.3,61.5,32.1,6.4,Sirjan
DOL99-357-SIR,990406,56.6,34.3,0,0,0,Sirjan
DOL99-363-SIR,990407,58.5,36.1,77.9,22.1,0,Sirjan
DOL99-339-TAB,990402,60.4,31.5,10.7,75.7,13.6,Tabas
DOL99-340-TAB,990403,58.7,36.1,21.4,68.6,10,Tabas
DOL99-347-TAB,990404,58.4,37.2,20,68.6,11.4,Tabas
DOL99-358-TAB,990406,57.8,36.8,23.6,30.7,45.7,Tabas
DOL99-379-TAB,990412,58.2,35.4,14.3,85.7,0,Tabas
DOL99-380-TAB,990413,58.7,35.8,22.8,69.3,7.9,Tabas
DOL99-390-TAB,990415,57.8,36.4,0,0,0,Tabas
DOL99-391-TAB,990415,57,36.1,20,68.6,11.4,Tabas
DOL99-395-TAB,990416,59.7,34.2,16.4,64.3,19.3,Tabas
DOL99-396-TAB,990416,59.1,33.8,0,0,0,Tabas
DOL99-419-TAB,990418,60.9,32.9,15,82.1,2.9,Tabas
DOL99-420-TAB,990418,61.2,32.4,0,0,0,Tabas
DOL99-421-TAB,990419,62,33.4,0,0,0,Tabas
DOL99-429-TAB,990419,60.1,33.6,9.3,78.6,12.1,Tabas
DOL99-430-TAB,990419,56.2,33.9,0,0,0,Tabas
DOL99-431-TAB,990419,57.1,33.8,0,0,0,Tabas
DOL99-399-NAS,990417,57.5,32.6,5.8,77.1,17.1,Nasooz Ekbatan sepahan
DOL99-400-NAS,990417,50.6,34.4,0,0,0,Nasooz Ekbatan sepahan
DOL99-403-NAS,990417,58,32.9,0,0,0,Nasooz Ekbatan sepahan
DOL99-404-NAS,990417,57.9,33.6,21.4,78.6,0,Nasooz Ekbatan sepahan
DOL99-405-NAS,990417,58.8,34.3,0,0,0,Nasooz Ekbatan sepahan
DOL99-406-NAS,990417,56.6,35.1,0,0,0,Nasooz Ekbatan sepahan
DOL99-407-NAS,990417,57.8,33.6,0,0,0,Nasooz Ekbatan sepahan
DOL99-408-NAS,990417,56,35.4,0,0,0,Nasooz Ekbatan sepahan
DOL99-409-NAS,990417,57.2,35.5,0,0,0,Nasooz Ekbatan sepahan
DOL99-417-NAS,990418,51.5,34.6,0,0,0,Nasooz Ekbatan sepahan
DOL99-418-NAS,990418,55.8,36.1,0,0,0,Nasooz Ekbatan sepahan
DOL99-432-NAS,990419,50.1,34.4,12.9,87.1,0,Nasooz Ekbatan sepahan
DOL99-433-NAS,990419,56.9,33.3,0,0,0,Nasooz Ekbatan sepahan
DOL99-434-NAS,990419,57.9,34.4,0,0,0,Nasooz Ekbatan sepahan
DOL99-435-NAS,990420,52.5,34.1,16.4,70.7,12.9,Nasooz Ekbatan sepahan
DOL99-436-NAS,990420,54.6,34.9,0,0,0,Nasooz Ekbatan sepahan
DOL99-437-NAS,990420,54.6,36.8,0,0,0,Nasooz Ekbatan sepahan
DOL99-438-NAS,990420,55.8,34.1,0,0,0,Nasooz Ekbatan sepahan
DOL99-446-ARD,990421,45.8,30.5,9.3,87.1,3.6,Zareh Shahi (Ardakan)
DOL99-447-ARD,990421,44.9,30.6,0,0,0,Zareh Shahi (Ardakan)
DOL99-457-ARD,990421,45.3,31.7,0,0,0,Zareh Shahi (Ardakan)
DOL99-458-ARD,990421,46.3,31.7,0,0,0,Zareh Shahi (Ardakan)
DOL99-459-ARD,990422,50,30.4,5.8,87.1,7.1,Zareh Shahi (Ardakan)
DOL99-460-ARD,990422,50.6,30,0,0,0,Zareh Shahi (Ardakan)
DOL99-463-ARD,990422,50.4,34.6,0,0,0,Zareh Shahi (Ardakan)
DOL99-464-ARD,990422,45.5,30.3,0,0,0,Zareh Shahi (Ardakan)
DOL99-472-ARD,990423,48.6,27.7,2.1,96.5,1.4,Zareh Shahi (Ardakan)
DOL99-473-ARD,990423,49,28,0,0,0,Zareh Shahi (Ardakan)
DOL99-474-ARD,990423,43.8,29,0,0,0,Zareh Shahi (Ardakan)
DOL99-482-ARD,990424,48.4,27.5,1.4,94.3,4.3,Zareh Shahi (Ardakan)
DOL99-483-ARD,990424,47.1,27.4,0,0,0,Zareh Shahi (Ardakan)
DOL99-484-ARD,990424,49,27.2,0,0,0,Zareh Shahi (Ardakan)
DOL99-485-ARD,990424,49.1,28.5,0,0,0,Zareh Shahi (Ardakan)
DOL99-493-ARD,990425,47,26.1,5.7,87.9,6.4,Zareh Shahi (Ardakan)
DOL99-494-ARD,990425,45.3,26.1,0,0,0,Zareh Shahi (Ardakan)
DOL99-495-ARD,990425,43.8,26.6,0,0,0,Zareh Shahi (Ardakan)
DOL99-496-ARD,990425,44.7,26.5,0,0,0,Zareh Shahi (Ardakan)
DOL99-445-TAB,990420,59.5,33.6,14.3,84.3,1.4,Tabas
DOL99-448-TAB,990421,59.4,34.6,10,81.4,8.6,Tabas
DOL99-449-TAB,990421,60.4,33.8,0,0,0,Tabas
DOL99-450-TAB,990421,58.7,33.8,0,0,0,Tabas
DOL99-451-TAB,990421,58.2,33.4,0,0,0,Tabas
DOL99-470-TAB,990422,60,34.3,21.4,74.3,4.3,Tabas
DOL99-471-TAB,990422,58.1,35,0,0,0,Tabas
DOL99-475-TAB,990423,60.7,33.1,18.6,75,6.4,Tabas
DOL99-476-TAB,990423,63.7,32.9,0,0,0,Tabas
DOL99-477-TAB,990423,63.8,29.8,0,0,0,Tabas
DOL99-478-TAB,990423,59.5,33.9,0,0,0,Tabas
DOL99-479-TAB,990423,60.5,33,0,0,0,Tabas
DOL99-481-TAB,990423,61,31.9,0,0,0,Tabas
DOL99-488-TAB,990424,59.7,34,23.6,70,6.4,Tabas
DOL99-489-TAB,990424,58.9,35.1,0,0,0,Tabas
DOL99-490-TAB,990424,58.4,33.9,0,0,0,Tabas
DOL99-497-TAB,990425,61.9,29.1,17.9,66.4,15.7,Tabas
DOL99-498-TAB,990425,62.9,29,0,0,0,Tabas
DOL99-504-TAB,990425,58.3,36.3,18.6,75,6.4,Tabas
DOL99-505-TAB,990425,56.3,34.8,0,0,0,Tabas
DOL99-506-TAB,990425,60.2,32.9,0,0,0,Tabas
DOL99-439-NAS,990420,51.8,30.8,0,0,0,Nasooz Ekbatan sepahan
DOL99-440-NAS,990420,55.8,36.1,0,0,0,Nasooz Ekbatan sepahan
DOL99-441-NAS,990420,55.4,36.2,0,0,0,Nasooz Ekbatan sepahan
DOL99-442-NAS,990420,58.8,34.3,0,0,0,Nasooz Ekbatan sepahan
DOL99-443-NAS,990420,59,34.4,0,0,0,Nasooz Ekbatan sepahan
DOL99-444-NAS,990420,55.4,35.9,0,0,0,Nasooz Ekbatan sepahan
DOL99-452-NAS,990421,56.9,37.7,6.9,58.8,34.3,Nasooz Ekbatan sepahan
DOL99-453-NAS,990421,56.6,37.4,0,0,0,Nasooz Ekbatan sepahan
DOL99-454-NAS,990421,53.5,35.3,0,0,0,Nasooz Ekbatan sepahan
DOL99-455-NAS,990421,53.5,35.3,0,0,0,Nasooz Ekbatan sepahan
DOL99-456-NAS,990421,52.5,33.7,0,0,0,Nasooz Ekbatan sepahan
DOL99-461-NAS,990422,54,33.6,7.1,58.6,34.3,Nasooz Ekbatan sepahan
DOL99-462-NAS,990422,57.5,35.6,0,0,0,Nasooz Ekbatan sepahan
DOL99-465-NAS,990422,53.8,36.7,8.6,75.7,15.7,Nasooz Ekbatan sepahan
DOL99-466-NAS,990422,54.9,34.7,0,0,0,Nasooz Ekbatan sepahan
DOL99-467-NAS,990422,56.2,36.8,0,0,0,Nasooz Ekbatan sepahan
DOL99-468-NAS,990422,56.1,37.1,0,0,0,Nasooz Ekbatan sepahan
DOL99-469-NAS,990422,54.5,33.9,0,0,0,Nasooz Ekbatan sepahan
DOL99-480-NAS,990423,50.7,36.4,26.5,72.8,0.7,Nasooz Ekbatan sepahan
DOL99-486-NAS,990424,59.6,34,5,87.9,7.1,Nasooz Ekbatan sepahan
DOL99-487-NAS,990424,59.5,33.5,0,0,0,Nasooz Ekbatan sepahan
DOL99-491-NAS,990424,57.1,36.2,0,0,0,Nasooz Ekbatan sepahan
DOL99-492-NAS,990424,56.2,36.4,0,0,0,Nasooz Ekbatan sepahan
DOL99-499-NAS,990425,50.5,33.8,4.3,95.7,0,Nasooz Ekbatan sepahan
DOL99-500-NAS,990425,59.3,31.4,0,0,0,Nasooz Ekbatan sepahan
DOL99-501-NAS,990425,60.4,32.5,0,0,0,Nasooz Ekbatan sepahan
DOL99-502-NAS,990425,58.5,30.7,0,0,0,Nasooz Ekbatan sepahan
DOL99-503-NAS,990425,55.8,36.1,0,0,0,Nasooz Ekbatan sepahan
DOL99-507-ARD,990426,43.9,28.4,9.3,87.1,3.6,Zareh Shahi (Ardakan)
DOL99-508-ARD,990426,47.5,30.5,0,0,0,Zareh Shahi (Ardakan)
DOL99-509-ARD,990426,43.4,27.9,0,0,0,Zareh Shahi (Ardakan)
DOL99-510-ARD,990426,45.3,29,0,0,0,Zareh Shahi (Ardakan)
DOL99-511-ARD,990426,43.1,27.4,0,0,0,Zareh Shahi (Ardakan)
DOL99-528-ARD,990428,47,30.6,2.1,90,7.9,Zareh Shahi (Ardakan)
DOL99-529-ARD,990428,45.2,28.5,0,0,0,Zareh Shahi (Ardakan)
DOL99-530-ARD,990428,42.4,27.3,0,0,0,Zareh Shahi (Ardakan)
DOL99-545-ARD,990429,45.9,30.6,14.3,4.3,81.4,Zareh Shahi (Ardakan)
DOL99-546-ARD,990429,43.7,29,0,0,0,Zareh Shahi (Ardakan)
DOL99-547-ARD,990429,42.3,27,0,0,0,Zareh Shahi (Ardakan)
DOL99-548-ARD,990429,45.2,30.6,0,0,0,Zareh Shahi (Ardakan)
DOL99-555-ARD,990430,46.2,31.4,11.4,87.2,1.4,Zareh Shahi (Ardakan)
DOL99-556-ARD,990430,47.7,30.4,0,0,0,Zareh Shahi (Ardakan)
DOL99-557-ARD,990430,46.3,31.4,0,0,0,Zareh Shahi (Ardakan)
DOL99-558-ARD,990430,44.9,33.6,0,0,0,Zareh Shahi (Ardakan)
DOL99-515-TAB,990426,65.1,26.6,10,83.6,6.4,Tabas
DOL99-516-TAB,990426,59.3,33,0,0,0,Tabas
DOL99-524-TAB,990427,53,34.2,20.7,70,9.3,Tabas
DOL99-525-TAB,990428,55.8,34.5,0,0,0,Tabas
DOL99-527-TAB,990428,59,34,0,0,0,Tabas
DOL99-536-TAB,990428,59.5,33.1,17.1,65.8,17.1,Tabas
DOL99-537-TAB,990428,60,32.7,0,0,0,Tabas
DOL99-538-TAB,990428,60.5,32.2,0,0,0,Tabas
DOL99-541-TAB,990429,65.9,28.9,15.7,75,9.3,Tabas
DOL99-542-TAB,990429,65.4,28.9,0,0,0,Tabas
DOL99-543-TAB,990429,63.1,30.4,0,0,0,Tabas
DOL99-544-TAB,990429,64.2,29.9,0,0,0,Tabas
DOL99-552-TAB,990429,63.4,29.9,0,0,0,Tabas
DOL99-553-TAB,990429,62.2,31.5,0,0,0,Tabas
DOL99-554-TAB,990430,61.8,31.3,17.9,64.2,17.9,Tabas
DOL99-562-TAB,990430,56.2,34.3,0,0,0,Tabas
DOL99-563-TAB,990430,60.1,33.6,15.7,84.3,0,Tabas
DOL99-564-TAB,990431,64.5,32.1,11.4,82.9,5.7,Tabas
DOL99-565-TAB,990431,66.8,29.3,0,0,0,Tabas
DOL99-566-TAB,990431,66.4,27.4,0,0,0,Tabas
DOL99-567-TAB,990431,67.7,28.4,0,0,0,Tabas
DOL99-569-TAB,990431,61.2,33.4,0,0,0,Tabas
DOL99-570-TAB,990431,63.3,31.7,18.5,72.9,8.6,Tabas
DOL99-571-TAB,990501,61.5,31.3,0,0,0,Tabas
DOL99-512-NAS,990426,57.4,38.2,12.8,79.3,7.9,Nasooz Ekbatan sepahan
DOL99-513-NAS,990426,54.8,34.5,0,0,0,Nasooz Ekbatan sepahan
DOL99-514-NAS,990426,50.3,35.4,0,0,0,Nasooz Ekbatan sepahan
DOL99-517-NAS,990426,59.5,30.7,0,0,0,Nasooz Ekbatan sepahan
DOL99-518-NAS,990426,58.3,31.8,0,0,0,Nasooz Ekbatan sepahan
DOL99-519-NAS,990427,59.4,32.6,2.9,96.4,0.7,Nasooz Ekbatan sepahan
DOL99-520-NAS,990427,58.4,34.7,0,0,0,Nasooz Ekbatan sepahan
DOL99-521-NAS,990427,53.3,35.5,0,0,0,Nasooz Ekbatan sepahan
DOL99-522-NAS,990427,57.1,33.8,0,0,0,Nasooz Ekbatan sepahan
DOL99-523-NAS,990427,57.6,34.2,0,0,0,Nasooz Ekbatan sepahan
DOL99-526-NAS,990428,57.6,28.6,17.9,80,2.1,Nasooz Ekbatan sepahan
DOL99-531-NAS,990428,54.9,35.1,0,0,0,Nasooz Ekbatan sepahan
DOL99-532-NAS,990428,53.3,34.3,0,0,0,Nasooz Ekbatan sepahan
DOL99-533-NAS,990428,58.3,31.8,0,0,0,Nasooz Ekbatan sepahan
DOL99-534-NAS,990428,55.5,32.2,0,0,0,Nasooz Ekbatan sepahan
DOL99-535-NAS,990428,56.1,32.3,0,0,0,Nasooz Ekbatan sepahan
DOL99-539-NAS,990429,61.5,32.2,13.6,78.5,7.9,Nasooz Ekbatan sepahan
DOL99-540-NAS,990429,57.8,33.5,0,0,0,Nasooz Ekbatan sepahan
DOL99-549-NAS,990429,54.3,35.1,0,0,0,Nasooz Ekbatan sepahan
DOL99-550-NAS,990429,59.1,33.4,0,0,0,Nasooz Ekbatan sepahan
DOL99-551-NAS,990429,56,33.2,0,0,0,Nasooz Ekbatan sepahan
DOL99-559-NAS,990430,58.2,28.9,15.7,84.3,0,Nasooz Ekbatan sepahan
DOL99-560-NAS,990430,58.2,33.8,0,0,0,Nasooz Ekbatan sepahan
DOL99-561-NAS,990430,57.2,34.3,0,0,0,Nasooz Ekbatan sepahan
DOL99-568-NAS,990431,51.9,35.7,13.6,84.3,2.1,Nasooz Ekbatan sepahan
DOL99-579-ARD,990505,46.3,30,6.4,88.6,5,Zareh Shahi (Ardakan)
DOL99-580-ARD,990505,43.7,28.5,0,0,0,Zareh Shahi (Ardakan)
DOL99-581-ARD,990505,43.7,28.9,0,0,0,Zareh Shahi (Ardakan)
DOL99-582-ARD,990505,43.1,28.5,0,0,0,Zareh Shahi (Ardakan)
DOL99-583-ARD,990506,47.2,31.5,0,0,0,Zareh Shahi (Ardakan)
DOL99-585-ARD,990506,43.6,28.9,5,81.4,13.6,Zareh Shahi (Ardakan)
DOL99-586-ARD,990506,43,27.6,0,0,0,Zareh Shahi (Ardakan)
DOL99-587-ARD,990506,45.7,29.6,0,0,0,Zareh Shahi (Ardakan)
DOL99-592-ARD,990507,46.9,30.1,13.6,82.8,3.6,Zareh Shahi (Ardakan)
DOL99-593-ARD,990507,48.5,34.9,0,0,0,Zareh Shahi (Ardakan)
DOL99-597-ARD,990508,49.7,31.7,0,0,0,Zareh Shahi (Ardakan)
DOL99-598-ARD,990508,46.8,30.4,12.8,77.9,9.3,Zareh Shahi (Ardakan)
DOL99-599-ARD,990508,47.9,31.2,0,0,0,Zareh Shahi (Ardakan)
DOL99-600-ARD,990509,46.3,30.9,7.1,89.3,3.6,Zareh Shahi (Ardakan)
DOL99-601-ARD,990509,47,31.7,0,0,0,Zareh Shahi (Ardakan)
DOL99-572-TAB,990502,68.6,24.3,15,66.4,18.6,Tabas
DOL99-573-TAB,990503,66.7,26,0,0,0,Tabas
DOL99-574-TAB,990503,65.3,32.2,19.3,70,10.7,Tabas
DOL99-575-TAB,990503,67.8,25.2,0,0,0,Tabas
DOL99-576-TAB,990504,67.6,27.5,18.6,71.4,10,Tabas
DOL99-590-TAB,990506,68,24.8,37.9,62.1,0,Tabas
DOL99-591-TAB,990507,69.6,21.8,27.1,68.6,4.3,Tabas
DOL99-577-NAS,990504,50.5,30.6,12.1,87.9,0,Nasooz Ekbatan sepahan
DOL99-578-NAS,990505,51.3,35.3,18.6,81.4,0,Nasooz Ekbatan sepahan
DOL99-584-NAS,990506,54.9,33.8,7.9,77.1,15,Nasooz Ekbatan sepahan
DOL99-588-NAS,990506,58.8,34.5,0,0,0,Nasooz Ekbatan sepahan
DOL99-589-NAS,990506,60,30.9,0,0,0,Nasooz Ekbatan sepahan
DOL99-594-NAS,990507,54.1,36.8,16.4,72.9,10.7,Nasooz Ekbatan sepahan
DOL99-595-NAS,990507,58,37.7,0,0,0,Nasooz Ekbatan sepahan
DOL99-596-NAS,990508,56.3,36,24.3,70,5.7,Nasooz Ekbatan sepahan
DOL99-602-ARD,990509,50.8,30.8,0,0,0,Zareh Shahi (Ardakan)
DOL99-604-ARD,990510,47.6,31,3.6,92.1,4.3,Zareh Shahi (Ardakan)
DOL99-605-ARD,990510,46.9,31.2,0,0,0,Zareh Shahi (Ardakan)
DOL99-606-ARD,990510,45.9,31.8,0,0,0,Zareh Shahi (Ardakan)
DOL99-607-ARD,990510,50.8,32.5,0,0,0,Zareh Shahi (Ardakan)
DOL99-608-ARD,990510,49.3,32.6,0,0,0,Zareh Shahi (Ardakan)
DOL99-612-ARD,990511,51.4,30.5,15,79.3,5.7,Zareh Shahi (Ardakan)
DOL99-613-ARD,990511,51.4,29.7,0,0,0,Zareh Shahi (Ardakan)
DOL99-614-ARD,990511,47.6,30.2,0,0,0,Zareh Shahi (Ardakan)
DOL99-618-ARD,990512,50.5,29.9,17.1,80,2.9,Zareh Shahi (Ardakan)
DOL99-619-ARD,990512,50.5,31.1,0,0,0,Zareh Shahi (Ardakan)
DOL99-620-ARD,990512,46.8,30.4,0,0,0,Zareh Shahi (Ardakan)
DOL99-622-ARD,990513,55,29.9,18.6,71.4,10,Zareh Shahi (Ardakan)
DOL99-623-ARD,990513,47.5,27.6,0,0,0,Zareh Shahi (Ardakan)
DOL99-624-ARD,990513,44.7,28.9,0,0,0,Zareh Shahi (Ardakan)
DOL99-625-ARD,990513,49.5,28.7,0,0,0,Zareh Shahi (Ardakan)
DOL99-629-ARD,990514,55.4,31.7,13.6,85,1.4,Zareh Shahi (Ardakan)
DOL99-630-ARD,990514,56.7,31.4,0,0,0,Zareh Shahi (Ardakan)
DOL99-631-ARD,990514,58,31.9,0,0,0,Zareh Shahi (Ardakan)
DOL99-632-ARD,990514,46.6,31.1,13.7,72.9,13.4,Zareh Shahi (Ardakan)
DOL99-633-ARD,990514,49.8,33.4,0,0,0,Zareh Shahi (Ardakan)
DOL99-650-ARD,990528,50.4,32.2,18.6,80,1.4,Zareh Shahi (Ardakan)
DOL99-651-ARD,990528,48.9,30.3,0,0,0,Zareh Shahi (Ardakan)
DOL99-653-ARD,990528,53.2,36.2,0,0,0,Zareh Shahi (Ardakan)
DOL99-654-ARD,990528,52.3,35.2,0,0,0,Zareh Shahi (Ardakan)
DOL99-656-ARD,990529,51.4,36.6,9.3,79.3,11.4,Zareh Shahi (Ardakan)
DOL99-657-ARD,990529,51.1,34.9,0,0,0,Zareh Shahi (Ardakan)
DOL99-658-ARD,990529,47.6,30.1,0,0,0,Zareh Shahi (Ardakan)
DOL99-660-ARD,990530,47.5,27.6,11.4,85.7,2.9,Zareh Shahi (Ardakan)
DOL99-661-ARD,990530,47.5,27.7,0,0,0,Zareh Shahi (Ardakan)
DOL99-662-ARD,990530,49.9,33.4,0,0,0,Zareh Shahi (Ardakan)
DOL99-663-ARD,990530,50.3,33.3,0,0,0,Zareh Shahi (Ardakan)
DOL99-667-ARD,990531,44.2,29.3,10.7,85,4.3,Zareh Shahi (Ardakan)
DOL99-668-ARD,990531,51.4,35.3,0,0,0,Zareh Shahi (Ardakan)
DOL99-669-ARD,990531,52,36.1,0,0,0,Zareh Shahi (Ardakan)
DOL99-670-ARD,990531,49.4,30.3,0,0,0,Zareh Shahi (Ardakan)
DOL99-672-ARD,990601,45.4,31,10.7,85.7,3.6,Zareh Shahi (Ardakan)
DOL99-673-ARD,990601,47.6,31.8,0,0,0,Zareh Shahi (Ardakan)
DOL99-674-ARD,990601,47,31.3,0,0,0,Zareh Shahi (Ardakan)
DOL99-675-ARD,990601,44.1,30.9,0,0,0,Zareh Shahi (Ardakan)
DOL99-678-ARD,990602,54.1,32.4,7.1,87.9,5,Zareh Shahi (Ardakan)
DOL99-679-ARD,990602,49.9,33,0,0,0,Zareh Shahi (Ardakan)
DOL99-681-ARD,990602,46.4,31.7,0,0,0,Zareh Shahi (Ardakan)
DOL99-682-ARD,990602,47.5,32.5,0,0,0,Zareh Shahi (Ardakan)
DOL99-687-ARD,990603,51.6,32.6,10,86.4,3.6,Zareh Shahi (Ardakan)
DOL99-688-ARD,990603,53.2,33.8,0,0,0,Zareh Shahi (Ardakan)
DOL99-690-ARD,990604,53,34.9,2.1,94.3,3.6,Zareh Shahi (Ardakan)
DOL99-691-ARD,990604,51.3,33.6,0,0,0,Zareh Shahi (Ardakan)
DOL99-692-ARD,990604,46.5,31.8,0,0,0,Zareh Shahi (Ardakan)
DOL99-693-ARD,990604,47.3,27.9,0,0,0,Zareh Shahi (Ardakan)
DOL99-698-ARD,990605,53,34.9,3.6,75.7,20.7,Zareh Shahi (Ardakan)
DOL99-699-ARD,990605,53.5,34.4,0,0,0,Zareh Shahi (Ardakan)
DOL99-700-ARD,990605,54.1,34.4,0,0,0,Zareh Shahi (Ardakan)
DOL99-703-ARD,990606,54.1,36.9,3.6,90.7,5.7,Zareh Shahi (Ardakan)
DOL99-704-ARD,990606,49.6,34.9,0,0,0,Zareh Shahi (Ardakan)
DOL99-705-ARD,990606,46.5,30.5,0,0,0,Zareh Shahi (Ardakan)
DOL99-706-ARD,990606,46.7,31.2,0,0,0,Zareh Shahi (Ardakan)
DOL99-707-ARD,990606,46.2,31.2,0,0,0,Zareh Shahi (Ardakan)
DOL99-708-ARD,990606,49.8,33.8,0,0,0,Zareh Shahi (Ardakan)
DOL99-713-ARD,990607,54.1,34,12.1,84.3,3.6,Zareh Shahi (Ardakan)
DOL99-714-ARD,990607,47.3,28.3,0,0,0,Zareh Shahi (Ardakan)
DOL99-715-ARD,990607,46.4,31.7,0,0,0,Zareh Shahi (Ardakan)
DOL99-722-ARD,990610,47.4,31.6,5,87.9,7.1,Zareh Shahi (Ardakan)
DOL99-724-ARD,990610,50.7,30.7,0,0,0,Zareh Shahi (Ardakan)
DOL99-729-ARD,990611,46.3,31.7,2.9,91.4,5.7,Zareh Shahi (Ardakan)
DOL99-730-ARD,990611,44.1,29.7,0,0,0,Zareh Shahi (Ardakan)
DOL99-731-ARD,990611,52.9,34.8,0,0,0,Zareh Shahi (Ardakan)
